0,1,2,3
10,42,28,28
9,23,36,37
17,14,30,32
3,37,31,35
3,33,29,32
18,17,28,27
19,19,30,28
0,29,31,40
17,17,28,24
7,29,32,32
10,27,27,30
21,20,31,33
19,22,32,26
7,33,27,32
7,31,35,32
21,20,31,33
19,22,32,26
7,33,27,32
17,14,27,26
7,31,35,32
31,19,36,35
21,16,27,28
15,36,36,36
17,24,28,30
16,18,37,35
13,15,31,34
1,29,31,38
0,29,31,39
19,11,39,37
8,32,29,31
16,12,36,42
1,27,31,40
1,28,32,40
28,29,47,47
24,22,42,41
0,45,35,52
0,44,34,47
18,18,34,35
17,19,32,32
12,31,39,38
19,19,30,28
12,24,29,33
18,19,30,29
16,15,28,29
3,44,32,31
3,36,31,29
25,25,33,34
23,21,34,33
3,39,26,34
2,38,24,32
32,29,44,39
10,42,28,28
29,28,37,34
0,49,39,38
1,51,35,35
19,22,41,53
20,14,41,33
16,8,37,37
13,9,35,37
3,26,34,40
3,21,29,40
19,19,30,28
19,19,30,28
17,14,27,26
8,32,29,31
10,42,28,28
15,19,24,22
17,19,22,22
0,30,28,27
0,31,26,25
16,29,25,26
21,28,19,20
0,45,21,31
17,14,27,26
1,57,21,18
19,20,25,25
18,18,21,24
0,33,24,29
0,32,21,30
19,16,27,29
21,22,31,27
2,32,25,30
2,46,30,33
18,12,35,38
8,32,29,31
18,12,39,43
7,24,31,36
7,24,34,42
23,24,33,32
18,21,30,30
0,42,38,36
1,39,28,34
24,25,42,45
20,24,41,43
0,48,38,47
10,42,28,28
0,41,36,48
20,13,27,28
23,12,30,28
1,35,28,32
15,15,29,34
2,36,34,38
16,18,39,30
14,17,35,29
0,33,33,34
0,32,34,37
21,20,32,29
19,20,30,28
19,18,31,29
10,33,29,33
9,27,27,32
27,23,29,39
27,37,38,49
12,35,26,36
17,36,39,50
24,27,33,44
28,33,48,55
2,45,32,40
16,14,28,29
30,13,31,37
1,44,39,48
22,40,42,43
31,24,58,39
17,33,39,43
22,32,50,42
19,20,30,30
22,22,29,37
12,36,26,30
11,35,28,39
29,33,32,31
9,32,27,32
27,27,31,42
3,39,34,31
2,46,31,31
19,11,39,37
15,10,33,34
1,27,31,40
1,28,32,37
21,19,34,31
25,22,29,38
9,34,29,32
8,39,31,28
8,39,26,46
16,20,35,37
18,9,34,36
0,37,32,39
1,29,35,41
16,15,26,26
22,21,29,27
2,31,28,29
0,46,27,30
14,22,38,37
19,20,30,28
16,16,33,33
5,27,36,38
7,19,35,37
19,18,29,29
23,18,29,28
13,30,30,34
10,42,25,31
43,43,58,60
49,43,73,77
1,51,32,33
17,14,27,26
1,61,42,36
19,19,30,28
17,14,27,26
8,32,29,31
10,42,28,28
19,19,30,28
17,14,27,26
8,32,29,31
10,42,28,28
19,17,29,28
16,14,28,29
21,22,25,24
1,39,35,32
3,37,26,26
35,33,46,61
37,34,45,62
0,57,40,42
0,65,34,55
15,20,33,33
17,14,35,33
11,26,35,39
9,32,27,32
4,25,30,37
26,26,34,35
24,23,34,33
2,40,25,36
2,35,26,33
27,26,37,36
24,23,37,35
1,47,33,39
2,45,35,35
29,19,35,36
8,39,31,28
30,21,33,33
1,47,34,38
0,48,30,38
