0,1,2,3
30,49,30,53
30,49,30,53
29,35,42,34
29,35,42,34
48,42,38,34
47,38,36,38
29,40,37,23
23,41,34,21
45,36,36,33
45,34,35,43
34,43,37,25
29,39,35,25
45,36,36,33
45,34,35,43
34,43,37,25
29,39,35,25
47,44,39,35
44,38,38,39
24,41,34,25
22,42,33,23
47,37,35,37
37,36,30,37
36,45,36,31
33,37,32,27
27,52,21,55
27,52,21,55
33,47,35,19
33,47,35,19
51,43,38,43
40,36,33,57
43,48,40,33
40,41,41,33
47,37,35,37
37,36,30,37
36,45,36,31
33,37,32,27
46,37,34,36
43,37,32,44
28,43,35,25
27,41,32,22
46,38,35,37
37,36,30,37
36,45,36,31
33,37,32,27
42,36,37,34
42,33,33,29
26,40,29,26
25,40,34,26
48,43,38,36
44,42,35,35
28,43,33,24
27,41,33,24
53,45,43,42
51,42,41,38
27,48,40,25
25,44,37,24
47,37,35,37
37,36,30,37
36,45,36,31
33,37,32,27
43,42,36,35
43,37,37,47
28,43,33,30
22,39,33,23
49,39,30,32
26,36,29,21
45,51,37,50
32,47,36,34
32,47,36,34
59,63,58,59
55,74,51,50
45,41,35,36
31,56,27,60
37,43,37,30
45,54,43,38
48,39,37,36
39,60,31,53
38,42,35,28
41,45,40,27
38,42,35,28
34,51,34,28
38,42,35,28
34,51,34,28
37,43,37,30
37,42,31,31
37,43,37,30
37,42,31,31
46,40,36,34
44,33,33,44
26,42,31,24
26,36,29,20
43,38,36,35
45,36,36,49
34,39,33,27
32,39,35,27
47,43,33,32
44,38,34,43
42,44,40,38
37,39,35,29
47,37,35,37
37,36,30,37
36,45,36,31
31,36,33,25
45,39,34,32
44,33,38,37
32,41,31,25
28,34,27,23
47,37,35,37
37,36,30,37
36,45,36,31
33,37,32,27
47,37,35,37
37,36,30,37
36,45,36,31
33,37,32,27
46,38,34,38
37,35,30,36
36,44,36,30
24,28,41,36
46,38,34,38
37,35,30,36
36,44,36,30
24,28,41,36
51,37,43,37
39,45,31,53
38,40,35,31
34,56,37,29
48,43,38,36
46,35,38,35
47,46,41,35
24,37,34,25
44,42,36,34
41,36,35,43
28,43,37,25
24,40,32,24
49,44,38,35
54,38,47,45
37,44,34,28
34,36,35,24
48,41,39,36
49,38,41,35
28,42,34,21
23,38,33,22
50,40,35,36
53,32,49,49
45,41,36,38
49,56,39,43
19,45,32,34
48,41,40,40
48,39,39,37
24,50,40,28
23,46,38,28
44,38,36,36
44,36,35,32
26,39,32,25
24,40,31,22
55,40,40,40
40,54,37,75
44,46,39,41
54,47,57,63
44,38,36,36
44,34,35,31
31,40,34,31
32,40,32,27
25,35,44,32
19,30,40,29
47,40,38,39
39,52,32,59
38,44,38,30
37,50,33,26
47,39,40,35
45,33,38,46
37,42,38,32
32,38,36,27
47,37,35,37
37,36,30,37
36,45,36,31
33,37,32,27
47,42,34,32
44,41,29,29
28,42,31,22
29,41,30,25
49,39,36,36
39,37,32,38
37,42,35,32
35,38,33,25
52,42,37,36
46,37,34,36
38,48,35,32
36,44,36,31
52,42,37,36
46,37,34,36
38,48,35,32
36,44,36,31
46,39,35,34
30,23,38,40
32,44,35,34
29,40,27,25
47,40,38,38
44,34,38,38
