0,1,2,3
57,42,60,35
40,33,44,31
24,28,39,12
21,27,34,9
40,38,40,41
40,38,40,41
22,32,51,11
22,32,51,11
20,25,52,12
28,22,28,18
26,21,28,20
22,21,29,11
21,22,27,13
26,27,30,23
34,31,36,22
23,26,30,17
26,25,37,12
26,27,30,23
34,31,36,22
23,26,30,17
26,25,37,12
27,24,29,25
27,21,26,23
24,22,28,12
23,20,26,13
29,18,31,22
26,10,29,16
27,19,29,19
23,15,28,14
41,18,35,16
41,18,35,16
26,27,46,13
26,27,46,13
33,19,29,21
33,16,40,16
35,25,33,24
30,20,29,16
29,18,31,22
26,10,29,16
27,19,29,19
23,15,28,14
30,22,32,21
26,21,29,17
24,19,32,18
24,19,30,16
29,17,29,20
26,10,29,16
26,19,28,21
23,15,28,14
29,30,27,27
27,24,28,25
23,25,27,17
23,22,28,12
31,23,32,21
30,21,31,21
22,25,34,9
23,23,32,10
37,24,37,26
37,23,36,25
26,25,38,13
27,25,37,13
29,18,31,22
26,10,29,16
27,19,29,19
23,15,28,14
27,23,28,22
30,24,29,21
24,24,29,17
22,27,29,11
31,15,27,14
32,34,37,34
26,17,37,9
34,31,41,15
43,32,43,27
43,32,43,27
23,31,50,7
23,31,50,7
65,37,73,21
33,83,32,74
32,36,61,5
28,40,62,6
32,20,30,19
39,32,40,20
23,17,31,11
28,20,44,14
41,21,44,20
52,45,51,39
25,16,32,14
24,32,53,14
25,16,32,14
26,18,39,12
25,16,32,14
26,18,39,12
23,17,31,11
23,16,27,12
23,17,31,11
23,16,27,12
29,23,31,22
31,22,33,19
27,22,30,11
20,20,38,12
36,30,37,30
42,29,44,29
28,26,28,19
29,22,26,18
39,32,37,18
39,32,37,18
32,24,38,10
32,24,38,10
72,39,76,45
69,36,67,36
62,35,68,26
63,32,67,23
87,65,86,56
90,61,90,50
21,51,49,13
21,42,57,12
26,22,27,19
34,23,32,16
29,23,31,15
22,24,39,13
29,18,31,22
26,10,29,16
27,18,28,19
23,15,37,19
27,23,24,18
26,19,29,16
27,23,27,16
26,23,31,11
29,18,31,22
26,10,29,16
27,19,29,19
23,15,28,14
29,14,30,23
27,16,29,17
15,21,31,21
20,20,30,17
29,18,31,22
26,10,29,16
27,19,29,19
23,15,28,14
36,16,33,19
36,16,35,21
29,19,45,15
29,20,43,15
27,22,30,21
31,16,27,17
26,18,31,14
27,16,27,13
27,22,30,21
31,16,27,17
26,18,31,14
27,16,27,13
14,52,34,21
15,46,40,22
14,52,34,21
15,46,40,22
34,18,34,19
50,19,48,18
26,17,32,10
28,17,39,9
27,19,28,22
26,21,28,21
29,22,33,19
20,23,27,13
29,24,29,16
27,24,27,17
24,23,31,12
21,22,27,10
39,21,32,23
44,20,48,21
27,20,34,13
23,20,41,13
30,19,30,23
29,20,33,22
21,20,32,10
22,17,31,8
31,13,30,16
37,23,47,23
32,18,34,17
31,26,43,21
64,26,64,24
32,21,50,21
50,22,56,13
20,21,41,10
28,21,26,20
29,20,27,23
23,20,30,10
23,20,29,12
27,32,30,26
36,29,36,24
24,29,32,14
21,28,28,18
28,16,34,18
27,12,25,14
26,20,28,14
26,15,27,11
27,32,30,26
29,32,32,23
23,29,30,16
