0,1,2,3
52,55,52,52
38,50,37,48
22,38,40,26
20,33,35,21
23,42,23,40
23,42,23,40
19,36,28,20
19,36,28,20
58,50,69,56
47,55,49,83
29,47,65,49
18,49,50,20
33,26,33,25
31,27,32,24
22,26,30,19
21,26,32,21
34,26,34,26
35,28,34,32
25,27,34,24
24,32,33,28
34,26,34,26
35,28,34,32
25,27,34,24
24,32,33,28
33,26,35,28
34,26,32,26
22,26,32,22
22,26,32,21
32,31,33,28
28,34,28,33
27,27,31,24
22,25,32,29
20,42,19,44
20,42,19,44
19,42,30,18
19,42,30,18
36,30,36,31
31,38,31,28
29,33,35,32
29,31,38,35
32,31,33,28
28,34,28,33
27,27,31,24
22,25,32,29
33,29,33,26
30,28,30,28
19,27,30,24
19,28,32,25
32,31,32,30
28,34,28,33
26,26,32,25
22,25,32,29
33,23,34,27
32,24,32,27
18,25,21,25
21,23,31,23
36,28,35,29
34,30,35,29
21,28,33,23
20,28,33,25
41,34,44,35
40,32,42,33
24,32,37,26
24,34,36,24
32,31,33,28
28,34,28,33
27,27,31,24
22,25,32,29
31,24,31,28
31,27,32,29
28,24,31,25
21,23,27,22
29,28,29,28
29,36,30,34
19,26,29,19
26,32,29,31
40,38,37,47
40,38,37,47
18,37,31,20
18,37,31,20
56,49,58,51
52,48,51,49
19,55,37,29
41,53,68,35
32,29,32,29
22,32,28,28
25,28,31,23
25,31,31,27
36,33,37,41
32,48,30,51
28,31,35,25
29,38,36,24
28,31,35,25
25,29,34,30
28,31,35,25
25,29,34,30
25,28,31,23
25,26,33,25
25,28,31,23
25,26,33,25
34,27,34,27
33,26,32,26
21,27,29,22
20,23,30,21
28,42,43,26
23,36,43,26
15,36,41,19
12,37,38,19
34,26,35,24
34,34,35,36
29,27,36,24
26,29,33,21
36,35,27,35
36,35,27,35
24,38,35,29
24,38,35,29
54,51,54,52
64,47,65,48
38,44,49,34
35,41,43,47
97,64,97,64
88,75,88,71
7,63,48,29
8,59,47,25
33,27,26,27
31,24,31,26
31,28,34,24
29,28,31,25
32,31,33,28
28,34,28,33
26,26,32,25
25,35,31,28
33,25,32,25
29,29,31,34
24,25,32,26
22,34,28,24
32,31,33,28
28,34,28,33
27,27,31,24
22,25,32,29
31,19,29,24
31,22,28,21
26,24,35,23
23,24,30,21
32,31,33,28
28,34,28,33
27,27,31,24
22,25,32,29
20,24,20,25
19,25,19,24
22,31,37,22
17,33,34,29
32,29,32,27
27,30,27,34
27,28,31,23
22,24,32,24
32,29,32,27
27,30,27,34
27,28,31,23
22,24,32,24
44,27,34,24
39,37,32,23
44,27,34,24
39,37,32,23
35,28,34,27
28,29,29,32
26,29,32,26
22,24,33,22
35,31,35,27
33,27,32,25
32,27,34,26
21,26,31,23
32,28,33,27
30,22,33,24
22,28,31,24
23,26,34,22
36,29,35,28
34,31,33,26
28,29,36,27
25,32,35,29
36,29,36,28
36,27,34,25
17,27,33,23
17,27,35,22
34,29,36,27
37,36,42,31
32,28,36,24
30,31,35,30
46,50,43,51
39,29,40,29
38,44,44,37
43,48,50,39
34,26,33,27
32,27,32,28
21,26,31,20
21,25,30,25
34,28,34,27
34,26,34,27
21,28,31,24
20,27,31,23
