0,1,2,3
71,28,64,17
42,32,45,33
28,24,39,0
25,25,34,1
21,34,22,34
21,34,22,34
32,24,43,12
32,24,43,12
62,51,57,41
57,29,61,40
34,65,55,34
28,24,57,31
53,31,41,24
54,30,50,25
26,33,38,13
24,30,36,15
46,36,37,27
51,35,46,34
30,34,36,24
29,37,33,22
46,36,37,27
51,35,46,34
30,34,36,24
29,37,33,22
47,31,38,22
48,28,34,19
26,30,34,13
23,29,32,13
47,28,34,15
37,29,31,15
38,28,31,9
33,28,32,10
26,30,21,15
26,30,21,15
32,27,36,8
32,27,36,8
49,27,39,18
39,30,37,15
40,27,38,9
39,30,35,10
47,28,34,15
37,29,31,15
38,28,31,9
33,28,32,10
45,28,35,15
43,27,34,19
30,25,29,7
28,24,28,6
45,28,36,15
37,29,31,15
38,28,34,9
33,28,32,10
46,31,37,34
44,31,35,31
23,27,34,23
25,35,31,23
48,36,36,30
45,32,36,28
27,38,33,19
26,34,32,25
55,40,44,33
55,36,44,30
30,38,36,22
27,36,34,24
47,28,34,15
37,29,31,15
38,28,31,9
33,28,32,10
43,32,35,30
42,28,36,28
32,38,34,28
25,30,32,22
53,27,53,19
37,42,43,51
26,28,33,5
17,45,38,21
55,53,35,41
55,53,35,41
26,28,43,14
26,28,43,14
35,73,34,61
30,73,32,68
25,59,82,16
21,43,43,15
46,31,36,15
27,33,29,15
39,26,34,9
47,27,48,14
47,28,37,15
33,32,35,31
37,25,34,8
40,26,46,10
37,25,34,8
37,25,33,9
37,25,34,8
37,25,33,9
39,26,34,9
36,27,33,8
39,26,34,9
36,27,33,8
46,38,37,26
53,37,45,25
27,35,31,13
26,34,29,15
41,43,42,27
36,38,42,19
17,42,39,20
16,46,34,16
43,36,36,35
43,28,52,36
35,35,35,25
32,36,34,23
38,40,41,36
38,40,41,36
22,41,38,22
22,41,38,22
64,51,58,39
75,47,75,36
43,45,50,27
51,50,65,28
102,76,102,70
89,70,94,71
15,59,43,32
13,59,41,33
46,38,37,29
43,39,35,27
41,34,39,22
36,32,34,20
47,28,34,15
37,29,31,15
38,28,34,9
31,27,31,10
45,31,34,26
42,25,34,26
33,35,32,28
28,28,28,23
47,28,34,15
37,29,31,15
38,28,31,9
33,28,32,10
46,34,28,17
44,32,27,16
43,31,32,7
36,29,30,7
47,28,34,15
37,29,31,15
38,28,31,9
33,28,32,10
22,31,20,17
35,30,36,16
19,37,34,9
17,36,31,10
47,29,34,17
36,31,30,16
38,28,31,9
31,28,31,10
47,29,34,17
36,31,30,16
38,28,31,9
31,28,31,10
26,42,40,21
28,38,39,16
26,42,40,21
28,38,39,16
50,25,42,18
36,30,39,16
37,23,36,7
46,22,49,10
48,34,39,23
45,30,37,19
44,35,41,17
27,29,32,14
43,35,36,28
41,34,36,24
28,35,32,22
25,35,31,22
51,35,41,27
58,28,51,24
37,33,34,19
34,31,35,18
49,34,42,26
50,31,43,24
22,27,33,11
21,28,33,18
55,22,43,15
47,29,41,15
47,23,38,13
53,28,55,16
67,44,56,29
64,43,63,28
32,50,47,19
21,40,32,17
46,31,38,33
46,35,37,27
29,34,31,20
26,34,30,19
46,38,36,36
45,37,36,36
26,37,31,25
25,33,31,24
