0,1,2,3
71,27,59,0
43,32,46,17
28,23,27,0
19,18,29,4
21,34,27,19
21,34,27,19
33,27,29,3
33,27,29,3
67,55,74,17
61,44,63,4
32,52,48,13
28,28,50,2
54,32,51,12
58,26,58,14
26,35,32,0
23,21,29,6
47,40,40,11
54,41,50,18
30,35,30,7
29,36,32,6
47,40,40,11
54,41,50,18
30,35,30,7
29,36,32,6
40,22,50,17
45,33,41,4
27,23,32,5
21,27,31,2
46,27,26,0
36,25,28,0
25,16,30,11
35,29,19,0
21,27,25,1
21,27,25,1
30,19,26,6
30,19,26,6
49,26,34,0
38,31,37,17
41,26,27,0
40,29,29,0
46,27,26,0
36,25,28,0
25,16,30,11
35,29,19,0
45,27,26,3
43,26,27,0
30,23,17,0
28,22,16,0
46,27,26,0
36,25,28,0
26,16,31,11
35,29,19,0
47,42,38,12
47,42,39,11
25,39,30,7
26,36,31,5
50,38,35,7
45,33,34,8
28,36,27,6
27,35,26,4
54,42,40,9
51,37,38,9
27,37,29,7
27,36,27,6
46,27,26,0
36,25,28,0
25,16,30,11
35,29,19,0
44,37,37,6
43,35,34,10
31,37,30,8
27,33,30,5
64,26,47,0
45,55,51,17
27,24,20,0
20,50,30,7
56,55,51,16
56,55,51,16
25,29,24,1
25,29,24,1
35,74,38,39
36,77,39,44
31,58,63,3
22,46,43,4
48,27,29,0
26,33,27,17
37,24,21,0
47,27,55,0
48,29,30,2
33,32,32,16
37,25,22,0
39,26,28,0
37,25,22,0
37,24,20,0
37,25,22,0
37,24,20,0
37,24,21,0
34,25,20,0
37,24,21,0
34,25,20,0
46,40,36,4
49,37,47,6
25,33,26,4
26,33,26,3
48,28,38,11
39,32,44,10
23,34,39,7
25,31,32,7
44,38,37,11
54,40,50,9
35,37,36,7
32,34,35,6
38,36,41,25
38,36,41,25
22,39,38,8
22,39,38,8
64,51,58,12
76,51,77,14
43,46,49,6
47,54,64,8
102,74,102,27
91,77,93,33
13,57,41,16
13,62,34,12
47,44,39,8
62,43,60,9
33,23,47,12
30,23,40,12
46,27,26,0
36,25,28,0
26,16,31,11
36,29,21,0
46,34,32,7
31,24,41,9
33,28,27,8
28,31,26,5
46,27,26,0
36,25,28,0
25,16,30,11
35,29,19,0
50,35,21,0
47,33,20,0
37,30,18,0
36,30,19,0
46,27,26,0
36,25,28,0
25,16,30,11
35,29,19,0
28,33,22,0
20,31,18,0
19,37,29,0
17,36,29,0
45,26,26,0
34,26,30,0
35,27,19,0
34,29,21,0
45,26,26,0
34,26,30,0
35,27,19,0
34,29,21,0
25,36,24,22
20,48,23,15
25,36,24,22
20,48,23,15
42,18,47,13
34,40,40,17
38,25,23,0
44,15,35,8
49,37,40,8
46,38,38,7
43,35,37,6
28,30,28,4
44,41,37,9
43,39,35,8
28,32,31,6
27,32,30,6
50,38,41,7
61,31,56,5
36,30,31,5
31,32,34,5
40,23,52,14
50,32,41,5
28,30,28,2
25,29,26,3
56,24,28,0
31,16,34,9
34,16,37,7
45,17,51,8
67,45,65,14
63,43,63,13
36,46,51,5
19,40,33,5
50,42,40,6
44,34,42,11
27,26,35,13
29,33,27,3
45,41,37,11
45,37,36,10
26,35,29,7
24,29,28,9
