0,1,2,3
57,35,60,62
40,40,44,49
24,27,40,29
21,24,34,26
34,14,29,44
34,14,29,44
19,11,33,27
19,11,33,27
58,65,48,62
58,56,47,57
53,71,57,51
33,29,52,36
26,20,29,39
29,20,28,36
22,23,27,34
24,21,27,34
28,32,27,28
29,19,31,36
26,26,29,36
21,28,24,33
28,32,27,28
29,19,31,36
26,26,29,36
21,28,24,33
29,20,29,37
26,18,27,37
21,22,28,31
21,23,28,30
25,17,26,38
25,13,25,39
25,16,29,36
24,17,28,31
32,15,34,40
32,15,34,40
19,17,43,26
19,17,43,26
34,20,34,42
27,18,29,37
30,25,35,42
25,16,30,32
25,17,26,38
25,13,25,39
25,16,29,36
24,17,28,31
25,20,26,40
25,16,26,37
21,20,28,32
18,19,28,31
26,19,27,39
25,13,25,39
25,19,28,35
24,17,28,31
28,20,27,35
24,19,26,34
22,25,30,29
20,21,29,31
32,19,29,36
30,19,29,37
23,24,34,31
25,22,31,31
38,21,37,46
34,19,33,45
28,27,38,33
24,24,37,32
25,17,26,38
25,13,25,39
25,16,29,36
24,17,28,31
25,21,28,38
26,20,25,35
27,25,26,34
20,26,25,30
25,12,25,33
32,25,32,49
20,15,27,22
36,31,38,40
52,17,46,49
52,17,46,49
22,33,40,25
22,33,40,25
50,33,52,64
49,38,49,62
40,36,64,37
39,35,62,33
29,20,27,39
29,26,31,39
24,17,29,33
24,18,40,28
32,20,32,43
59,33,64,54
32,20,32,34
24,21,51,51
32,20,32,34
27,14,33,38
32,20,32,34
27,14,33,38
24,17,29,33
27,16,27,33
24,17,29,33
27,16,27,33
26,22,27,37
33,20,29,36
25,21,28,25
19,21,26,25
47,46,52,46
39,44,45,40
26,52,48,32
24,52,47,24
28,16,28,33
36,22,34,36
27,26,37,32
28,22,37,31
36,22,33,51
36,22,33,51
32,28,37,46
32,28,37,46
54,23,53,51
53,20,55,68
39,29,55,47
51,26,58,61
69,49,71,113
78,45,82,103
22,54,66,25
20,47,63,20
27,20,24,30
25,19,24,33
24,21,29,33
24,22,29,35
25,17,26,38
25,13,25,39
24,19,26,37
25,17,39,32
26,20,25,41
28,17,30,36
23,21,27,34
24,16,28,30
25,17,26,38
25,13,25,39
25,16,29,36
24,17,28,31
23,17,20,37
23,14,19,33
21,17,22,31
26,18,20,31
25,17,26,38
25,13,25,39
25,16,29,36
24,17,28,31
39,14,38,44
35,10,35,41
28,20,35,40
27,24,44,43
24,20,26,38
31,13,25,38
22,17,27,34
24,16,28,34
24,20,26,38
31,13,25,38
22,17,27,34
24,16,28,34
23,44,45,26
29,37,41,24
23,44,45,26
29,37,41,24
29,19,28,43
28,22,28,43
23,25,31,27
22,15,26,29
27,18,28,37
25,18,25,39
26,20,30,38
23,19,27,32
27,18,27,36
25,17,26,35
25,21,31,34
24,20,34,31
30,18,32,35
34,16,33,34
31,20,35,31
24,19,39,32
29,17,30,34
27,15,29,35
20,18,32,24
24,16,30,26
27,15,30,30
31,12,37,33
30,16,29,31
26,28,30,27
53,19,58,47
24,18,37,45
45,24,49,42
21,22,38,28
29,19,28,40
26,19,26,36
20,21,29,34
23,22,28,32
26,23,26,40
27,23,28,39
22,26,30,39
22,27,29,37
