0,1,2,3
54,53,41,41
43,41,38,37
30,31,22,22
31,30,26,24
25,26,21,19
25,26,21,19
21,23,12,14
21,23,12,14
50,54,73,65
41,35,51,51
34,45,56,33
22,28,51,29
38,39,30,29
38,38,30,26
26,33,25,23
29,28,26,22
41,41,29,29
41,41,32,33
33,36,28,25
22,25,35,30
41,41,29,29
41,41,32,33
33,36,28,25
22,25,35,30
40,39,28,29
36,35,27,27
30,29,17,17
29,28,20,21
35,35,21,21
30,30,22,20
28,29,17,17
25,26,14,16
22,25,20,19
22,25,20,19
23,20,11,18
23,20,11,18
39,39,26,26
34,35,28,26
32,31,21,21
29,32,20,19
35,35,21,21
30,30,22,20
28,29,17,17
25,26,14,16
34,34,21,21
33,33,20,20
25,24,16,15
25,26,16,15
34,34,21,21
30,30,22,20
28,28,17,17
24,26,14,16
37,36,25,26
39,38,27,29
21,20,35,31
28,32,22,19
41,41,29,29
39,39,28,27
32,34,24,23
30,29,21,21
49,49,38,38
49,47,37,38
28,32,29,24
27,32,27,22
35,35,21,21
30,30,22,20
28,29,17,17
25,26,14,16
39,41,28,30
39,39,29,31
35,35,25,25
27,33,27,21
32,31,23,19
36,37,37,35
25,26,16,14
28,23,27,29
34,36,30,27
34,36,30,27
26,21,14,18
26,21,14,18
55,54,52,52
54,53,51,55
22,26,25,17
25,39,40,20
35,35,22,21
25,26,21,19
28,29,18,17
23,23,13,15
39,38,26,26
30,29,33,33
33,32,22,22
31,28,18,21
33,32,22,22
30,31,21,23
33,32,22,22
30,31,21,23
28,29,18,17
28,28,16,16
28,29,18,17
28,28,16,16
37,37,28,28
37,36,28,28
28,29,24,24
27,30,22,20
32,24,43,29
38,27,37,28
36,23,45,11
35,23,38,12
41,40,32,32
40,40,33,33
33,35,28,28
32,33,28,27
39,38,37,36
39,38,37,36
23,23,19,13
23,23,19,13
57,56,45,45
64,64,60,60
42,46,42,39
39,44,33,32
88,90,89,89
88,86,83,82
23,46,46,19
19,46,44,19
37,37,25,25
37,37,28,28
37,36,26,28
33,35,27,26
35,35,21,21
30,30,22,20
28,27,17,17
24,26,14,16
27,26,39,38
36,34,24,25
31,32,23,24
28,28,20,18
35,35,21,21
30,30,22,20
28,29,17,17
25,26,14,16
30,30,14,16
29,31,12,14
28,32,13,14
25,28,13,14
35,35,21,21
30,30,22,20
28,29,17,17
25,26,14,16
20,34,17,18
27,33,17,17
28,27,24,13
24,29,25,12
35,35,21,21
30,30,22,20
28,29,19,18
25,26,15,17
35,35,21,21
30,30,22,20
28,29,19,18
25,26,15,17
18,44,22,29
19,36,16,30
18,44,22,29
19,36,16,30
37,36,23,23
35,36,26,29
30,29,19,17
26,27,15,15
39,38,27,27
39,39,29,28
41,40,31,32
29,35,27,21
37,37,27,27
37,37,29,29
30,34,28,25
28,33,25,22
40,40,31,31
37,38,29,32
34,34,29,27
31,31,28,26
39,39,30,29
42,42,31,30
27,32,25,21
25,26,20,19
37,38,22,22
32,45,23,33
31,33,20,20
28,31,17,17
36,36,50,48
28,28,40,39
32,30,40,34
25,31,42,35
38,35,26,24
36,36,25,25
29,27,19,20
29,29,17,17
39,39,29,29
39,37,28,28
29,32,28,23
27,30,23,21
