0,1,2,3
0,0,0,0
0,0,0,0
1,40,41,0
15,72,96,12
0,0,0,0
0,0,0,0
17,43,50,17
17,43,50,17
46,89,68,110
43,41,65,64
3,73,63,30
10,47,65,16
53,53,54,53
47,46,47,44
1,40,40,0
1,41,38,1
51,50,50,49
41,42,43,41
3,43,41,6
18,65,70,18
51,50,50,49
41,42,43,41
3,43,41,6
18,65,70,18
56,54,55,55
47,45,45,47
2,39,40,1
2,36,39,1
0,0,0,0
0,0,0,0
28,83,91,24
35,53,57,33
0,0,0,0
0,0,0,0
19,35,37,23
19,35,37,23
0,0,0,0
0,0,0,0
27,100,103,29
43,62,67,40
0,0,0,0
0,0,0,0
28,83,91,24
35,53,57,33
0,0,0,0
0,0,0,0
2,48,49,0
12,67,68,14
0,0,0,0
0,0,0,0
24,83,87,25
35,53,57,33
47,46,47,47
42,40,43,43
4,38,37,3
4,36,38,3
62,23,61,22
55,54,55,56
0,42,42,1
0,38,39,0
62,21,64,19
57,57,55,55
0,41,42,1
1,40,42,1
0,0,0,0
0,0,0,0
28,83,91,24
35,53,57,33
61,60,60,60
51,50,51,51
7,43,44,6
4,41,37,3
49,38,53,40
46,43,42,41
13,61,63,12
25,39,38,25
58,44,57,59
58,44,57,59
22,36,40,18
22,36,40,18
53,49,58,52
44,44,46,48
12,41,47,12
14,37,39,14
0,0,0,0
0,0,0,0
27,82,85,26
40,41,41,43
40,18,41,21
33,32,34,32
9,32,36,9
12,33,36,11
9,32,36,9
9,35,35,7
9,32,36,9
9,35,35,7
27,82,85,26
32,69,72,32
27,82,85,26
32,69,72,32
53,52,54,54
40,39,41,39
0,38,39,2
15,54,64,14
19,28,46,10
19,37,48,6
12,23,47,2
12,27,41,4
48,47,48,47
42,42,42,43
8,44,46,5
37,37,49,25
32,32,35,34
32,32,35,34
25,26,24,22
25,26,24,22
81,80,81,80
62,61,60,61
32,72,72,32
44,45,48,43
89,87,88,88
76,77,75,75
0,45,43,0
0,50,49,0
53,52,53,52
52,52,52,51
8,53,52,9
30,47,45,29
0,0,0,0
0,0,0,0
24,83,87,25
37,55,59,31
52,52,52,52
36,35,35,36
4,41,44,3
33,32,32,34
0,0,0,0
0,0,0,0
28,83,91,24
35,53,57,33
168,177,223,87
121,108,105,122
16,41,46,0
10,73,42,0
0,0,0,0
0,0,0,0
28,83,91,24
35,53,57,33
21,19,16,17
14,0,6,0
25,22,23,25
22,23,22,21
0,0,0,0
0,0,0,0
26,83,86,24
35,57,61,33
0,0,0,0
0,0,0,0
26,83,86,24
35,57,61,33
33,46,9,17
48,41,13,19
33,46,9,17
48,41,13,19
7,7,7,5
7,7,5,6
27,84,87,26
37,59,61,37
57,58,58,57
51,52,51,50
12,63,58,18
2,39,40,2
54,53,54,53
47,47,47,47
4,39,39,4
5,37,37,5
63,64,63,64
48,48,47,50
4,53,57,3
32,39,43,30
60,58,59,59
52,55,54,54
2,38,44,0
1,39,39,0
93,0,85,0
36,28,31,20
76,75,74,73
58,57,57,57
52,51,52,52
49,48,50,49
14,51,61,7
4,42,45,3
29,58,31,59
52,54,55,53
1,43,40,1
3,40,38,3
48,48,48,48
44,44,45,44
4,39,40,2
2,40,44,2
