0,1,2,3
71,29,67,36
58,70,54,76
30,24,31,25
30,24,31,25
27,24,23,11
27,24,23,11
44,24,39,23
49,27,34,20
28,33,30,16
30,26,28,16
42,22,34,27
43,25,31,32
36,25,31,27
27,32,29,27
42,22,34,27
43,25,31,32
36,25,31,27
27,32,29,27
44,30,38,25
37,26,43,24
29,26,31,12
36,27,27,25
35,16,20,28
29,19,24,20
25,21,18,24
25,32,16,45
25,32,16,45
28,21,23,9
28,21,23,9
45,22,33,25
39,29,28,25
34,22,25,20
27,19,20,12
31,21,17,13
34,26,29,24
35,16,20,28
29,21,22,20
21,19,25,18
26,23,28,22
51,30,50,41
48,31,46,42
26,39,37,26
36,27,27,25
35,16,20,28
29,19,24,20
24,23,20,25
43,35,35,25
44,33,30,22
34,32,30,23
22,16,24,13
22,16,24,13
39,26,30,15
27,14,30,26
34,25,25,14
28,19,30,16
38,28,29,32
32,30,26,37
33,22,22,23
35,18,26,18
33,22,22,23
32,24,21,21
33,22,22,23
32,24,21,21
34,25,25,14
35,26,26,12
34,25,25,14
35,26,26,12
47,26,37,27
32,23,40,24
26,24,40,16
26,25,25,19
60,31,52,41
41,26,35,18
42,26,32,30
37,25,44,24
29,24,39,21
36,27,27,25
35,16,20,28
29,21,22,20
36,27,27,25
29,19,24,20
24,23,20,25
26,14,35,16
24,16,30,17
16,18,36,19
20,17,30,16
36,27,27,25
35,16,20,28
29,19,24,20
24,23,20,25
36,27,27,24
33,16,20,29
30,20,24,20
24,23,21,21
36,27,27,24
33,16,20,29
30,20,24,20
24,23,21,21
44,22,40,24
43,17,32,25
36,28,31,12
28,17,26,13
35,32,48,29
34,28,41,26
45,27,32,19
27,28,34,12
43,24,37,27
35,24,38,33
29,22,34,22
22,30,32,24
42,25,36,33
35,32,22,33
34,30,31,20
25,22,33,27
42,23,34,34
43,29,31,28
27,21,31,17
24,28,31,19
44,19,27,23
38,20,23,28
39,19,25,24
34,22,21,18
39,17,47,29
42,21,42,22
33,28,38,31
34,27,39,31
39,21,46,29
34,18,38,28
39,25,37,23
36,17,37,20
33,28,38,31
31,33,42,38
26,25,31,27
25,27,35,28
47,16,56,16
42,17,44,23
26,18,35,6
28,22,38,7
38,19,42,29
38,19,29,29
33,16,32,13
33,26,25,15
38,27,40,29
32,30,33,22
38,27,31,17
25,31,27,25
36,27,27,25
35,16,20,28
29,19,24,20
24,23,20,25
40,18,30,33
29,18,23,30
27,21,21,19
25,18,16,17
36,25,44,31
28,17,35,19
30,29,36,14
22,18,38,21
42,26,37,23
46,29,33,24
42,22,35,27
35,24,24,25
34,22,25,20
27,19,20,12
31,21,17,13
37,25,35,29
33,0,31,29
27,26,23,15
25,18,23,12
49,28,43,27
44,17,38,22
33,16,32,13
24,21,35,11
36,27,27,25
51,10,41,20
44,16,41,26
31,21,38,10
31,20,33,14
34,26,32,25
41,21,29,17
26,19,23,7
31,22,22,12
34,21,41,29
36,16,32,14
23,26,35,5
28,19,35,11
26,32,38,29
38,21,44,23
42,26,38,16
32,28,37,8
30,26,35,8
55,32,43,38
53,33,37,41
27,34,32,23
30,35,27,24
30,23,30,24
42,22,35,27
40,18,33,30
26,29,36,21
31,29,32,23
