0,1,2,3
57,0,61,15
44,0,42,15
11,70,71,28
30,0,24,15
30,0,24,15
20,35,39,32
20,35,39,32
39,1,39,25
43,1,39,23
12,31,41,24
6,30,35,20
37,1,37,24
37,3,37,27
20,18,36,22
25,17,40,20
37,1,37,24
37,3,37,27
20,18,36,22
25,17,40,20
40,0,41,24
40,1,38,22
12,29,42,21
8,28,39,21
28,0,37,15
24,0,29,15
27,0,40,15
21,0,41,19
21,0,19,16
21,0,19,16
24,15,33,20
24,15,33,20
34,0,42,16
29,0,33,15
30,0,46,19
26,0,47,20
28,0,37,15
24,0,29,15
27,0,40,15
21,0,41,19
27,0,36,15
27,0,34,15
16,9,39,14
15,14,43,15
28,0,37,15
24,0,29,15
28,0,38,15
21,0,41,19
28,0,37,15
24,0,29,15
27,0,40,15
21,0,41,19
38,0,54,30
27,0,37,15
24,0,24,15
25,0,40,15
48,5,52,20
28,0,37,15
27,0,30,15
26,0,42,15
55,4,57,19
26,0,42,15
26,0,45,18
26,0,42,15
26,0,45,18
25,0,40,15
27,0,43,18
25,0,40,15
27,0,43,18
36,0,37,23
37,0,32,23
36,2,38,23
38,6,41,26
30,7,38,24
28,0,37,15
24,0,29,15
28,0,38,15
26,0,41,18
33,0,36,25
39,0,39,23
26,6,34,22
22,6,30,21
28,0,37,15
24,0,29,15
27,0,40,15
21,0,41,19
28,0,37,15
24,0,29,15
27,0,40,15
21,0,41,19
28,0,36,15
24,0,29,16
28,0,40,15
21,0,41,19
28,0,36,15
24,0,29,16
28,0,40,15
21,0,41,19
39,0,44,20
43,0,33,19
31,0,49,17
53,29,68,23
39,1,39,20
37,1,37,17
11,25,37,19
35,1,36,22
32,2,36,20
23,12,36,21
21,14,34,21
38,0,43,25
54,0,56,25
31,6,42,23
37,23,59,21
33,0,42,26
38,0,39,24
28,0,38,17
53,0,58,15
27,0,45,15
54,0,56,19
36,0,38,20
35,0,35,20
16,16,36,18
11,21,37,20
36,1,36,28
36,0,45,15
38,0,33,15
30,0,48,15
58,9,62,22
36,1,36,28
36,2,38,25
31,9,38,23
25,11,33,21
24,0,44,14
21,0,60,16
15,14,43,15
18,11,52,14
30,0,38,15
28,0,30,15
29,0,46,17
57,6,61,21
40,0,39,26
55,2,55,25
31,7,40,25
29,12,39,25
28,0,37,15
24,0,29,15
27,0,40,15
21,0,41,19
27,0,35,21
19,0,31,17
20,3,34,23
20,2,31,17
28,0,37,15
26,0,31,16
31,0,45,15
25,0,40,18
29,0,42,15
27,0,37,16
27,0,41,15
28,0,40,15
29,0,42,15
27,0,37,16
27,0,41,15
28,0,40,15
46,2,46,28
46,2,45,25
39,0,39,24
37,0,37,21
12,28,39,22
11,28,37,20
37,1,36,22
43,0,42,26
7,32,40,23
7,28,39,21
42,0,40,30
37,2,38,23
32,7,40,27
27,10,36,24
27,0,36,15
27,0,34,15
16,9,39,14
15,14,43,15
29,0,42,15
27,0,38,15
25,10,45,14
15,10,40,15
33,0,45,15
31,0,40,15
12,22,48,15
13,19,49,15
28,0,37,15
24,0,29,15
27,0,40,15
21,0,41,19
48,0,50,19
48,0,50,21
10,33,40,14
18,27,41,19
31,0,48,17
30,0,45,16
10,26,47,17
