0,1,2,3
56,58,59,58
42,42,54,53
27,27,35,29
32,33,24,20
32,33,24,20
16,17,27,17
16,17,27,17
30,27,33,29
25,23,29,30
24,29,31,27
21,23,28,26
34,29,38,34
31,34,37,32
26,31,36,29
26,29,33,30
34,29,38,34
31,34,37,32
26,31,36,29
26,29,33,30
29,28,34,33
25,28,37,34
24,31,32,27
20,24,31,31
32,33,34,38
32,32,36,35
26,29,32,25
28,32,27,26
26,30,31,31
26,30,31,31
31,28,24,16
31,28,24,16
41,41,41,41
38,39,44,45
33,41,37,31
32,33,34,38
32,32,36,35
26,29,32,25
29,38,27,23
34,34,33,38
30,30,31,35
26,25,28,24
22,22,28,20
32,36,34,36
32,32,36,35
26,33,32,25
29,38,27,23
30,32,38,34
10,48,38,30
22,24,34,28
39,38,42,40
37,36,39,38
26,31,34,25
54,56,62,57
45,46,58,50
32,33,34,38
32,32,36,35
26,29,32,25
29,38,27,23
30,31,39,34
23,30,30,26
31,32,32,30
24,19,25,16
35,36,28,26
27,25,20,21
30,29,26,22
23,24,18,17
44,43,28,28
46,49,30,30
36,37,24,22
47,48,21,21
36,37,24,22
32,37,19,19
36,37,24,22
32,37,19,19
30,29,26,22
24,27,23,20
30,29,26,22
24,27,23,20
33,30,34,32
31,32,27,28
22,30,29,28
22,31,25,27
39,42,43,38
36,39,40,34
29,34,35,32
29,40,31,30
76,75,82,58
30,31,41,33
30,29,35,33
25,27,32,32
25,28,30,26
32,33,34,38
32,32,36,35
26,29,32,25
28,35,28,24
36,37,35,37
30,31,34,28
29,31,37,27
28,35,29,21
32,33,34,38
32,32,36,35
26,29,32,25
29,38,27,23
21,22,21,21
17,21,22,18
32,33,34,38
32,32,36,35
26,29,32,25
29,38,27,23
33,39,32,37
32,36,35,36
27,32,32,25
27,31,29,26
33,39,32,37
32,36,35,36
27,32,32,25
27,31,29,26
34,35,28,33
30,31,24,25
28,28,27,23
25,27,25,21
27,33,36,38
29,29,30,31
33,33,42,40
22,29,30,30
28,27,34,33
31,30,35,30
27,29,34,26
25,26,35,27
35,35,34,30
35,36,31,26
33,34,33,30
30,32,32,29
35,36,35,33
32,32,34,30
24,29,28,22
20,24,27,23
31,32,32,28
27,28,26,25
33,32,29,29
31,29,27,26
30,27,36,32
30,26,32,27
23,28,30,27
22,22,29,24
36,35,41,37
32,32,38,34
27,34,34,32
23,26,28,27
26,28,31,26
20,21,25,27
24,27,27,31
21,22,25,30
36,35,41,37
33,34,34,32
30,36,33,30
26,28,30,31
26,24,28,29
28,23,28,26
22,22,35,24
19,18,28,22
45,40,27,23
58,50,29,25
33,38,25,22
30,40,26,20
33,37,36,36
28,34,36,36
27,30,36,29
28,30,35,28
38,32,28,33
31,32,32,35
23,19,25,14
24,19,21,18
32,33,34,38
32,32,36,35
26,29,32,25
29,38,27,23
27,30,33,28
24,25,27,22
22,26,29,20
20,28,26,24
35,34,36,34
30,29,30,28
29,29,29,23
22,28,30,24
37,37,35,36
33,32,32,37
27,32,35,33
25,32,33,25
37,37,35,36
33,32,32,37
27,32,35,33
25,32,33,25
42,41,33,33
25,24,26,27
36,33,28,29
23,28,30,25
27,28,33,33
25,26,33,33
22,31,33,28
