0,1,2,3
77,44,44,74
55,35,33,53
40,28,37,27
35,31,28,27
28,16,17,30
29,11,13,31
29,11,13,31
19,31,35,26
38,27,22,28
37,24,23,26
26,19,20,23
27,18,14,20
36,28,28,27
42,34,28,28
34,24,22,30
27,25,22,24
36,28,28,27
42,34,28,28
34,24,22,30
27,25,22,24
41,26,27,33
33,24,25,30
27,21,20,20
29,19,21,19
43,21,22,44
35,21,23,36
33,19,18,34
38,15,16,39
27,17,17,30
27,17,17,30
38,11,14,36
38,11,14,36
49,26,27,49
45,26,27,45
39,21,22,40
45,23,22,47
43,21,22,44
35,21,23,36
33,19,18,34
38,15,16,39
40,21,21,48
38,21,20,38
26,20,17,26
26,17,21,29
44,21,21,41
35,21,23,36
34,18,21,35
38,16,16,39
40,27,23,29
37,28,27,26
25,21,19,23
26,20,21,17
39,30,25,35
41,26,26,33
29,25,21,26
27,23,19,24
52,36,36,50
49,35,34,42
30,25,23,30
32,21,21,28
43,21,22,44
35,21,23,36
33,19,18,34
38,15,16,39
34,27,29,28
36,29,28,33
32,24,25,27
25,22,22,22
47,18,23,47
34,36,38,33
22,15,15,24
24,26,29,22
44,30,29,47
44,30,29,47
34,13,16,32
34,13,16,32
43,22,21,43
31,18,19,34
34,17,17,34
43,15,16,41
51,27,26,50
43,25,27,43
38,20,21,39
48,18,18,50
38,20,21,39
45,19,20,49
38,20,21,39
45,19,20,49
34,17,17,34
31,17,17,30
34,17,17,34
31,17,17,30
35,26,25,27
37,22,23,26
39,34,29,30
44,24,24,36
38,23,24,27
35,26,21,27
37,22,24,28
43,21,22,44
35,21,23,36
33,18,20,35
40,16,17,40
38,28,26,30
41,26,24,42
30,28,25,27
27,20,23,23
43,21,22,44
35,21,23,36
33,19,18,34
38,15,16,39
43,21,22,44
35,21,23,36
33,19,18,34
38,15,16,39
42,21,22,46
35,21,23,37
34,19,19,38
38,17,16,39
42,21,22,46
35,21,23,37
34,19,19,38
38,17,16,39
47,22,22,46
48,27,23,44
38,17,19,39
35,15,14,40
44,30,27,36
36,30,23,28
44,30,26,41
26,22,20,22
39,27,28,33
39,30,26,26
30,25,24,24
29,23,22,23
46,29,29,40
45,23,27,45
38,22,24,31
33,20,21,27
47,28,28,40
43,30,25,32
27,22,20,25
22,22,19,22
42,23,21,42
44,20,20,39
42,21,20,41
36,17,19,38
30,24,25,24
25,18,17,22
25,20,20,23
39,25,26,30
39,24,26,30
28,18,20,25
27,22,24,18
41,21,23,43
39,21,22,39
35,18,18,34
40,18,16,45
39,25,26,30
38,26,26,30
31,25,22,24
28,24,24,22
33,17,21,32
36,16,18,27
25,14,19,30
19,15,18,24
50,25,27,52
42,23,24,41
36,20,18,37
48,17,21,48
40,26,26,33
39,28,25,28
33,22,23,27
34,23,24,26
43,21,22,44
35,21,23,36
33,19,18,34
38,15,16,39
38,20,21,39
29,18,20,29
24,15,17,30
23,15,14,30
37,20,21,39
38,19,19,38
34,18,18,32
28,15,17,28
54,22,23,50
46,21,21,40
35,20,20,35
33,20,21,37
54,22,23,50
46,21,21,40
35,20,20,35
33,20,21,37
44,28,29,36
38,25,28,32
42,27,25,37
35,24,24,30
26,21,20,23
28,19,20,23
