0,1,2,3
26,25,29,22
26,25,29,22
20,30,37,22
20,30,37,22
25,26,27,25
28,26,24,28
25,28,27,25
21,25,25,21
27,26,27,27
33,29,31,32
25,30,29,23
21,39,39,22
27,26,27,27
33,29,31,32
25,30,29,23
21,39,39,22
29,27,28,28
28,26,28,27
24,32,28,22
23,27,27,23
25,26,27,26
24,25,26,30
24,26,26,27
25,27,25,24
29,29,33,32
36,31,28,30
30,33,35,26
24,29,29,29
25,26,27,26
24,25,26,30
24,26,26,27
25,27,25,24
25,27,25,25
24,26,26,26
25,27,25,24
27,26,26,27
27,25,26,26
22,25,27,24
22,28,28,21
33,31,30,29
30,29,29,31
23,33,32,24
25,35,35,22
35,36,39,37
35,34,35,34
27,37,37,25
25,36,37,26
25,26,27,26
24,25,26,30
24,26,26,27
25,27,25,24
29,26,25,28
23,29,25,27
26,30,27,27
22,27,26,20
26,26,25,25
30,34,32,37
22,28,29,23
36,41,35,39
39,36,39,35
39,36,39,35
17,56,51,18
17,56,51,18
25,26,25,27
27,25,25,23
28,28,28,26
27,29,36,27
34,33,34,33
27,33,40,29
31,36,33,30
27,33,40,29
28,28,28,26
24,26,28,27
28,28,28,26
24,26,28,27
26,27,26,26
29,33,30,27
27,31,29,24
18,34,26,21
28,28,27,27
34,35,34,37
26,36,31,25
23,39,42,23
27,27,26,27
25,25,24,24
27,29,28,26
23,27,27,25
25,26,27,26
24,25,26,30
25,26,26,24
27,26,24,24
24,25,27,28
28,28,29,31
25,27,27,26
29,34,32,28
25,26,27,26
24,25,26,30
24,26,26,27
25,27,25,24
23,26,30,22
20,25,29,24
23,25,29,20
18,28,31,23
25,26,27,26
24,25,26,30
24,26,26,27
25,27,25,24
26,26,28,27
26,24,26,26
24,25,26,26
26,26,24,24
26,26,28,27
26,24,26,26
24,25,26,26
26,26,24,24
30,31,31,28
30,24,24,31
22,30,33,24
25,39,30,25
29,28,29,27
28,27,26,26
29,30,31,28
22,27,30,23
28,28,28,32
27,27,29,27
24,30,30,26
23,35,40,22
29,30,31,30
30,35,34,34
27,31,34,28
24,41,31,24
30,29,31,33
35,27,30,28
23,31,32,26
22,29,29,22
29,25,27,29
30,25,31,26
27,27,31,30
26,27,25,26
19,27,26,23
26,26,27,24
27,27,27,27
24,27,28,25
24,30,28,24
28,30,30,31
28,26,25,30
23,31,29,24
21,31,28,23
26,25,27,25
23,23,25,26
24,25,26,22
22,26,25,24
28,30,30,31
29,31,26,26
27,29,30,28
27,36,28,26
31,30,31,29
25,28,27,24
25,29,33,27
18,28,27,17
31,29,30,31
30,31,34,33
29,32,30,29
25,34,37,23
25,26,29,28
26,29,25,23
27,30,30,24
26,28,27,27
25,26,27,26
24,25,26,30
24,26,26,27
25,27,25,24
23,24,23,23
22,22,23,24
24,28,26,24
24,25,25,25
27,29,29,30
25,25,27,28
25,29,28,24
26,29,29,24
26,28,27,29
24,25,25,28
25,27,28,26
25,25,26,25
26,28,27,29
24,25,25,28
25,27,28,26
25,25,26,25
29,30,29,27
26,28,24,25
30,29,29,29
25,26,30,26
29,29,30,27
27,24,28,28
22,31,28,21
22,29,29,22
26,27,29,28
24,29,25,32
23,30,30,23
20,33,29,21
