0,1,2,3
53,54,57,21
37,44,47,29
22,38,33,11
20,35,33,12
27,48,29,16
27,48,29,16
26,48,30,10
26,48,30,10
46,37,41,4
49,55,36,0
28,40,31,0
26,36,25,2
45,36,43,9
51,51,55,6
26,32,35,8
27,33,39,6
45,36,43,9
51,51,55,6
26,32,35,8
27,33,39,6
39,34,49,14
38,43,44,12
21,34,35,10
19,34,34,10
34,33,34,10
29,42,32,10
25,33,30,10
26,35,27,8
21,45,24,15
21,45,24,15
29,42,30,6
29,42,30,6
37,42,41,11
35,76,37,18
28,35,34,11
32,33,36,9
34,33,34,10
29,42,32,10
25,33,30,10
26,35,27,8
33,32,34,11
32,40,33,9
20,35,27,8
20,33,25,7
34,33,34,10
29,42,32,10
25,32,30,10
26,35,27,8
39,35,46,7
44,44,38,2
24,39,31,0
26,38,31,0
39,40,47,8
37,35,45,10
22,36,34,7
28,41,28,0
43,40,49,7
41,39,49,6
21,42,33,4
22,36,31,6
34,33,34,10
29,42,32,10
25,33,30,10
26,35,27,8
38,39,45,4
34,45,46,8
23,33,37,8
26,37,31,0
34,27,40,18
19,27,27,14
41,35,49,33
22,41,34,13
22,41,34,13
35,37,37,10
24,43,29,16
27,36,31,11
37,44,33,10
36,47,40,8
28,55,34,16
28,36,31,8
34,46,35,8
28,36,31,8
25,32,30,9
28,36,31,8
25,32,30,9
27,36,31,11
28,34,29,10
27,36,31,11
28,34,29,10
38,35,45,9
43,45,54,10
21,33,33,8
21,29,36,9
36,33,45,11
49,49,54,6
27,34,37,6
26,29,36,5
36,37,31,15
64,59,71,7
36,37,38,4
36,53,37,1
33,33,37,10
30,28,34,11
34,33,34,10
29,42,32,10
25,32,30,10
27,35,27,8
37,31,43,10
42,47,48,8
28,33,37,10
25,28,32,7
34,33,34,10
29,42,32,10
25,33,30,10
26,35,27,8
34,33,34,10
29,42,32,10
25,33,30,10
26,35,27,8
33,34,34,11
29,41,31,9
25,34,30,9
26,42,26,7
33,34,34,11
29,41,31,9
25,34,30,9
26,42,26,7
43,41,45,11
30,63,38,11
28,33,33,9
27,46,35,9
39,35,49,14
37,31,47,13
33,37,40,8
20,32,35,10
37,36,45,12
34,47,45,14
29,41,34,0
28,37,32,3
40,36,50,9
48,50,57,9
28,34,41,10
27,48,34,7
38,31,48,9
39,45,50,10
20,31,35,8
16,32,32,9
35,40,44,9
29,45,33,7
32,33,35,8
34,47,34,10
17,44,37,11
40,31,48,17
37,29,47,15
24,33,39,11
22,33,35,12
37,35,44,8
37,38,45,9
23,34,33,7
20,32,34,8
51,43,27,0
33,56,35,10
44,44,25,0
47,49,50,1
37,35,44,8
36,32,43,10
26,31,37,9
24,27,35,10
41,35,45,8
67,52,49,7
22,31,32,8
18,32,27,8
36,35,38,14
29,54,34,13
27,32,32,11
29,44,27,10
40,37,48,10
39,38,46,10
31,33,42,10
28,27,43,9
45,45,49,14
45,44,40,14
38,40,42,7
20,42,35,8
34,33,34,10
29,42,32,10
25,33,30,10
26,35,27,8
48,46,24,0
44,43,19,0
19,33,27,8
19,32,22,9
36,39,38,9
29,43,34,7
27,40,30,6
26,34,28,7
39,35,39,10
33,34,34,11
28,36,33,11
25,34,30,9
