0,1,2,3
22,21,23,52
22,21,23,52
20,31,36,38
20,31,36,38
31,28,31,43
31,27,23,43
28,33,35,34
27,33,34,30
34,32,23,43
34,32,23,43
38,34,22,45
27,48,48,34
27,19,24,27
31,32,29,30
27,29,27,29
27,24,24,40
28,27,23,36
26,28,27,38
26,27,22,33
34,37,25,46
34,37,25,46
21,52,40,31
21,52,40,31
31,29,29,43
27,26,26,49
35,35,30,35
28,32,28,45
27,24,24,40
28,27,23,36
26,28,27,38
26,27,22,33
28,26,27,38
27,26,25,37
24,28,29,36
22,28,26,32
26,25,24,41
28,27,25,34
25,29,26,33
26,27,22,33
28,29,33,41
23,30,39,36
33,30,41,51
31,32,37,47
24,35,49,39
26,36,47,40
39,36,50,56
37,36,45,56
30,44,68,31
26,41,59,29
27,24,24,40
28,27,23,36
26,28,27,38
26,27,22,33
29,29,25,32
33,39,20,36
27,31,24,32
25,37,23,32
43,44,30,43
62,59,50,64
33,40,33,31
40,57,37,33
33,40,33,31
32,38,30,33
33,40,33,31
32,38,30,33
27,31,24,32
25,29,24,32
27,31,24,32
25,29,24,32
29,30,25,37
42,31,23,39
25,34,34,19
24,30,29,19
44,42,35,53
33,43,40,30
30,29,28,43
35,27,30,39
26,25,24,41
30,27,24,37
26,28,27,38
28,28,33,34
29,35,24,39
27,30,35,31
27,24,24,40
28,27,23,36
26,28,27,38
26,27,22,33
20,28,36,33
27,24,24,40
28,27,23,36
26,28,27,38
26,27,22,33
28,25,27,41
27,25,24,36
26,27,25,37
31,28,31,36
28,25,27,41
27,25,24,36
26,27,25,37
31,28,31,36
27,22,23,31
27,25,22,27
25,33,27,33
28,41,25,33
35,31,22,39
31,29,21,40
29,33,31,28
30,29,35,36
27,25,28,34
28,35,40,37
25,40,42,31
33,31,23,47
39,29,26,42
34,39,37,39
32,34,39,32
36,30,23,41
38,29,24,39
29,36,38,26
27,36,37,27
33,25,20,36
29,25,22,34
26,31,28,37
33,32,38,56
41,30,33,55
30,35,42,46
28,33,39,46
26,25,27,46
21,21,21,42
25,25,25,43
23,24,26,40
33,32,38,56
31,31,35,51
30,34,43,52
30,44,37,42
28,26,21,39
26,26,22,35
25,33,29,29
22,31,29,25
36,32,32,40
34,33,34,35
31,30,22,44
34,30,22,42
31,32,28,42
28,33,28,36
27,24,24,40
28,27,23,36
26,28,27,38
26,27,22,33
25,26,23,41
26,25,22,33
26,30,29,38
26,27,27,33
31,28,28,44
27,25,27,36
29,28,26,38
25,28,26,37
31,28,28,44
27,25,27,36
29,28,26,38
25,28,26,37
35,32,37,39
29,17,22,29
31,32,31,29
31,33,22,43
38,36,23,46
29,32,35,24
26,31,32,24
36,38,45,64
31,44,66,28
27,40,62,26
29,29,31,37
23,23,27,35
27,29,31,40
22,30,30,30
25,25,25,39
26,25,26,38
22,29,28,31
24,28,27,29
31,30,30,44
30,29,29,42
28,34,32,31
26,32,31,33
38,36,38,49
37,39,35,49
29,40,42,35
28,41,41,31
26,23,29,45
24,20,27,35
21,32,31,39
27,24,24,40
28,27,23,36
26,28,27,38
26,27,22,33
29,32,26,30
24,32,26,27
23,32,24,25
33,30,23,43
34,29,24,39
33,33,31,35
30,32,24,40
