0,1,2,3
30,50,30,49
30,50,30,49
29,48,34,41
29,48,34,41
43,26,40,21
40,28,35,29
30,33,33,27
25,36,30,21
41,22,37,23
34,21,42,26
33,38,35,32
27,33,37,28
41,22,37,23
34,21,42,26
33,38,35,32
27,33,37,28
36,27,45,28
33,25,40,28
21,36,33,28
22,36,31,27
46,35,19,23
37,31,19,21
37,37,19,23
32,34,16,18
23,49,28,36
23,49,28,36
34,43,22,32
34,43,22,32
35,37,38,28
40,34,31,29
28,42,34,27
39,44,19,22
46,35,19,23
37,31,19,21
37,37,19,23
32,34,16,18
46,36,18,24
43,30,20,24
30,38,16,17
19,32,23,20
46,35,19,22
37,31,19,21
37,36,16,22
32,34,16,18
36,27,44,28
34,26,43,27
23,35,29,21
25,32,33,26
48,35,34,29
44,31,32,30
27,41,28,23
26,38,26,22
54,40,42,30
48,37,39,40
27,42,32,26
25,40,30,27
46,35,19,23
37,31,19,21
37,37,19,23
32,34,16,18
43,30,33,28
42,26,31,25
33,40,32,25
26,38,29,21
46,29,42,30
42,48,43,46
42,48,43,46
20,35,26,19
20,35,26,19
55,60,57,56
33,28,35,25
24,38,27,31
27,35,30,35
46,47,59,30
34,30,36,33
29,51,31,29
27,35,33,28
39,48,34,26
27,35,33,28
29,35,30,26
27,35,33,28
29,35,30,26
27,35,30,35
28,42,28,27
27,35,30,35
28,42,28,27
33,25,39,27
33,22,38,27
27,37,27,24
22,29,31,23
43,32,35,27
42,28,32,24
35,36,33,25
33,33,29,24
34,30,34,32
33,23,33,23
33,36,35,27
29,30,32,26
46,35,19,23
37,31,19,21
37,36,16,22
35,37,15,18
43,33,30,24
29,23,38,25
32,38,28,29
27,34,25,21
46,35,19,23
37,31,19,21
37,37,19,23
32,34,16,18
46,35,19,23
37,31,19,21
37,37,19,23
32,34,16,18
46,35,19,23
37,31,19,22
37,35,19,22
35,36,16,18
46,35,19,23
37,31,19,22
37,35,19,22
35,36,16,18
38,34,37,28
29,50,37,29
38,39,22,25
33,48,31,24
34,22,49,26
32,23,45,31
36,28,44,31
23,36,35,30
32,23,40,27
31,21,40,27
28,38,31,25
26,32,30,27
35,28,43,29
34,23,39,25
30,37,38,32
27,31,34,30
35,29,42,29
35,25,39,31
20,34,35,31
17,31,32,27
34,31,36,30
28,27,30,24
33,36,34,28
34,32,42,26
16,43,38,47
48,24,28,27
44,19,28,24
29,40,31,23
29,42,25,24
44,31,33,30
43,31,32,30
26,41,29,26
25,42,28,28
53,41,39,30
34,68,37,82
45,42,31,22
51,55,40,38
44,31,33,30
44,30,33,27
33,41,31,28
31,39,30,23
56,26,54,35
22,29,30,23
20,28,35,25
35,34,38,28
30,41,34,27
38,45,23,23
32,40,31,29
44,30,35,30
41,25,33,28
31,35,42,29
28,27,40,33
46,35,19,23
37,31,19,21
37,37,19,23
32,34,16,18
32,33,38,35
29,33,30,31
19,32,29,24
29,41,13,18
35,37,37,36
30,30,32,33
26,35,31,35
26,32,28,28
52,38,22,26
46,36,18,23
27,38,32,27
37,38,16,21
52,38,22,26
46,36,18,23
27,38,32,27
37,38,16,21
28,22,32,23
26,38,35,27
21,30,33,29
34,26,44,29
32,23,43,24
22,37,34,29
