0,1,2,3
50,48,41,55
50,48,41,55
23,22,17,30
23,22,17,30
60,53,73,83
46,17,58,66
21,24,50,27
41,27,28,55
55,29,34,63
20,28,24,23
18,25,24,21
46,29,33,40
52,38,40,53
25,32,27,29
20,27,29,26
46,29,33,40
52,38,40,53
25,32,27,29
20,27,29,26
44,26,26,45
73,31,25,68
22,26,25,23
23,24,24,23
42,25,21,39
33,20,21,53
31,23,24,33
27,22,16,32
62,39,39,49
62,39,39,49
37,34,33,33
37,34,33,33
43,28,21,39
56,33,34,70
35,26,23,38
34,22,28,41
42,25,21,39
33,20,21,53
31,23,24,33
27,22,16,32
41,23,18,40
36,23,17,36
27,24,22,28
24,27,22,27
38,25,19,37
33,20,21,53
32,24,24,31
27,22,16,32
45,29,33,52
52,39,35,49
19,36,26,22
16,29,24,25
43,23,21,47
41,20,21,45
30,24,24,33
29,26,23,32
43,30,26,48
44,25,24,45
25,28,26,29
22,28,24,31
42,25,21,39
33,20,21,53
31,23,24,33
27,22,16,32
43,33,31,42
59,30,38,50
20,33,31,29
37,44,26,39
56,33,29,59
29,18,16,38
40,35,16,52
44,21,20,43
68,34,30,70
33,18,16,36
30,35,20,31
33,18,16,36
33,18,15,31
33,18,16,36
33,18,15,31
29,18,16,38
31,22,15,33
29,18,16,38
31,22,15,33
44,18,23,42
51,30,33,47
23,23,22,27
33,30,25,36
61,47,32,54
53,38,39,48
30,37,28,35
33,40,28,38
42,41,43,44
42,41,43,44
25,31,29,32
25,31,29,32
62,43,49,71
53,42,46,55
35,41,38,44
44,41,38,52
43,26,25,39
46,34,26,45
39,25,26,39
35,24,26,40
42,25,21,39
33,20,21,53
29,25,24,34
29,23,17,30
39,32,24,40
60,31,33,75
34,29,27,35
28,21,24,31
42,25,21,39
33,20,21,53
31,23,24,33
27,22,16,32
23,18,23,36
25,15,20,36
16,23,25,26
17,21,22,30
42,25,21,39
33,20,21,53
31,23,24,33
27,22,16,32
41,21,20,38
40,23,17,46
32,25,24,32
27,20,18,25
41,21,20,38
40,23,17,46
32,25,24,32
27,20,18,25
24,23,23,28
22,19,22,25
24,23,23,28
22,19,22,25
45,18,17,42
63,28,34,58
28,19,18,33
50,24,15,52
46,27,29,43
44,22,25,40
39,23,24,44
27,22,24,24
42,25,28,46
52,34,33,53
22,27,26,26
23,28,25,29
44,27,22,54
55,36,30,53
27,21,21,32
24,20,19,36
46,19,21,45
55,22,27,55
19,22,21,20
17,18,18,24
43,15,14,43
53,23,25,64
33,24,14,36
57,23,23,54
90,32,33,83
49,31,30,61
41,30,35,47
33,33,27,36
38,23,24,42
39,25,24,40
24,29,25,25
24,21,22,25
46,28,30,45
41,29,30,43
24,29,30,25
20,27,28,23
36,20,16,48
75,37,31,72
32,26,19,38
29,26,21,43
46,28,30,45
43,27,26,39
32,29,29,39
29,31,27,32
46,21,11,48
50,43,10,52
32,25,22,22
26,23,16,24
28,23,18,31
19,24,17,23
16,25,16,20
42,14,16,51
69,29,27,73
28,17,16,34
22,22,14,27
49,25,26,54
54,32,34,58
33,25,26,36
39,24,25,46
39,27,32,46
48,39,37,39
23,28,30,25
17,32,35,19
42,25,21,39
33,20,21,53
31,23,24,33
