0,1,2,3
24,48,0,43
41,40,37,37
20,28,29,0
25,24,27,0
27,27,24,24
27,27,24,24
30,23,45,0
30,23,45,0
53,51,30,32
51,27,30,13
61,47,48,0
47,30,42,0
46,29,29,8
44,24,27,10
34,30,31,0
30,29,30,0
43,26,29,9
39,30,28,15
37,29,35,0
37,31,39,1
43,26,29,9
39,30,28,15
37,29,35,0
37,31,39,1
42,24,28,9
34,26,27,10
35,26,30,0
33,25,32,0
34,16,21,0
28,21,18,0
37,15,23,0
32,20,20,0
22,21,17,17
22,21,17,17
39,20,59,0
39,20,59,0
38,17,25,0
33,20,23,0
36,15,26,0
39,19,25,0
34,16,21,0
28,21,18,0
37,15,23,0
32,20,20,0
33,16,21,0
32,16,19,0
33,15,20,0
32,17,19,0
34,16,21,0
28,21,18,0
37,15,22,0
32,20,20,0
39,26,24,7
28,32,10,23
40,24,33,0
36,27,34,0
40,21,25,7
36,20,23,7
31,30,30,0
28,30,30,0
49,26,34,10
44,23,31,9
25,40,44,0
25,39,38,0
34,16,21,0
28,21,18,0
37,15,23,0
32,20,20,0
37,23,16,19
31,25,14,20
30,29,32,4
33,20,34,1
17,36,0,22
43,43,29,29
39,14,22,0
33,39,45,4
45,45,26,26
45,45,26,26
38,31,44,0
38,31,44,0
48,46,32,30
48,42,32,30
30,40,48,2
30,34,41,4
32,16,19,0
26,25,15,0
33,15,21,0
29,22,18,0
35,17,21,0
31,30,25,25
34,15,22,0
35,22,22,0
34,15,22,0
33,17,20,0
34,15,22,0
33,17,20,0
33,15,21,0
32,17,18,0
33,15,21,0
32,17,18,0
40,24,25,6
35,27,23,11
35,22,32,0
32,24,30,0
39,33,25,14
44,41,27,27
43,26,32,2
34,29,31,3
36,38,23,22
36,38,23,22
29,29,32,9
29,29,32,9
60,37,42,12
53,54,37,36
54,34,51,1
50,51,64,4
87,86,50,49
78,78,47,46
34,53,39,0
29,52,39,0
43,25,28,9
36,24,27,9
42,26,34,2
40,23,34,3
34,16,21,0
28,21,18,0
37,15,22,0
31,20,20,0
37,22,25,6
30,18,20,9
30,30,33,0
18,34,26,2
34,16,21,0
28,21,18,0
37,15,23,0
32,20,20,0
34,16,21,0
28,21,18,0
37,15,23,0
32,20,20,0
26,26,15,15
25,26,15,18
26,26,31,1
25,26,31,2
33,16,20,0
30,19,18,0
38,15,21,0
32,20,19,0
33,16,20,0
30,19,18,0
38,15,21,0
32,20,19,0
35,26,19,0
34,16,23,0
33,18,24,0
25,31,26,8
34,18,24,8
31,23,33,5
31,16,33,0
40,24,26,10
29,33,11,24
40,25,37,0
37,27,33,2
42,22,28,7
36,25,25,11
38,25,31,0
38,25,33,0
40,22,26,6
37,20,28,7
37,20,32,0
31,26,27,0
34,17,21,0
22,32,1,17
37,15,24,0
31,21,19,0
42,41,29,29
38,22,26,10
46,35,56,0
32,27,34,0
33,24,25,8
34,19,22,7
32,19,34,0
34,17,33,0
45,29,29,9
28,45,12,27
39,32,37,0
31,32,34,0
43,16,30,0
34,33,31,31
42,16,27,0
40,33,54,0
45,29,29,9
41,28,27,10
35,33,33,2
35,31,32,2
24,44,0,40
49,30,56,0
32,14,17,0
28,13,10,5
32,14,19,0
