0,1,2,3
19,19,39,52
19,19,39,52
14,14,29,16
14,14,29,16
57,51,55,56
29,26,40,42
49,49,64,38
24,26,52,18
27,24,23,24
25,21,24,23
26,22,32,17
23,19,30,15
30,27,24,26
34,28,23,25
30,26,31,16
32,27,27,15
30,27,24,26
34,28,23,25
30,26,31,16
32,27,27,15
30,29,24,26
27,26,24,25
28,26,32,13
23,26,30,12
21,21,29,30
21,21,37,31
19,18,31,21
17,15,29,22
17,17,40,36
17,17,40,36
16,11,44,15
16,11,44,15
27,27,33,33
26,26,40,49
23,22,34,27
22,23,31,24
21,21,29,30
21,21,37,31
19,18,31,21
17,15,29,22
21,21,30,30
22,22,33,36
16,16,28,20
16,17,28,18
21,21,30,29
21,21,37,31
19,18,30,21
17,15,29,22
28,24,24,29
30,27,23,24
40,23,56,19
27,27,29,18
30,28,25,26
29,27,25,26
26,25,34,18
26,27,31,18
38,36,34,34
39,36,32,36
30,30,41,17
26,25,39,16
21,21,29,30
21,21,37,31
19,18,31,21
17,15,29,22
31,28,23,27
30,27,21,25
32,29,28,19
29,27,26,13
27,22,31,30
28,35,36,40
15,16,28,19
29,31,37,26
35,30,46,53
35,30,46,53
18,19,35,16
18,19,35,16
22,22,31,32
20,20,42,45
18,19,31,23
16,19,28,19
27,27,38,35
26,26,55,59
21,23,33,25
21,19,33,23
21,23,33,25
22,22,32,25
21,23,33,25
22,22,32,25
18,19,31,23
17,18,28,22
18,19,31,23
17,18,28,22
27,25,25,24
30,23,19,23
26,25,29,18
27,22,27,18
32,28,24,27
33,26,23,25
30,26,28,20
30,25,33,18
39,30,37,27
39,30,37,27
32,29,39,17
32,29,39,17
29,24,21,23
22,29,28,31
21,30,27,33
21,21,29,30
21,21,37,31
19,18,31,21
17,15,28,23
28,25,26,22
29,24,20,21
27,25,30,19
27,22,33,17
21,21,29,30
21,21,37,31
19,18,31,21
17,15,29,22
21,21,29,30
21,21,37,31
19,18,31,21
17,15,29,22
17,18,36,28
21,18,42,27
27,14,41,23
27,15,39,23
22,22,28,31
21,21,38,34
19,19,28,21
18,17,33,21
22,22,28,31
21,21,38,34
19,19,28,21
18,17,33,21
22,22,30,31
24,25,31,29
20,18,31,23
16,16,40,22
28,27,25,25
26,26,25,26
31,31,30,33
28,25,27,14
27,25,23,22
29,24,22,24
28,25,30,17
30,25,27,14
29,28,29,28
28,24,25,29
30,28,32,23
29,23,35,21
28,27,28,27
29,29,28,28
23,26,32,16
21,22,30,18
21,21,31,30
20,21,35,28
20,20,31,29
20,20,29,25
39,39,45,42
31,31,23,23
33,37,43,31
30,28,29,13
28,25,25,26
27,23,26,24
25,23,29,17
23,21,28,18
29,26,23,24
29,26,23,22
27,24,28,15
26,24,28,13
27,27,37,36
26,26,65,64
23,23,33,26
24,23,34,24
29,26,23,24
30,24,21,23
33,28,29,16
30,25,26,20
41,28,37,33
51,27,37,32
17,22,34,17
16,20,37,14
44,22,41,34
42,21,43,31
33,27,35,26
20,20,35,18
19,20,30,28
19,19,27,24
16,16,31,21
15,15,27,14
25,25,33,35
23,23,39,47
20,21,33,23
18,18,35,23
27,25,25,27
29,25,23,24
28,26,29,22
29,26,36,20
37,22,32,21
