0,1,2,3
41,44,43,39
42,42,42,41
29,29,58,1
25,33,56,1
17,16,22,22
17,16,22,22
25,19,45,1
25,19,45,1
30,43,46,33
15,20,35,26
31,48,73,8
17,24,65,1
21,27,19,15
23,27,18,15
24,27,31,1
23,30,33,1
31,25,12,21
35,26,19,12
36,27,37,0
31,24,30,0
31,25,12,21
35,26,19,12
36,27,37,0
31,24,30,0
29,31,14,17
30,27,18,14
30,31,29,0
27,29,30,1
20,20,21,20
18,19,24,23
20,23,31,8
16,20,41,11
27,13,20,23
27,13,20,23
26,25,40,2
26,25,40,2
23,26,24,24
21,21,29,30
24,29,40,13
21,21,46,9
20,20,21,20
18,19,24,23
20,23,31,8
16,20,41,11
23,18,19,18
19,18,17,17
18,31,45,3
18,26,40,3
20,19,21,20
18,19,24,23
20,25,33,9
16,20,41,11
30,24,17,15
34,30,17,15
28,32,29,3
31,30,28,2
30,30,17,16
29,27,17,15
31,34,39,1
29,36,37,1
39,38,18,31
38,39,16,30
40,32,47,0
38,32,43,0
20,20,21,20
18,19,24,23
20,23,31,8
16,20,41,11
34,28,15,15
32,29,16,13
35,33,38,0
32,31,27,1
28,20,26,26
50,29,56,3
46,31,52,3
20,20,21,21
14,15,20,21
17,22,28,7
12,26,32,10
24,26,25,26
23,21,28,29
22,23,42,7
29,22,47,8
22,23,42,7
22,27,46,7
22,23,42,7
22,27,46,7
17,22,28,7
18,18,26,6
17,22,28,7
18,18,26,6
30,24,20,15
27,21,12,15
24,27,33,5
33,28,10,20
34,27,10,22
33,37,35,0
33,27,28,0
33,26,17,23
33,26,17,23
35,26,37,7
35,26,37,7
47,42,29,19
77,34,27,32
27,23,12,15
32,32,27,10
30,29,20,12
20,20,21,20
18,19,24,23
20,25,33,9
16,22,41,10
27,24,15,15
23,21,19,20
26,26,34,8
29,26,37,6
20,20,21,20
18,19,24,23
20,23,31,8
16,20,41,11
17,17,17,12
16,16,18,13
14,15,30,4
14,16,28,4
20,20,21,20
18,19,24,23
20,23,31,8
21,20,20,20
17,21,24,24
20,22,32,7
16,20,41,11
21,20,20,20
17,21,24,24
20,22,32,7
16,20,41,11
20,21,19,25
17,19,26,27
19,29,33,10
17,18,46,9
29,26,14,20
26,28,14,16
33,28,26,9
26,25,28,2
30,26,15,15
34,25,11,17
32,30,39,0
31,27,34,0
30,32,21,17
31,25,18,16
28,30,33,4
31,26,34,6
27,29,24,16
30,28,21,16
28,28,40,0
27,30,35,0
20,22,24,20
25,19,25,23
19,22,28,14
25,22,38,11
45,26,24,17
32,31,14,16
43,32,50,3
46,36,37,2
26,22,16,14
24,23,14,14
26,26,33,3
24,29,30,2
29,31,13,21
29,30,11,19
29,27,29,2
29,26,27,1
20,22,18,19
23,23,25,24
23,25,33,11
16,26,25,11
29,31,13,21
30,28,13,19
28,27,24,6
29,29,25,8
12,27,28,19
13,24,36,23
10,29,40,1
10,28,47,1
22,24,11,21
47,24,39,4
23,27,25,21
18,19,30,22
19,24,38,0
17,25,35,1
23,19,22,20
21,18,24,25
19,27,35,11
23,24,41,7
29,25,14,15
34,26,14,14
27,31,28,9
30,30,24,7
28,17,16,17
28,18,16,17
33,18,27,1
28,19,28,2
