0,1,2,3
52,46,44,45
42,37,41,40
36,43,57,16
28,37,50,15
21,18,18,17
21,18,18,17
21,14,27,12
21,14,27,12
33,40,49,62
14,18,45,40
30,46,77,31
24,30,68,26
29,22,21,22
24,21,21,20
34,24,39,13
32,19,36,13
36,37,24,22
29,36,21,19
56,29,41,10
49,30,34,9
36,37,24,22
29,36,21,19
56,29,41,10
49,30,34,9
32,32,21,21
30,29,20,19
41,27,35,12
32,24,36,11
24,24,25,25
25,25,22,22
24,22,24,24
25,22,21,21
20,18,32,33
20,18,32,33
22,22,23,15
22,22,23,15
30,32,29,33
31,29,25,25
34,28,32,28
33,30,26,25
24,24,25,25
25,25,22,22
24,22,24,24
25,22,21,21
26,27,25,25
26,22,20,20
27,28,32,27
21,25,26,19
24,24,25,25
25,25,22,22
27,22,22,24
24,21,21,21
35,23,0,29
30,37,16,15
47,52,40,57
38,29,30,12
40,42,27,27
34,39,25,26
52,33,45,14
46,28,38,10
54,57,43,41
46,64,36,37
48,53,64,11
40,43,50,7
24,24,25,25
25,25,22,22
24,22,24,24
25,22,21,21
30,36,21,23
29,37,18,16
38,33,32,7
34,37,19,17
24,23,46,47
32,26,57,19
25,21,32,33
32,26,57,19
30,23,44,22
32,26,57,19
30,23,44,22
24,24,27,30
27,21,23,21
24,24,27,30
27,21,23,21
30,30,23,22
24,21,18,17
30,29,33,15
25,24,17,19
21,29,24,11
21,29,24,11
49,59,33,37
38,51,25,31
61,45,48,20
38,58,28,29
60,72,41,41
70,75,45,43
45,82,49,43
35,63,36,5
27,28,23,23
26,30,16,21
32,27,23,21
25,26,22,20
25,23,25,25
25,25,22,22
24,23,23,23
25,21,21,21
27,33,26,24
21,29,24,24
34,26,24,23
23,21,22,23
24,24,25,25
25,25,22,22
24,22,24,24
25,22,21,21
18,20,21,29
20,16,22,24
26,15,31,18
21,8,27,11
24,24,25,25
25,25,22,22
24,22,24,24
25,22,21,21
10,27,16,16
31,30,23,25
28,30,31,12
22,26,33,11
27,27,25,25
25,26,22,22
24,22,24,24
25,22,19,21
27,27,25,25
25,26,22,22
24,22,24,24
25,22,19,21
25,32,19,17
43,20,37,22
39,26,24,17
29,34,22,21
28,40,22,21
45,25,34,9
41,30,31,7
29,24,25,26
26,29,20,18
29,28,24,25
24,26,22,23
26,25,22,22
25,25,23,21
37,15,33,11
35,19,31,12
24,22,21,25
24,22,23,21
25,21,25,23
23,20,21,23
40,37,27,30
34,37,27,26
49,27,38,22
49,29,34,19
32,36,25,27
25,33,22,21
38,28,39,12
40,23,34,9
33,37,22,22
33,36,20,21
43,25,38,10
43,25,37,10
28,23,24,23
25,23,22,23
32,26,26,23
28,22,22,20
33,37,22,22
34,36,19,20
38,28,24,23
32,36,20,20
28,22,23,24
24,21,21,21
30,17,34,14
26,21,30,12
27,22,42,45
20,23,55,50
24,21,38,35
20,19,36,32
27,29,21,19
29,35,20,19
29,28,19,20
27,32,19,20
13,23,13,17
40,30,17,18
21,27,20,9
33,27,21,8
24,24,25,25
25,25,22,22
24,22,24,24
25,22,21,21
23,23,24,25
20,21,17,17
22,22,21,21
28,26,22,24
25,24,25,26
24,23,21,21
26,22,25,25
25,21,23,22
