0,1,2,3
44,36,42,37
50,45,55,58
18,24,24,21
13,30,27,19
24,21,28,26
24,21,28,26
7,23,22,12
7,23,22,12
35,44,45,50
19,29,27,26
11,56,53,44
5,29,41,34
29,29,33,31
24,32,30,29
14,27,30,22
12,28,28,16
30,31,29,31
37,29,30,34
20,30,29,25
25,32,24,23
30,31,29,31
37,29,30,34
20,30,29,25
25,32,24,23
35,29,32,33
29,31,33,28
21,34,31,24
19,21,21,21
21,19,21,28
26,25,26,26
21,30,30,17
19,21,23,14
23,24,30,28
23,24,30,28
12,20,20,12
12,20,20,12
31,26,34,28
28,29,32,31
19,18,22,20
21,30,29,18
21,19,21,28
26,25,26,26
21,30,30,17
19,21,23,14
18,23,26,28
22,21,26,27
10,20,20,14
10,25,23,12
20,19,22,28
26,25,26,26
18,28,28,17
19,21,23,14
34,27,35,34
32,27,34,33
14,25,27,27
18,30,25,23
36,29,30,33
33,28,32,31
21,38,36,23
17,26,32,22
37,32,38,37
36,34,42,34
14,42,33,24
18,34,30,25
21,19,21,28
26,25,26,26
21,30,30,17
19,21,23,14
35,32,35,35
36,26,31,36
27,39,36,28
22,34,34,24
19,20,26,29
47,38,41,48
44,50,43,44
5,39,29,19
20,36,43,21
21,27,29,32
31,29,30,30
13,31,30,17
15,25,25,15
27,32,36,33
30,34,34,29
13,25,20,21
13,21,19,22
13,25,20,21
13,28,22,17
13,25,20,21
13,28,22,17
13,31,30,17
12,28,26,17
13,31,30,17
12,28,26,17
35,35,36,38
33,28,32,35
22,24,31,24
37,32,38,38
33,25,30,33
27,37,36,32
26,30,24,32
23,41,37,29
23,41,37,29
20,42,38,26
20,42,38,26
33,35,31,33
26,32,33,30
21,19,21,28
26,25,26,26
21,30,30,17
17,20,22,14
29,31,34,28
30,25,28,26
23,32,30,30
20,26,28,22
21,19,21,28
26,25,26,26
21,30,30,17
19,21,23,14
21,19,21,28
26,25,26,26
21,30,30,17
19,23,21,26
22,24,26,26
18,29,31,16
15,19,20,14
19,23,21,26
22,24,26,26
18,29,31,16
15,19,20,14
25,25,26,23
25,25,26,26
18,21,22,18
17,24,23,21
35,32,31,35
34,31,29,34
19,31,26,21
31,31,34,29
34,30,31,34
19,26,25,25
17,32,35,26
36,29,31,35
30,29,34,29
22,27,27,25
20,25,29,28
37,29,29,36
34,29,31,33
16,21,21,19
14,29,28,19
23,26,25,26
20,25,23,22
19,25,27,27
13,28,30,23
32,34,38,35
35,32,33,38
28,32,30,27
26,29,33,29
19,28,29,25
16,23,26,23
31,36,34,33
33,31,31,30
19,26,33,24
17,31,31,22
26,21,24,24
25,25,24,24
21,28,29,25
13,31,29,23
31,36,34,33
32,28,33,34
23,28,24,26
50,26,25,51
19,22,13,28
11,20,17,16
11,21,20,14
19,24,24,22
24,29,25,28
19,23,19,20
18,24,28,18
29,32,36,30
34,29,34,33
24,30,27,27
26,31,30,33
21,19,21,28
26,25,26,26
21,30,30,17
19,21,23,14
27,25,23,28
23,23,22,27
11,26,21,18
12,20,20,18
19,23,26,22
20,21,24,24
17,24,23,17
14,24,22,18
30,27,33,34
20,23,21,28
16,21,27,17
21,29,31,17
30,27,33,34
20,23,21,28
16,21,27,17
