0,1,2,3
40,40,38,6
44,45,31,21
35,27,39,0
33,28,34,0
25,24,14,8
25,24,14,8
41,16,27,0
41,16,27,0
31,48,30,27
18,24,37,12
33,43,59,2
16,19,48,0
29,29,28,11
23,31,25,13
25,31,37,0
23,29,32,0
29,27,12,25
37,25,27,17
42,31,34,0
34,32,42,3
29,27,12,25
37,25,27,17
42,31,34,0
34,32,42,3
31,36,24,13
34,28,24,9
33,27,34,0
34,27,28,0
26,20,19,3
19,24,16,0
24,28,21,0
27,20,20,0
23,25,14,15
23,25,14,15
43,18,28,0
43,18,28,0
26,29,23,2
24,30,20,6
27,32,30,1
28,30,28,1
26,20,19,3
19,24,16,0
24,28,21,0
27,20,20,0
24,21,18,2
24,20,17,0
23,29,25,0
25,4,21,0
24,22,19,2
19,24,16,0
26,28,22,0
27,20,20,0
35,27,9,24
39,31,12,25
33,25,29,0
39,26,29,0
36,31,27,13
32,29,9,27
34,35,36,0
33,33,32,0
35,39,35,10
38,40,34,10
31,32,41,0
33,30,37,0
26,20,19,3
19,24,16,0
24,28,21,0
27,20,20,0
32,33,23,10
33,27,23,11
35,22,31,0
20,23,23,18
21,28,26,2
25,28,19,0
25,30,13,9
29,20,23,0
24,22,23,0
28,30,21,0
24,28,19,8
30,29,21,0
27,25,28,0
30,29,21,0
30,27,20,0
30,29,21,0
30,27,20,0
29,20,23,0
25,17,21,0
29,20,23,0
25,17,21,0
35,32,8,24
31,24,16,24
30,28,33,0
36,26,29,0
33,29,34,4
47,40,38,14
45,34,30,32
50,40,52,1
87,33,74,5
87,67,50,50
76,60,46,46
0,117,49,20
21,47,39,0
28,25,9,29
25,19,9,29
24,28,33,5
26,23,33,13
26,20,19,3
19,24,16,0
26,28,22,0
24,21,23,0
35,26,25,12
29,27,22,11
32,33,34,0
29,30,32,1
26,20,19,3
19,24,16,0
24,28,21,0
27,20,20,0
29,15,24,0
34,20,22,0
38,20,25,0
38,21,27,0
26,20,19,3
19,24,16,0
24,28,21,0
27,20,20,0
25,20,19,2
19,21,16,0
27,27,23,0
23,21,20,0
25,20,19,2
19,21,16,0
27,27,23,0
23,21,20,0
32,25,23,4
26,23,18,11
27,20,29,0
29,24,34,0
32,33,8,27
36,33,18,17
37,33,29,6
34,25,32,0
32,32,23,11
30,24,22,14
36,30,38,0
33,28,36,1
35,26,28,9
30,28,26,15
32,26,35,0
29,31,42,1
33,27,30,8
30,30,29,11
28,29,36,0
27,19,30,0
24,24,20,5
21,21,18,5
26,25,27,1
22,23,24,2
48,28,26,27
39,34,23,12
47,35,37,0
33,35,34,0
31,32,6,25
29,31,6,21
40,31,31,0
38,30,28,0
30,32,10,26
30,30,9,26
30,26,34,0
33,27,33,0
23,27,0,22
25,25,5,21
27,24,23,0
34,21,24,0
30,32,10,26
33,27,12,27
35,30,39,1
52,22,46,0
28,25,15,16
21,24,18,21
19,20,27,1
16,20,26,0
19,23,21,6
28,28,19,9
23,30,28,0
22,22,34,0
37,33,8,26
33,29,24,11
33,35,34,0
31,33,34,2
35,24,18,19
25,28,21,19
30,19,37,0
26,22,38,0
26,20,19,3
19,24,16,0
24,28,21,0
27,20,20,0
26,24,18,6
24,20,4,19
