0,1,2,3
17,62,64,15
34,61,67,25
4,33,34,2
24,40,44,26
24,40,44,26
5,28,26,7
5,28,26,7
36,62,48,40
39,37,46,42
13,53,47,27
10,30,45,20
23,32,40,22
20,30,31,23
11,35,39,13
10,36,28,12
22,34,39,24
23,29,34,25
14,31,31,19
15,36,36,14
22,34,39,24
23,29,34,25
14,31,31,19
15,36,36,14
22,37,39,22
21,32,35,21
11,31,36,13
10,27,28,13
14,37,41,15
17,34,34,15
9,41,41,13
13,33,31,13
18,37,32,15
18,37,32,15
6,26,28,12
6,26,28,12
15,43,39,15
19,47,40,15
10,44,41,12
13,46,46,14
14,37,41,15
17,34,34,15
9,41,41,13
13,33,31,13
15,40,44,15
15,37,36,15
6,29,30,6
3,32,31,7
15,37,42,15
17,34,34,15
9,39,40,12
13,33,31,13
26,30,34,26
25,27,29,24
13,35,33,16
11,38,38,18
21,44,42,23
20,39,38,22
8,40,45,10
13,33,35,9
24,47,45,25
22,48,49,24
10,41,47,10
7,43,42,7
14,37,41,15
17,34,34,15
9,41,41,13
13,33,31,13
25,33,36,23
25,35,39,22
18,33,35,21
11,28,38,13
14,49,51,16
45,36,23,38
4,30,30,8
26,41,42,21
37,47,49,43
37,47,49,43
8,42,30,12
8,42,30,12
15,43,45,16
20,35,30,15
9,41,42,12
11,29,27,11
16,44,40,15
21,45,43,15
7,35,36,9
11,38,37,11
7,35,36,9
8,33,32,9
7,35,36,9
8,33,32,9
9,41,42,12
9,29,38,10
9,41,42,12
9,29,38,10
23,35,37,23
22,40,41,22
11,30,30,12
10,29,30,13
22,36,38,24
18,29,32,20
15,39,39,18
38,23,23,37
38,23,23,37
25,26,25,30
25,26,25,30
35,101,104,42
43,60,65,45
20,40,45,23
20,39,36,22
18,39,38,23
20,36,36,20
14,37,41,15
17,34,34,15
9,39,40,12
10,35,30,13
20,37,45,21
22,33,36,24
15,36,38,17
14,29,30,17
14,37,41,15
17,34,34,15
9,41,41,13
13,33,31,13
17,34,34,15
9,41,41,13
13,33,31,13
28,23,25,30
32,17,18,33
7,32,32,8
12,26,25,14
14,41,40,15
18,33,33,15
9,42,40,13
13,32,31,13
14,41,40,15
18,33,33,15
9,42,40,13
13,32,31,13
16,46,47,15
28,68,79,27
7,35,38,9
8,43,42,12
17,34,41,21
20,36,45,19
19,33,43,23
10,31,33,10
23,38,37,21
23,41,43,23
13,42,41,19
15,30,32,18
24,40,35,23
29,45,46,25
13,40,42,17
13,39,40,14
23,43,43,23
23,46,45,23
10,43,42,13
11,34,35,14
15,44,41,16
20,41,39,17
11,38,40,14
11,38,40,17
29,66,69,30
21,36,41,24
17,56,57,14
13,33,29,13
20,41,41,25
21,32,34,22
14,39,39,10
6,31,31,12
28,42,43,28
27,48,47,29
15,29,41,18
15,29,30,15
28,42,43,28
24,36,36,29
18,33,37,18
17,39,36,19
9,31,46,18
27,66,70,27
18,44,38,18
14,31,32,11
18,30,39,15
18,35,38,14
8,27,31,6
9,28,30,6
15,46,47,16
19,45,36,15
7,34,35,9
10,40,39,10
24,41,41,24
23,40,40,25
15,35,40,21
16,36,36,19
14,39,28,15
14,37,41,15
17,34,34,15
9,41,41,13
13,33,31,13
