0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
4,16,15,15,6,4,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,192.0,649.0,501.0,501.0,649.0,0,0,1,1,0,3,1,0
5,10,12,13,2,4,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,2,2,0,0,0,0,0,0,123.0,496.0,424.0,424.0,496.0,0,0,1,1,0,0,1,1
11,9,16,14,6,4,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,190.0,551.0,599.0,599.0,551.0,0,0,1,1,0,0,0,0
10,9,16,13,6,4,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,178.0,524.0,580.0,580.0,524.0,0,0,1,1,1,0,4,0
1,18,17,17,6,6,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,0,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,0,0,0,253.0,735.0,484.0,484.0,735.0,0,0,1,1,0,0,5,1
1,17,12,16,6,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,0,0,0,0,199.0,663.0,395.0,395.0,663.0,0,0,1,1,0,1,1,1
8,7,18,19,4,6,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,6,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,214.0,592.0,604.0,604.0,592.0,0,0,1,2,0,0,1,2
7,17,16,15,6,4,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,0,0,0,0,202.0,691.0,574.0,574.0,691.0,0,0,1,1,3,1,4,1
10,7,19,16,2,6,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,220.0,539.0,657.0,657.0,539.0,0,0,1,1,0,0,4,0
5,15,18,22,6,4,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,6,0,0,0,0,0,2,4,4,2,2,4,4,4,4,4,4,6,6,4,2,2,2,2,0,0,243.0,765.0,615.0,615.0,765.0,0,1,1,2,0,4,2,3
7,11,16,14,6,6,0,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,6,2,2,0,0,0,0,0,0,176.0,558.0,546.0,546.0,558.0,0,1,1,1,0,0,3,1
0,21,13,20,6,4,0,0,2,2,2,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,6,6,8,8,6,2,0,0,0,0,0,218.0,754.0,488.0,488.0,754.0,0,1,1,1,0,2,1,1
10,7,19,16,2,6,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,220.0,539.0,657.0,657.0,539.0,0,0,1,1,0,0,4,0
11,10,15,16,4,6,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,189.0,584.0,612.0,612.0,584.0,0,0,1,1,1,0,2,0
10,7,19,16,2,6,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,220.0,539.0,657.0,657.0,539.0,0,0,1,1,0,0,4,0
2,14,16,20,4,6,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,6,6,2,0,0,0,0,235.0,695.0,501.0,501.0,695.0,0,0,1,1,0,0,2,1
2,14,16,20,4,6,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,6,6,2,0,0,0,0,235.0,695.0,501.0,501.0,695.0,0,0,1,1,0,0,2,1
8,7,18,19,4,6,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,6,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,214.0,592.0,604.0,604.0,592.0,0,0,1,2,0,0,1,2
10,8,18,16,6,6,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,0,0,0,0,0,0,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,201.0,573.0,623.0,623.0,573.0,0,0,1,1,2,0,4,2
1,19,22,22,6,6,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,6,0,0,0,2,2,2,4,4,2,2,2,4,4,4,4,4,4,6,6,6,2,2,0,0,0,301.0,851.0,621.0,621.0,851.0,0,1,2,2,0,3,5,3
1,20,23,22,6,6,0,2,2,2,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,6,0,0,2,2,2,2,4,4,4,2,2,2,4,4,4,4,6,6,6,2,4,2,0,0,0,312.0,857.0,661.0,661.0,857.0,0,1,2,2,0,3,4,4
2,15,16,19,4,6,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,4,4,0,0,0,0,0,219.0,680.0,516.0,516.0,680.0,0,1,1,1,0,1,2,2
2,17,13,13,2,4,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,0,0,0,0,0,164.0,589.0,446.0,446.0,589.0,0,1,1,1,0,2,0,1
6,17,20,15,6,6,0,2,2,2,2,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,0,0,0,0,2,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,253.0,669.0,665.0,665.0,669.0,0,1,2,1,0,2,2,1
7,14,19,14,4,6,0,0,0,2,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,0,0,0,0,2,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,228.0,619.0,623.0,623.0,619.0,0,1,2,1,2,1,2,1
11,7,15,13,4,6,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,168.0,480.0,578.0,578.0,480.0,0,0,1,1,1,0,0,2
0,20,13,18,4,4,0,0,2,2,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,0,0,0,214.0,718.0,455.0,455.0,718.0,0,1,1,1,0,4,0,0
2,23,17,15,4,6,0,0,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,0,0,0,0,0,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,6,2,2,2,2,0,282.0,777.0,534.0,534.0,777.0,0,1,2,1,0,7,2,1
2,19,20,15,4,6,0,2,2,2,2,2,4,4,4,4,4,4,4,4,2,6,4,4,4,4,4,4,0,0,0,0,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,6,2,2,2,2,0,0,270.0,690.0,598.0,598.0,690.0,0,1,2,1,0,4,2,2
12,8,15,14,6,4,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,182.0,543.0,584.0,584.0,543.0,0,0,1,1,3,0,0,0
