0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
18,19,15,12,6,6,0,0,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,253.0,721.0,751.0,751.0,721.0,0,0,0,0,1,2,0,0
22,19,18,14,6,6,0,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,2,4,4,6,6,6,6,6,6,6,6,6,6,8,6,2,0,0,0,0,0,291.0,809.0,870.0,870.0,809.0,1,0,1,0,3,2,1,0
19,22,15,15,6,6,0,0,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,311.0,852.0,781.0,781.0,852.0,0,0,0,0,2,2,0,1
25,19,18,18,6,6,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,4,4,2,6,6,6,6,6,6,6,6,6,6,6,8,6,2,0,0,0,0,388.0,876.0,964.0,964.0,876.0,1,0,1,0,2,3,1,1
14,19,15,12,2,6,0,0,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,6,6,6,6,6,6,6,8,6,2,0,0,0,0,0,214.0,716.0,664.0,664.0,716.0,0,0,0,0,1,3,0,0
29,13,17,16,6,4,0,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,4,6,6,6,6,6,6,6,8,8,6,4,4,4,4,4,4,2,0,0,0,374.0,739.0,986.0,986.0,739.0,0,0,0,0,2,0,0,1
29,13,17,18,6,2,0,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,4,6,6,6,6,6,6,6,6,8,6,4,4,4,4,4,4,2,0,0,0,381.0,776.0,995.0,995.0,776.0,0,0,0,0,3,0,0,2
16,24,20,17,2,4,0,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,2,4,4,4,4,4,6,6,6,6,6,6,8,8,8,6,4,4,2,0,0,372.0,949.0,822.0,822.0,949.0,0,0,0,0,0,1,1,3
17,24,21,18,4,4,0,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,2,2,2,2,4,4,4,4,6,6,6,6,6,6,6,8,8,6,4,4,2,0,0,386.0,969.0,871.0,871.0,969.0,0,0,1,0,3,1,3,1
24,17,19,16,6,6,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,4,4,4,2,6,6,6,6,6,6,6,8,8,8,6,2,0,0,0,0,0,315.0,787.0,961.0,961.0,787.0,1,0,1,0,2,3,3,0
