0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
15,7,14,7,2,2,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,141.0,414.0,575.0,575.0,414.0,0,1,0,1,1,0,0,0
13,8,14,10,2,2,0,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,187.0,470.0,565.0,565.0,470.0,0,1,0,1,0,0,1,1
18,6,17,11,4,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,243.0,481.0,715.0,715.0,481.0,0,1,0,1,8,0,6,2
13,8,13,8,2,2,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,194.0,410.0,556.0,556.0,410.0,0,1,0,1,0,0,0,0
15,11,18,6,2,4,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,277.0,441.0,709.0,709.0,441.0,0,1,0,1,3,1,1,0
11,9,17,3,2,2,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,213.0,334.0,586.0,586.0,334.0,0,1,0,1,0,0,0,0
17,12,15,9,2,4,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,278.0,517.0,702.0,702.0,517.0,0,1,0,1,3,0,0,0
13,10,12,10,4,4,0,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,166.0,500.0,535.0,535.0,500.0,0,1,0,1,0,0,0,3
14,14,16,8,2,4,0,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,276.0,547.0,649.0,649.0,547.0,0,1,0,1,2,0,1,0
13,10,15,8,2,2,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,0,175.0,470.0,588.0,588.0,470.0,0,1,0,1,1,0,1,3
17,8,15,7,2,2,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,214.0,430.0,651.0,651.0,430.0,0,1,0,1,6,0,0,0
18,5,16,11,2,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,247.0,434.0,716.0,716.0,434.0,0,1,0,1,5,0,3,2
14,6,14,8,0,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,193.0,389.0,577.0,577.0,389.0,0,1,0,1,1,0,0,0
14,8,15,6,2,4,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,202.0,384.0,605.0,605.0,384.0,0,1,0,1,1,0,0,0
12,9,17,7,0,4,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,226.0,407.0,628.0,628.0,407.0,0,1,0,1,1,0,1,0
11,8,12,8,2,2,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,0,0,0,0,0,0,0,0,92.0,445.0,452.0,452.0,445.0,0,1,0,1,0,0,1,0
17,8,16,3,2,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,224.0,357.0,655.0,655.0,357.0,0,1,0,1,10,0,0,0
18,12,17,11,4,4,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,274.0,584.0,750.0,750.0,584.0,0,1,0,1,8,4,6,2
12,9,13,8,2,2,0,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,191.0,423.0,543.0,543.0,423.0,0,1,0,1,0,0,0,0
14,14,18,6,2,2,0,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,273.0,514.0,682.0,682.0,514.0,0,1,0,1,3,1,2,0
10,10,17,4,0,2,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,207.0,377.0,566.0,566.0,377.0,0,1,0,1,0,0,0,0
15,6,16,6,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,180.0,389.0,600.0,600.0,389.0,0,1,0,1,4,0,6,0
13,12,17,8,2,2,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,274.0,484.0,666.0,666.0,484.0,0,1,0,1,0,0,0,0
15,9,15,4,2,4,0,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,208.0,377.0,612.0,612.0,377.0,0,1,0,1,3,0,3,0
11,6,11,6,2,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,120.0,342.0,440.0,440.0,342.0,0,1,0,1,1,0,0,0
13,9,15,8,4,4,0,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,194.0,430.0,605.0,605.0,430.0,0,1,0,1,0,1,1,1
10,11,16,4,2,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,200.0,400.0,543.0,543.0,400.0,0,1,0,1,0,0,1,0
12,8,18,3,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,212.0,333.0,610.0,610.0,333.0,0,1,0,1,1,0,2,0
13,9,15,7,4,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,181.0,431.0,581.0,581.0,431.0,0,1,0,1,8,0,1,0
13,8,13,9,4,2,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,222.0,412.0,577.0,577.0,412.0,0,1,0,1,0,0,0,0
14,9,14,9,0,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,219.0,456.0,602.0,602.0,456.0,0,1,0,1,0,0,0,0
11,11,19,6,2,2,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,270.0,422.0,659.0,659.0,422.0,0,1,0,1,0,0,1,0
12,8,15,5,2,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,195.0,352.0,568.0,568.0,352.0,0,1,0,1,1,0,0,0
15,10,15,4,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,199.0,405.0,607.0,607.0,405.0,0,1,0,1,10,0,0,0
14,7,13,8,4,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,165.0,431.0,535.0,535.0,431.0,0,1,0,1,1,0,0,0
11,7,12,5,2,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,127.0,349.0,456.0,456.0,349.0,0,1,0,1,0,0,1,0
12,8,15,5,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,166.0,383.0,537.0,537.0,383.0,0,1,0,1,0,0,0,0
19,8,18,11,4,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,276.0,497.0,791.0,791.0,497.0,0,1,0,1,8,0,4,4
12,8,13,7,2,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,167.0,404.0,516.0,516.0,404.0,0,1,0,1,1,0,0,0
14,9,15,9,2,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,220.0,466.0,615.0,615.0,466.0,0,1,0,1,0,0,3,0
12,8,14,9,4,2,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,197.0,439.0,550.0,550.0,439.0,0,1,0,1,0,0,0,0
15,11,18,5,2,4,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,249.0,434.0,693.0,693.0,434.0,0,1,0,1,3,0,5,0
15,13,15,6,2,4,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,237.0,507.0,620.0,620.0,507.0,0,1,0,1,6,1,1,0
12,8,14,9,4,2,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,197.0,439.0,550.0,550.0,439.0,0,1,0,1,0,0,0,0
10,9,14,2,2,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,0,0,109.0,357.0,448.0,448.0,357.0,0,1,0,0,3,0,0,0
12,8,14,9,4,2,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,197.0,439.0,550.0,550.0,439.0,0,1,0,1,0,0,0,0
15,13,18,6,2,4,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,276.0,503.0,693.0,693.0,503.0,0,1,0,1,3,1,3,0
15,13,18,6,2,4,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,276.0,503.0,693.0,693.0,503.0,0,1,0,1,3,1,3,0
16,10,18,5,2,4,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,248.0,435.0,692.0,692.0,435.0,0,1,0,1,2,0,5,0
