0,1,2,3,4,5,6,7,8
16,13,15,13,4,4,4,4,671.0
19,16,19,13,4,4,2,4,735.0
14,17,20,14,4,4,2,2,799.0
22,17,22,18,4,4,4,2,937.0
21,16,21,15,4,4,4,2,764.0
17,14,17,16,4,4,2,4,756.0
19,20,23,15,4,4,2,2,937.0
15,16,19,11,4,4,4,2,740.0
19,15,19,14,4,4,4,4,739.0
23,16,23,17,4,4,6,6,873.0
17,14,17,13,4,4,4,2,719.0
18,13,18,13,4,4,4,4,659.0
16,15,15,15,4,4,4,4,776.0
18,13,18,14,4,4,4,4,698.0
13,17,20,14,4,4,2,4,800.0
15,18,20,12,4,4,4,4,811.0
23,17,22,18,4,4,6,4,927.0
20,15,20,16,4,4,4,4,799.0
18,14,18,14,4,4,2,2,706.0
16,17,21,16,4,4,4,4,826.0
14,17,18,15,4,4,4,4,815.0
22,18,23,15,4,4,6,6,887.0
15,19,21,13,4,4,4,4,864.0
20,17,21,15,4,4,4,6,864.0
21,16,21,15,4,4,2,4,844.0
19,19,19,13,4,4,4,4,893.0
17,18,24,16,4,4,4,6,956.0
18,19,21,18,4,4,4,6,1021.0
15,16,19,15,4,4,2,2,810.0
19,15,19,13,4,4,4,4,721.0
18,13,18,13,4,4,4,4,678.0
13,17,20,16,4,4,2,4,829.0
15,18,21,14,4,4,4,4,849.0
22,18,22,15,4,4,6,6,871.0
21,16,21,17,4,4,2,6,863.0
21,19,22,16,4,4,4,6,905.0
10,16,18,13,4,4,4,4,738.0
18,20,24,15,4,4,2,6,987.0
14,17,24,16,4,4,2,6,916.0
19,15,19,15,4,4,2,2,747.0
18,14,18,11,4,4,4,4,641.0
13,17,20,17,4,4,4,4,853.0
13,16,18,14,4,4,4,2,770.0
21,14,20,14,4,4,4,4,716.0
18,16,18,14,4,4,4,4,772.0
21,15,20,14,4,4,4,4,743.0
14,19,21,16,4,4,4,4,906.0
15,19,20,17,4,4,4,4,922.0
18,17,18,15,4,4,4,4,797.0
19,19,20,18,4,4,4,4,909.0
17,19,24,15,4,4,4,6,956.0
19,15,19,16,4,4,2,4,822.0
16,15,17,15,4,4,2,2,799.0
14,18,21,12,4,4,4,4,853.0
15,19,23,14,4,4,4,4,942.0
15,20,23,12,4,4,2,4,848.0
19,15,19,16,4,4,2,4,822.0
16,15,17,15,4,4,2,2,799.0
22,19,22,16,4,4,6,6,951.0
14,18,21,12,4,4,4,4,853.0
15,19,23,14,4,4,4,4,942.0
18,15,18,14,4,4,4,4,754.0
19,15,19,16,4,4,2,4,822.0
16,15,17,15,4,4,2,2,799.0
14,18,21,13,4,4,4,4,867.0
15,19,23,14,4,4,4,4,942.0
6,19,17,11,4,4,4,4,709.0
19,14,19,14,4,4,4,4,724.0
19,15,18,16,4,4,4,4,764.0
13,19,20,15,4,4,2,4,859.0
16,19,21,12,4,4,2,4,848.0
22,16,22,16,4,4,4,6,873.0
19,15,18,15,4,4,4,4,797.0
21,19,21,17,4,4,2,6,950.0
18,17,17,15,4,4,2,4,837.0
15,19,21,13,4,4,4,6,888.0
14,18,21,17,4,4,4,4,923.0
19,19,22,16,4,4,4,4,985.0
17,19,22,16,4,4,2,6,972.0
19,16,19,15,4,4,4,4,772.0
17,15,17,16,4,4,4,4,759.0
15,17,19,15,4,4,4,4,822.0
15,15,18,16,4,4,4,4,801.0
23,18,23,15,4,4,6,6,893.0
22,16,22,16,4,4,6,6,852.0
23,15,22,16,4,4,6,6,834.0
16,20,25,15,4,4,4,6,982.0
16,20,22,16,4,4,2,6,978.0
16,17,21,14,4,4,2,4,839.0
17,19,22,15,4,4,4,6,954.0
18,15,17,15,4,4,4,4,800.0
18,15,18,15,4,4,4,4,729.0
17,14,17,13,4,4,4,4,683.0
13,18,19,14,4,4,4,4,810.0
12,18,17,15,4,4,4,4,831.0
17,13,17,12,4,4,2,2,664.0
16,11,16,13,4,4,4,4,633.0
17,19,19,17,4,4,4,4,903.0
18,16,19,15,4,4,4,4,809.0
20,17,21,15,4,4,4,6,864.0
