0,1,2,3,4,5,6,7,8
18,4,14,2,6,2,4,4,388.0
25,20,20,14,6,4,6,4,928.0
19,25,22,12,6,4,6,8,1010.0
18,26,22,13,6,4,4,8,1044.0
19,20,23,9,6,4,4,6,841.0
22,14,16,7,6,2,4,4,628.0
14,12,17,1,6,2,4,4,473.0
20,8,15,6,6,2,4,4,500.0
21,11,18,5,6,2,4,4,540.0
19,9,14,5,6,2,4,4,502.0
16,13,17,2,6,2,4,4,518.0
19,8,15,6,6,2,4,4,512.0
20,8,15,4,6,2,4,4,465.0
24,21,20,17,6,4,4,4,1023.0
16,13,18,3,6,2,4,4,542.0
15,12,19,2,6,2,2,4,509.0
24,15,19,11,6,4,4,6,756.0
21,16,19,6,6,2,2,4,645.0
20,16,15,11,6,4,4,4,742.0
17,23,25,12,6,4,4,6,933.0
13,21,22,9,6,4,2,6,805.0
23,11,17,6,6,2,4,4,564.0
28,16,22,8,6,2,4,6,801.0
20,16,21,4,6,2,4,4,633.0
22,11,16,6,6,2,4,4,552.0
19,14,19,3,6,2,2,4,552.0
19,15,21,3,6,2,4,4,588.0
26,19,20,16,6,4,6,4,950.0
26,19,20,14,6,4,6,4,901.0
24,17,17,12,6,4,6,8,787.0
19,10,13,6,6,2,4,4,513.0
16,22,21,11,6,4,6,8,868.0
23,10,17,5,6,2,4,4,528.0
22,12,16,6,6,2,4,4,570.0
26,14,21,7,6,2,4,6,717.0
17,13,20,3,6,2,4,4,562.0
18,15,20,2,6,2,2,4,546.0
21,17,21,3,6,2,4,4,646.0
25,12,18,7,6,2,4,4,598.0
25,12,18,7,6,2,4,4,598.0
18,22,22,13,6,4,6,8,947.0
16,15,23,3,6,2,2,4,588.0
19,11,16,5,6,2,4,4,526.0
18,13,24,1,6,2,4,4,544.0
25,15,20,12,6,4,4,4,784.0
19,28,22,6,8,2,2,6,908.0
25,16,20,11,6,4,4,4,786.0
11,27,24,7,6,4,2,8,867.0
12,25,22,8,6,4,4,10,815.0
23,11,17,6,6,2,4,4,564.0
22,11,16,6,6,2,4,4,552.0
19,14,19,3,6,2,2,4,552.0
19,17,22,4,6,2,4,4,644.0
19,8,15,5,6,2,4,4,494.0
19,12,17,5,6,2,4,6,556.0
22,13,17,6,6,2,4,4,604.0
16,18,23,7,6,2,4,8,723.0
19,6,14,7,6,2,4,4,488.0
17,12,20,5,6,2,2,4,579.0
15,12,17,4,6,2,4,4,524.0
25,11,18,7,6,2,4,4,579.0
22,14,16,7,6,2,4,4,628.0
21,16,19,6,6,2,2,4,645.0
23,16,19,6,6,2,4,4,656.0
6,20,20,3,6,2,2,4,604.0
16,11,14,8,6,2,4,4,585.0
16,8,13,7,6,2,4,4,505.0
13,27,23,4,6,2,0,8,784.0
23,9,16,5,6,2,4,4,506.0
16,12,18,1,6,2,4,4,478.0
15,14,16,3,6,2,2,4,550.0
19,16,22,4,6,2,4,4,624.0
24,16,19,12,6,4,4,6,789.0
23,16,19,12,6,4,6,6,802.0
16,22,21,12,6,4,4,6,885.0
14,21,22,10,6,4,4,6,831.0
21,17,15,12,6,2,6,6,815.0
19,14,14,12,6,2,6,4,732.0
21,17,21,7,6,2,2,6,743.0
21,16,19,6,6,2,2,4,645.0
21,16,17,8,6,2,2,6,716.0
20,8,15,5,6,2,4,4,482.0
21,15,18,9,6,4,4,4,723.0
23,5,17,5,4,2,4,2,453.0
21,7,16,6,4,2,2,2,484.0
18,9,20,2,4,2,2,2,447.0
19,9,19,3,4,2,2,2,483.0
11,14,11,17,2,4,6,4,682.0
15,19,13,18,6,4,6,6,833.0
9,19,16,11,8,2,2,8,695.0
6,33,24,14,4,4,4,6,990.0
19,11,17,4,6,2,4,4,509.0
25,11,18,6,6,2,4,4,560.0
18,9,14,5,6,2,4,4,494.0
22,13,16,7,6,2,4,4,608.0
21,16,19,6,6,2,2,4,645.0
23,15,19,5,6,2,4,4,618.0
23,18,17,16,6,4,6,4,923.0
22,18,17,14,6,4,6,6,901.0
20,20,20,12,6,2,6,6,912.0
