0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
15,7,14,14,6,2,0,2,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,2,4,4,4,4,6,6,4,0,0,0,0,0,0,0,0,0,149.0,509.0,641.0,641.0,509.0,0,1,0,0,1,0,0,0
12,9,17,9,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,227.0,444.0,637.0,637.0,444.0,0,1,0,1,0,0,1,0
12,9,17,9,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,227.0,444.0,637.0,637.0,444.0,0,1,0,1,0,0,1,0
17,8,16,13,4,2,0,2,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,256.0,554.0,688.0,688.0,554.0,0,1,0,1,6,0,4,0
12,7,13,11,2,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,191.0,439.0,550.0,550.0,439.0,0,1,0,1,0,0,0,0
16,9,17,9,4,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,265.0,447.0,726.0,726.0,447.0,0,1,0,1,6,0,0,0
11,10,18,16,4,4,0,0,2,4,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,6,6,6,6,4,2,2,2,2,2,0,0,264.0,559.0,706.0,706.0,559.0,0,1,0,0,0,0,2,3
12,8,17,8,4,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,219.0,404.0,631.0,631.0,404.0,0,1,0,1,0,0,0,0
16,5,15,12,4,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,196.0,483.0,621.0,621.0,483.0,0,1,0,1,6,0,4,0
13,7,13,11,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,172.0,471.0,541.0,541.0,471.0,0,1,0,1,3,0,3,0
