0,1,2,3,4,5,6,7,8
11,0,11,0,0,2,2,2,264.0
11,0,10,0,0,2,2,2,252.0
10,0,10,0,0,2,2,2,240.0
2,9,10,0,2,2,2,2,252.0
5,6,10,0,2,2,2,2,246.0
1,14,14,0,2,2,2,2,360.0
16,4,15,4,4,2,2,2,468.0
14,4,14,4,4,2,2,2,440.0
1,10,10,0,2,2,2,2,259.0
4,15,21,0,4,2,2,2,461.0
2,15,18,0,4,2,2,2,416.0
0,22,20,1,2,2,2,2,547.0
4,16,17,3,6,2,2,2,496.0
13,0,11,0,0,2,2,2,285.0
11,1,10,2,4,2,2,2,291.0
1,12,13,0,2,2,2,2,316.0
3,10,12,0,2,2,2,2,292.0
3,7,10,0,2,2,2,2,240.0
11,0,11,0,0,2,2,2,264.0
0,10,13,0,2,2,0,2,278.0
4,6,11,0,2,2,2,2,245.0
15,5,15,5,4,2,2,2,490.0
3,21,20,1,6,2,2,2,553.0
13,2,10,3,4,2,2,2,342.0
16,4,16,4,4,2,2,2,458.0
10,0,9,0,0,2,2,2,228.0
15,5,15,5,4,2,2,2,490.0
11,0,10,0,0,2,2,2,252.0
3,17,20,0,4,2,2,2,476.0
3,21,20,1,6,2,2,2,553.0
16,4,16,4,4,2,2,2,458.0
15,5,15,5,4,2,2,2,490.0
3,17,20,0,4,2,2,2,476.0
3,21,20,1,6,2,2,2,553.0
3,8,11,0,2,2,2,2,253.0
11,0,10,0,0,2,2,2,252.0
10,0,10,0,0,2,2,2,240.0
9,0,9,0,0,2,2,2,216.0
4,7,10,0,2,2,2,2,259.0
0,10,10,0,2,2,0,2,251.0
12,13,11,13,6,2,2,2,614.0
6,19,21,3,6,2,2,4,589.0
4,18,20,3,6,2,2,2,545.0
1,10,10,0,2,2,2,2,259.0
11,0,10,0,0,2,2,2,252.0
15,4,16,4,4,2,2,2,467.0
10,0,10,0,0,2,2,2,240.0
4,6,10,0,2,2,2,2,237.0
1,10,10,0,2,2,2,2,259.0
3,6,12,0,2,2,2,2,245.0
15,6,16,5,4,2,2,2,514.0
16,6,16,5,4,2,2,2,497.0
2,18,19,1,6,2,2,2,497.0
1,21,20,3,6,2,2,2,566.0
4,6,11,0,2,2,2,2,245.0
10,0,10,0,0,2,2,2,240.0
0,23,20,0,4,2,0,2,539.0
3,17,19,2,6,2,2,2,501.0
1,17,15,3,6,2,2,2,459.0
2,7,10,0,2,2,2,2,229.0
3,17,19,2,6,2,2,2,501.0
1,17,15,3,6,2,2,2,459.0
10,0,10,0,0,2,2,2,240.0
10,0,9,0,0,2,2,2,228.0
0,11,10,0,2,2,0,2,266.0
2,8,10,0,2,2,2,2,238.0
11,0,11,0,0,2,2,2,264.0
1,10,10,0,2,2,2,2,259.0
11,0,11,0,0,2,2,2,264.0
3,15,18,0,4,2,2,2,429.0
3,8,11,0,2,2,2,2,255.0
10,0,9,0,0,2,2,2,228.0
0,11,12,0,2,2,0,2,284.0
17,5,17,5,4,2,2,2,527.0
16,5,17,5,4,2,2,2,515.0
5,20,24,1,6,2,2,2,592.0
4,17,19,2,6,2,2,2,508.0
11,0,11,0,0,2,2,2,264.0
17,6,16,6,4,2,2,2,540.0
11,0,11,1,2,2,2,2,257.0
0,11,11,0,2,2,0,2,274.0
3,9,13,0,2,2,2,2,284.0
11,0,10,0,0,2,2,2,252.0
9,0,9,0,0,2,2,2,216.0
15,3,15,3,4,2,2,2,424.0
15,3,11,2,4,2,2,2,375.0
3,16,18,0,4,2,2,2,436.0
2,16,17,0,4,2,2,2,419.0
15,4,15,4,4,2,2,2,456.0
19,8,17,7,4,2,2,2,597.0
14,3,13,3,4,2,2,2,396.0
4,16,18,1,6,2,2,2,474.0
1,19,19,0,4,2,2,2,480.0
11,0,10,0,0,2,2,2,252.0
11,0,10,0,0,2,2,2,252.0
11,0,11,0,0,2,2,2,264.0
10,0,9,0,0,2,2,2,228.0
2,15,16,0,2,2,2,2,397.0
1,12,13,0,2,2,2,2,306.0
15,5,15,5,4,2,2,2,490.0
