0,1,2,3,4,5,6,7,8
0,11,10,13,2,2,2,2,447.0
0,10,15,11,2,2,0,4,452.0
0,13,16,11,2,2,2,4,495.0
0,11,9,12,2,2,2,2,459.0
0,10,6,12,2,2,2,2,404.0
0,11,14,9,2,2,2,4,422.0
0,14,10,10,2,2,2,4,469.0
0,11,10,12,2,2,2,4,466.0
0,11,10,12,2,2,2,4,466.0
0,10,7,13,2,2,2,2,440.0
0,11,10,11,2,2,2,4,451.0
3,16,11,11,4,2,2,4,514.0
5,14,6,13,4,2,2,2,542.0
0,20,17,4,2,2,2,6,531.0
0,11,5,13,2,2,2,2,427.0
0,10,8,13,2,2,2,2,445.0
3,15,6,7,2,2,2,2,394.0
14,5,14,0,2,2,2,2,389.0
0,15,6,10,2,2,2,2,393.0
3,13,5,10,4,2,2,2,404.0
0,13,9,8,2,2,2,2,392.0
0,20,8,9,4,2,2,2,515.0
0,11,5,10,2,2,2,2,372.0
0,10,8,13,2,2,2,2,448.0
0,12,5,10,2,2,2,2,340.0
2,16,7,10,4,2,2,2,505.0
0,19,15,3,2,2,0,2,484.0
0,11,10,12,2,2,2,4,466.0
0,9,3,10,2,2,2,2,315.0
4,16,6,10,2,2,2,2,453.0
0,15,16,1,2,2,2,2,389.0
0,19,16,2,4,2,2,4,463.0
0,12,5,10,2,2,2,2,340.0
0,21,16,2,4,2,2,2,509.0
2,16,4,11,4,2,2,2,446.0
0,15,16,1,2,2,2,2,389.0
0,13,14,2,2,2,2,2,359.0
0,11,9,12,2,2,2,2,459.0
0,20,15,5,4,2,2,4,509.0
3,16,8,11,4,2,2,2,495.0
0,10,4,10,2,2,2,2,328.0
2,14,6,10,4,2,2,2,418.0
0,19,17,2,4,2,2,2,472.0
0,19,15,3,2,2,2,2,484.0
0,16,7,14,4,2,2,2,552.0
0,18,15,5,2,2,2,4,492.0
3,16,5,11,4,2,2,2,445.0
4,15,7,8,2,2,2,2,425.0
0,20,14,2,4,2,2,2,475.0
2,16,8,12,4,2,2,2,550.0
2,19,18,0,4,2,2,2,474.0
3,16,6,11,2,2,2,2,456.0
0,11,10,11,2,2,2,4,451.0
0,11,4,11,2,2,2,2,367.0
0,11,4,13,2,2,2,2,398.0
0,11,10,12,2,2,2,4,466.0
4,15,7,8,2,2,2,2,425.0
0,20,15,1,4,2,2,2,470.0
2,19,18,0,4,2,2,2,474.0
2,15,7,10,4,2,2,2,440.0
3,17,6,12,4,2,2,2,504.0
0,21,14,3,4,2,2,2,512.0
1,14,5,10,4,2,2,2,399.0
0,16,13,6,2,2,2,4,456.0
0,18,11,6,2,2,2,2,474.0
0,11,8,13,2,2,2,2,473.0
0,11,7,15,2,2,2,2,494.0
0,10,6,13,2,2,2,2,419.0
0,10,4,10,2,2,2,2,339.0
0,10,8,13,2,2,2,4,443.0
0,11,14,8,2,2,2,4,409.0
0,12,10,9,2,2,2,4,418.0
0,11,10,12,2,2,2,4,466.0
0,24,18,9,4,2,2,6,654.0
0,10,8,13,2,2,2,2,448.0
0,11,10,11,2,2,2,4,451.0
4,17,6,10,4,2,2,2,484.0
0,11,16,9,2,2,2,4,440.0
0,10,8,13,2,2,2,4,443.0
7,10,7,7,4,2,2,2,379.0
4,11,7,7,2,2,2,2,353.0
0,10,8,10,2,2,2,2,392.0
0,13,11,4,4,2,2,2,346.0
0,12,9,16,2,2,2,2,582.0
13,0,10,0,0,2,2,2,273.0
2,16,7,10,4,2,2,2,505.0
0,14,13,0,2,2,0,2,340.0
0,11,10,12,2,2,2,4,466.0
0,13,11,9,2,2,2,4,448.0
0,10,8,13,2,2,2,2,448.0
0,11,10,11,2,2,2,4,451.0
0,10,8,13,2,2,2,4,443.0
0,20,14,4,2,2,0,2,508.0
3,20,16,14,4,2,2,4,677.0
0,11,9,6,2,2,0,2,357.0
4,19,16,12,4,2,2,4,660.0
0,22,17,8,4,2,2,4,594.0
2,16,7,11,4,2,2,2,527.0
0,12,7,14,2,2,2,2,535.0
3,20,16,14,4,2,2,4,677.0
