0,1,2,3,4,5,6,7,8
18,5,17,7,4,2,4,4,489.0
27,20,27,22,4,6,6,4,1068.0
20,2,15,12,4,4,4,4,471.0
17,11,26,5,4,2,2,4,587.0
17,10,20,3,4,4,4,4,527.0
15,7,15,10,4,4,4,4,459.0
14,8,15,13,4,2,2,2,552.0
19,5,10,12,2,4,4,4,450.0
10,18,14,11,4,2,6,2,639.0
27,18,25,20,4,4,6,4,954.0
26,10,21,14,4,4,6,4,721.0
19,14,20,15,6,4,4,6,795.0
25,23,24,18,8,4,4,6,1080.0
25,15,23,21,4,6,6,4,921.0
23,15,19,18,6,4,4,6,883.0
26,10,21,14,4,4,6,4,721.0
26,10,21,14,4,4,6,4,721.0
20,18,22,11,6,4,2,6,814.0
20,18,22,11,6,4,2,6,814.0
20,4,16,9,4,4,4,2,441.0
21,7,16,12,4,4,4,2,537.0
18,14,15,9,4,4,2,4,625.0
18,15,20,13,6,4,4,4,751.0
18,14,15,6,4,4,4,4,586.0
19,11,22,10,4,2,4,4,652.0
18,5,19,11,4,2,4,4,494.0
13,12,21,7,4,2,4,4,528.0
25,11,18,11,4,4,4,2,678.0
21,18,19,11,6,4,2,6,807.0
22,8,15,11,4,4,4,2,556.0
17,8,17,6,4,4,2,2,464.0
21,10,12,11,4,4,4,4,587.0
21,10,15,10,4,4,2,4,549.0
19,0,15,5,2,4,4,4,333.0
23,8,10,13,4,4,6,4,545.0
21,16,14,11,4,4,4,4,689.0
19,18,12,12,4,4,4,4,672.0
15,7,16,11,4,2,4,4,506.0
20,9,15,12,4,4,4,4,578.0
15,7,16,11,4,2,4,4,506.0
20,18,16,9,4,4,4,4,730.0
20,18,16,9,4,4,4,4,730.0
22,8,15,11,4,4,4,2,556.0
15,6,16,12,4,2,4,2,488.0
27,20,27,24,4,4,8,6,1099.0
17,11,16,9,4,4,2,4,573.0
22,12,17,5,4,4,2,4,565.0
21,9,15,11,4,4,4,4,584.0
14,8,16,8,4,2,2,2,471.0
19,0,15,7,2,4,4,4,364.0
18,10,18,9,4,4,4,4,583.0
18,14,17,13,4,4,4,4,704.0
19,0,15,7,2,4,4,4,364.0
18,14,17,13,4,4,4,4,704.0
21,9,15,11,4,4,4,4,584.0
29,14,22,25,4,4,4,2,1034.0
16,5,18,11,4,2,4,2,486.0
17,9,16,4,4,4,2,2,456.0
20,2,17,7,4,4,4,4,428.0
22,9,14,11,4,4,4,2,560.0
15,6,20,12,4,2,4,2,522.0
17,12,16,8,4,4,2,4,574.0
19,7,16,11,4,4,4,4,549.0
18,13,16,6,4,4,4,4,568.0
20,5,18,11,4,4,2,4,507.0
22,5,13,2,4,4,4,4,349.0
19,21,22,16,8,4,4,4,931.0
20,7,14,7,4,4,4,4,491.0
17,14,13,9,4,4,4,2,611.0
21,8,19,12,4,4,4,4,596.0
21,12,14,12,4,4,4,4,615.0
20,10,23,4,4,4,2,4,527.0
18,10,18,8,4,4,4,4,579.0
30,15,25,19,4,4,8,6,935.0
21,13,17,17,4,4,4,4,779.0
27,15,29,19,6,2,6,6,928.0
22,24,24,16,8,4,0,6,1030.0
17,7,15,14,4,4,2,4,539.0
19,19,22,13,6,4,4,4,861.0
20,10,19,12,4,4,4,4,616.0
20,7,14,11,4,4,4,2,520.0
19,7,13,14,4,4,2,4,531.0
29,19,27,17,4,4,6,6,971.0
23,17,24,16,4,2,4,4,892.0
23,22,23,9,6,4,4,8,862.0
21,17,21,11,4,4,4,6,817.0
27,20,27,22,4,6,6,4,1068.0
20,3,20,10,4,2,4,4,485.0
20,9,11,7,4,4,4,4,458.0
14,7,18,10,4,2,4,4,491.0
21,12,17,7,4,4,2,2,610.0
19,11,16,5,4,4,4,4,534.0
26,15,20,14,4,4,4,2,830.0
23,13,21,17,8,4,4,4,816.0
18,22,26,10,6,4,4,8,906.0
18,22,25,9,8,4,4,6,867.0
26,15,20,14,4,4,4,2,830.0
23,13,21,17,8,4,4,4,816.0
22,19,26,21,2,6,8,6,987.0
19,19,15,12,4,4,4,6,766.0
