0,1,2,3,4,5,6,7,8
11,0,14,2,2,2,2,2,258.0
10,0,15,6,2,2,2,2,283.0
11,0,16,6,2,2,2,2,329.0
11,0,15,6,2,2,2,2,314.0
11,0,15,6,2,2,2,2,286.0
9,0,15,6,2,2,2,2,274.0
6,8,15,6,4,2,2,2,413.0
4,7,13,6,4,2,0,2,365.0
12,0,18,6,2,2,2,2,303.0
11,0,17,6,2,2,2,2,291.0
5,7,19,6,4,2,2,2,419.0
10,0,15,5,2,2,2,2,278.0
11,0,14,4,2,2,2,2,307.0
5,7,16,6,4,2,2,2,391.0
11,0,17,7,2,2,2,2,315.0
10,0,16,5,2,2,2,2,267.0
5,6,15,7,4,2,2,2,389.0
6,7,16,5,4,2,2,2,389.0
10,0,15,3,2,2,2,2,252.0
10,0,14,4,2,2,2,2,260.0
1,12,13,4,4,2,2,2,383.0
1,10,12,4,4,2,2,2,342.0
21,0,21,11,2,2,4,2,463.0
18,0,19,9,2,2,2,2,396.0
21,0,22,15,2,2,4,2,578.0
18,3,22,11,4,2,2,2,565.0
18,4,21,12,4,2,4,4,578.0
11,0,17,5,2,2,2,2,282.0
11,0,16,6,2,2,2,2,297.0
9,7,17,6,4,2,2,2,446.0
5,6,15,7,4,2,2,2,395.0
18,0,19,9,2,2,2,2,428.0
18,0,19,9,2,2,2,2,448.0
7,11,21,11,6,2,4,2,605.0
18,0,16,12,2,2,4,2,472.0
5,10,19,9,4,2,4,2,518.0
11,0,15,10,2,2,2,2,390.0
18,0,19,12,2,2,4,2,511.0
7,5,17,7,4,2,2,2,408.0
5,11,20,11,4,2,4,2,585.0
18,1,18,12,4,2,2,2,518.0
15,0,12,10,2,2,4,2,418.0
5,14,19,12,6,2,4,2,644.0
2,15,18,11,6,2,2,2,605.0
11,0,16,7,2,2,2,2,316.0
15,0,18,11,2,2,4,2,454.0
10,0,15,5,2,2,2,2,265.0
11,0,17,7,2,2,2,2,336.0
10,0,16,5,2,2,2,2,292.0
10,0,14,4,2,2,2,2,241.0
9,0,14,4,2,2,2,2,234.0
10,0,14,4,2,2,2,2,277.0
9,0,14,4,2,2,2,2,272.0
10,0,14,4,2,2,2,2,260.0
9,0,13,3,2,2,2,2,228.0
3,9,14,4,4,2,2,2,367.0
12,10,21,8,6,2,2,2,580.0
1,9,13,4,4,2,2,2,334.0
9,0,11,6,2,2,2,2,263.0
8,0,11,6,2,2,2,2,255.0
9,0,14,5,2,2,2,2,279.0
10,0,15,5,2,2,2,4,302.0
10,0,15,5,2,2,2,2,278.0
10,0,14,5,2,2,2,2,277.0
12,0,16,5,2,2,2,2,316.0
11,0,14,5,2,2,2,2,304.0
10,0,14,4,2,2,2,2,260.0
6,10,19,11,6,2,4,2,570.0
10,0,13,4,2,2,2,2,271.0
5,7,16,4,4,2,2,2,372.0
3,8,13,4,4,2,2,2,335.0
21,1,21,13,4,2,4,2,557.0
21,0,21,12,2,2,2,2,487.0
13,8,22,14,4,2,4,4,684.0
14,7,25,12,4,2,0,4,666.0
11,0,16,5,2,2,2,2,279.0
10,0,14,4,2,2,2,2,241.0
11,0,15,5,2,2,2,2,315.0
21,1,20,15,4,2,4,2,614.0
10,0,14,4,2,2,0,2,281.0
22,1,22,13,4,2,2,2,560.0
21,0,21,12,2,2,2,4,512.0
19,2,23,14,4,2,4,4,600.0
9,11,21,13,4,2,4,4,674.0
10,0,16,5,2,2,2,2,252.0
10,0,15,5,2,2,2,2,265.0
9,7,16,6,4,2,2,2,435.0
6,4,14,6,4,2,2,2,346.0
19,0,20,11,2,2,4,2,479.0
11,0,16,5,2,2,2,2,279.0
20,2,21,15,4,2,4,2,607.0
16,4,23,12,4,2,4,2,604.0
17,7,23,15,4,2,4,4,745.0
11,0,16,5,2,2,2,2,279.0
9,0,15,7,2,2,2,2,277.0
11,0,16,4,2,2,2,2,294.0
10,0,14,6,2,2,2,2,304.0
11,0,14,2,2,2,2,2,258.0
10,0,14,2,2,2,2,2,249.0
3,9,14,2,4,2,2,2,331.0
