0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
14,14,20,14,6,4,0,0,4,4,4,4,4,4,4,4,6,8,8,8,8,6,6,6,6,6,6,4,0,0,0,0,0,0,0,0,4,2,2,2,2,4,2,2,2,2,0,0,0,0,0,0,0,0,201.0,661.0,765.0,765.0,661.0,1,1,2,1,3,1,1,0
17,18,24,19,4,8,0,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,2,2,2,2,0,0,360.0,874.0,920.0,920.0,874.0,1,1,2,1,2,2,1,0
18,18,23,21,4,4,0,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,6,6,6,6,4,6,0,0,0,2,4,4,4,2,2,2,2,4,2,2,2,2,2,4,4,4,4,4,2,0,0,458.0,894.0,946.0,946.0,894.0,1,1,3,2,3,2,2,1
22,22,28,23,8,10,0,4,4,4,4,4,6,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,0,0,2,2,2,4,6,4,4,2,2,2,2,2,4,4,4,6,6,4,2,2,2,2,0,447.0,1044.0,1141.0,1141.0,1044.0,1,1,3,2,1,5,2,2
17,20,23,23,6,10,0,4,4,4,4,4,4,4,6,8,8,8,8,8,8,8,6,6,6,6,6,4,8,0,0,0,2,2,4,2,2,4,4,2,2,2,4,4,4,4,6,4,4,2,2,2,2,0,373.0,952.0,957.0,957.0,952.0,1,1,3,1,1,3,0,2
22,17,21,16,4,6,0,0,0,4,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,4,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,495.0,751.0,997.0,997.0,751.0,0,1,1,1,1,0,0,0
19,20,18,13,6,4,0,0,0,4,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,397.0,772.0,838.0,838.0,772.0,0,0,2,1,0,0,0,0
19,18,20,18,6,6,0,0,2,4,6,6,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,0,0,420.0,846.0,879.0,879.0,846.0,0,1,2,1,1,1,3,0
19,25,20,12,8,8,0,0,0,4,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,0,0,0,0,0,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,6,4,2,0,0,0,388.0,889.0,859.0,859.0,889.0,0,0,2,1,0,5,2,0
27,21,27,25,12,12,0,4,4,4,6,6,6,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,0,0,4,4,4,6,4,4,4,2,2,2,2,2,2,2,2,4,4,4,2,4,4,4,0,586.0,1118.0,1182.0,1182.0,1118.0,1,1,3,2,3,1,1,3
20,21,25,18,6,8,0,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,0,0,0,4,4,6,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,0,0,445.0,901.0,1031.0,1031.0,901.0,1,1,3,1,1,4,2,0
20,21,24,20,4,8,0,4,4,4,4,4,4,6,8,8,8,8,8,8,8,8,8,6,6,6,6,6,8,0,0,0,2,2,4,4,4,4,2,2,2,2,2,2,2,4,4,6,2,2,2,2,2,0,398.0,967.0,988.0,988.0,967.0,1,1,3,2,1,2,1,1
20,14,23,16,8,8,0,4,4,4,4,4,4,6,6,8,8,8,8,8,8,6,6,6,6,6,6,4,4,0,0,0,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,0,0,0,326.0,780.0,899.0,899.0,780.0,1,2,2,1,3,0,1,0
21,22,28,23,10,10,0,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,8,0,0,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,2,4,4,4,4,0,524.0,1056.0,1106.0,1106.0,1056.0,1,1,3,2,2,2,2,0
17,15,17,18,6,6,0,0,0,2,4,4,6,6,8,8,8,8,8,8,8,8,8,8,8,6,4,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,382.0,754.0,787.0,787.0,754.0,1,1,1,1,2,2,0,0
13,14,16,16,6,6,0,0,0,2,4,4,4,4,4,8,8,8,8,8,8,8,8,6,4,4,4,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,0,0,0,325.0,676.0,681.0,681.0,676.0,1,1,1,1,1,1,0,0
16,20,22,16,8,8,0,2,2,4,4,4,4,8,6,8,8,8,8,8,8,8,8,8,6,6,6,4,0,0,0,0,2,2,2,2,2,2,4,2,2,2,2,2,2,4,4,4,6,2,2,0,0,0,374.0,838.0,864.0,864.0,838.0,1,1,2,1,2,4,0,0
14,13,19,17,4,6,0,0,0,4,4,4,4,4,4,4,6,8,8,8,8,8,6,6,6,6,4,0,0,0,0,0,0,2,2,2,2,2,4,4,2,2,2,2,2,4,6,4,2,2,0,0,0,0,279.0,711.0,738.0,738.0,711.0,1,1,2,1,2,1,0,3
24,25,28,24,12,12,0,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,10,0,0,4,4,4,6,4,4,2,2,2,2,2,2,2,2,4,4,4,4,2,4,4,4,0,583.0,1146.0,1177.0,1177.0,1146.0,1,1,3,2,2,2,3,0
22,22,26,20,8,8,0,4,4,4,4,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,8,0,0,0,2,6,8,4,4,2,2,2,2,2,2,2,2,2,4,4,2,4,4,2,0,0,465.0,998.0,1072.0,1072.0,998.0,1,1,3,2,4,2,3,1
24,25,27,23,8,12,0,4,4,6,6,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,8,0,0,2,2,2,4,6,2,2,2,4,2,2,2,4,4,4,4,6,4,4,2,2,2,0,475.0,1119.0,1158.0,1158.0,1119.0,1,1,3,2,2,1,5,2
22,27,25,19,8,10,0,4,4,4,6,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,8,0,0,0,2,2,4,4,4,2,2,2,2,2,2,2,4,4,4,8,4,2,2,2,2,0,432.0,1070.0,1069.0,1069.0,1070.0,1,1,3,2,4,4,1,1
19,23,20,20,6,6,0,0,2,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,4,0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,515.0,946.0,940.0,940.0,946.0,0,0,1,1,0,0,0,1
19,20,9,9,6,4,0,0,0,2,4,6,8,8,8,8,8,6,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,362.0,661.0,650.0,650.0,661.0,0,1,1,1,2,6,0,0
17,17,8,8,4,4,0,0,0,2,4,4,4,4,8,8,6,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,300.0,575.0,575.0,575.0,575.0,1,1,1,1,3,1,0,0
19,18,25,19,10,8,0,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,0,0,0,2,4,6,4,4,2,2,2,4,2,2,2,2,2,2,2,2,4,4,2,2,0,449.0,883.0,980.0,980.0,883.0,1,1,3,1,3,1,1,0
17,18,21,17,4,6,0,0,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,6,4,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,399.0,812.0,867.0,867.0,812.0,1,1,1,1,3,2,0,0
18,18,15,18,6,6,0,0,2,4,4,4,6,8,8,8,8,8,8,8,8,8,6,6,6,6,4,2,0,0,0,0,2,2,2,2,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,4,0,0,379.0,874.0,713.0,713.0,874.0,1,1,2,1,3,3,0,2
14,15,13,18,4,6,0,0,0,2,4,4,4,6,8,8,8,8,8,8,8,6,6,6,6,6,4,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,287.0,745.0,635.0,635.0,745.0,1,1,1,1,0,0,0,0
