0,1,2,3,4,5,6,7,8
13,13,13,13,4,4,4,4,646.0
15,16,17,13,4,4,4,4,716.0
12,18,17,13,4,4,0,4,759.0
18,18,17,17,4,4,2,2,856.0
20,17,16,16,4,4,4,4,824.0
15,19,18,14,4,4,2,2,817.0
15,19,18,14,4,4,0,4,829.0
17,17,16,17,4,4,4,4,837.0
16,17,16,18,4,4,2,2,854.0
17,20,21,14,4,4,4,4,855.0
16,19,19,15,4,4,4,4,854.0
14,16,17,14,4,4,4,4,738.0
15,18,19,18,4,4,4,2,871.0
15,16,15,16,4,4,4,4,764.0
16,14,13,14,4,4,4,4,707.0
14,18,22,11,4,4,4,4,742.0
12,16,17,10,4,4,4,4,652.0
15,15,15,15,4,4,4,4,741.0
15,15,15,16,4,4,4,4,763.0
15,16,18,14,4,4,2,4,733.0
14,16,18,14,4,4,4,4,735.0
19,18,18,17,4,4,4,4,879.0
16,15,16,15,4,4,2,2,754.0
15,15,17,16,4,4,2,2,768.0
19,17,18,18,4,4,4,2,867.0
14,19,19,13,4,4,2,4,798.0
15,14,15,14,4,4,4,4,684.0
19,18,18,16,4,4,4,4,859.0
12,19,19,14,4,4,2,2,789.0
19,19,20,15,4,4,4,4,869.0
13,12,13,12,4,4,4,4,588.0
16,13,16,13,4,4,4,4,685.0
10,18,16,10,4,4,2,4,667.0
14,17,17,12,4,4,4,4,743.0
20,17,19,17,4,4,4,4,849.0
17,16,16,16,4,4,4,4,798.0
17,16,17,16,4,4,4,4,816.0
18,19,19,13,4,4,2,4,824.0
15,18,17,14,4,4,2,4,801.0
19,18,18,17,4,4,4,4,881.0
15,16,15,16,4,4,2,2,778.0
20,19,19,17,4,4,4,4,912.0
16,14,18,15,4,4,4,2,724.0
16,17,18,17,4,4,4,4,848.0
15,15,15,15,4,4,0,0,741.0
18,18,17,15,4,4,4,4,835.0
16,17,17,16,4,4,4,4,816.0
12,19,18,14,4,4,4,4,796.0
22,21,23,21,4,4,4,4,1047.0
16,16,17,16,4,4,0,2,779.0
16,19,18,17,4,4,4,4,880.0
14,20,20,14,4,4,4,4,830.0
20,20,20,18,4,4,4,4,952.0
16,17,17,16,4,4,4,4,814.0
18,20,20,15,4,4,4,4,880.0
14,17,18,13,4,4,2,2,749.0
17,18,18,18,4,4,2,2,881.0
14,15,16,14,4,4,0,2,723.0
16,18,17,17,4,4,2,2,851.0
15,19,19,16,4,4,2,4,865.0
16,18,17,13,4,4,4,4,776.0
18,17,19,15,4,4,2,2,804.0
17,15,16,16,4,4,4,4,759.0
16,19,18,14,4,4,4,2,808.0
17,18,18,18,4,4,4,4,869.0
15,17,18,15,4,4,2,4,793.0
16,16,15,14,4,4,2,2,760.0
16,17,18,18,4,4,4,4,830.0
14,19,20,15,4,4,2,4,838.0
17,19,20,16,4,4,4,2,897.0
15,14,16,14,4,4,2,2,706.0
16,14,14,14,4,4,4,4,700.0
14,18,20,11,4,4,0,4,745.0
11,17,17,11,4,4,2,4,687.0
17,20,20,20,4,4,0,4,964.0
18,16,17,16,4,4,2,2,796.0
16,18,18,18,2,4,4,0,891.0
16,20,21,14,4,4,4,4,867.0
14,20,19,15,4,4,2,0,857.0
18,18,16,19,4,4,4,4,903.0
15,17,17,15,4,4,4,4,788.0
17,19,19,16,4,4,2,4,876.0
15,18,18,15,4,4,2,4,802.0
19,17,17,17,4,4,4,4,862.0
14,13,14,15,4,4,4,2,675.0
18,16,17,15,4,4,4,4,772.0
13,14,16,12,4,4,4,4,653.0
12,12,12,12,4,4,4,4,596.0
13,12,12,14,4,4,4,4,641.0
17,17,18,17,4,4,2,2,815.0
13,14,13,13,4,4,4,4,661.0
12,14,13,14,4,4,4,2,668.0
14,14,16,14,4,4,4,4,708.0
13,14,14,14,4,4,4,4,669.0
15,16,15,13,4,4,4,4,710.0
14,13,14,13,4,4,0,4,644.0
17,17,16,17,4,4,4,4,837.0
17,17,16,17,4,4,0,0,842.0
17,20,21,14,4,4,4,4,855.0
14,19,19,13,4,4,2,2,803.0
