0,1,2,3,4,5,6,7,8
16,14,15,3,4,2,4,6,518.0
23,28,13,0,4,2,4,4,773.0
20,27,13,0,4,2,4,6,736.0
17,18,16,2,4,2,4,6,570.0
18,17,17,3,4,2,4,6,556.0
14,21,17,2,4,2,4,6,622.0
13,20,17,5,4,2,4,6,666.0
19,19,18,4,4,2,4,6,631.0
18,16,17,4,4,2,4,4,573.0
18,19,18,4,4,2,4,6,653.0
15,21,17,4,4,2,2,6,669.0
15,21,17,4,4,2,2,6,669.0
19,20,19,0,4,2,2,6,639.0
19,19,18,4,4,2,4,6,631.0
18,16,17,4,4,2,4,4,573.0
18,19,18,4,4,2,4,6,653.0
15,21,17,4,4,2,2,6,669.0
16,14,18,5,6,2,4,6,632.0
17,13,20,3,4,2,4,6,581.0
20,17,25,6,6,2,4,6,724.0
18,20,22,9,6,4,4,6,836.0
17,19,26,5,4,2,4,8,760.0
16,19,24,9,6,4,4,6,841.0
15,18,17,5,4,2,4,6,639.0
20,17,23,5,6,4,4,6,720.0
17,16,22,5,4,4,4,6,685.0
20,15,24,5,6,2,4,6,694.0
21,17,25,5,6,2,4,6,729.0
13,22,23,5,4,2,4,8,801.0
17,22,24,4,4,2,4,8,826.0
18,16,21,2,4,2,4,6,623.0
17,16,19,0,4,2,4,6,565.0
14,21,22,2,4,2,4,6,698.0
11,22,20,1,4,2,4,6,662.0
18,16,17,4,4,2,4,4,573.0
20,17,24,4,4,2,4,6,689.0
18,16,19,5,4,4,4,6,666.0
17,19,24,6,4,2,4,6,784.0
17,17,21,6,4,4,4,6,710.0
18,16,17,4,4,2,4,6,575.0
17,18,17,5,4,2,4,6,617.0
13,22,16,5,4,2,2,6,714.0
16,20,18,5,4,4,4,6,705.0
19,18,18,2,4,2,4,6,578.0
17,19,16,1,4,2,4,6,574.0
17,21,22,5,4,2,2,8,770.0
13,22,18,3,4,2,4,6,678.0
15,25,16,1,4,2,2,2,696.0
18,15,17,2,4,2,4,6,519.0
16,20,15,0,4,2,2,6,566.0
12,19,16,3,4,2,2,6,608.0
13,22,15,1,4,2,4,6,643.0
23,22,23,8,6,4,6,8,864.0
23,18,27,7,6,2,6,8,788.0
18,16,17,4,4,2,4,4,573.0
15,21,17,4,4,2,2,6,669.0
16,14,15,4,4,2,4,4,525.0
15,18,17,5,4,2,4,6,639.0
20,24,12,0,4,2,4,6,634.0
24,17,11,0,4,2,4,6,513.0
18,18,10,0,4,2,2,6,502.0
20,19,11,1,4,4,4,6,573.0
17,25,11,0,4,2,4,6,645.0
16,21,13,1,4,4,4,6,613.0
16,14,15,1,4,2,4,6,482.0
16,17,15,2,4,2,4,6,546.0
12,19,15,1,4,2,2,6,556.0
15,20,17,4,4,2,2,6,647.0
14,21,15,1,4,4,2,6,601.0
21,17,26,3,4,2,4,6,690.0
20,17,24,4,6,2,4,6,697.0
18,20,25,4,4,2,4,6,784.0
19,19,25,3,4,2,4,8,726.0
18,16,16,2,4,2,4,6,545.0
16,15,15,2,4,2,4,6,521.0
16,22,18,3,4,2,4,6,724.0
14,22,15,2,4,2,4,6,646.0
19,18,23,3,4,2,4,6,670.0
16,18,16,5,4,2,4,6,641.0
19,16,22,2,4,2,4,6,637.0
23,21,19,0,4,2,4,6,698.0
21,20,13,0,4,2,4,6,621.0
17,26,20,0,4,2,2,8,777.0
14,24,14,0,4,2,4,6,679.0
17,16,16,4,4,2,4,6,571.0
16,15,16,4,4,4,4,6,551.0
17,20,16,3,4,2,4,4,628.0
15,15,16,4,4,4,2,6,546.0
16,16,15,4,4,2,4,4,560.0
18,16,17,4,4,2,4,4,573.0
15,14,15,3,4,2,4,6,498.0
16,17,16,5,4,2,4,6,609.0
13,15,16,5,4,2,4,6,549.0
15,12,14,3,4,2,4,6,466.0
14,12,14,3,4,2,4,6,461.0
14,18,16,5,4,2,4,6,651.0
10,16,14,4,4,2,4,6,536.0
18,16,17,4,4,2,4,4,561.0
16,14,15,3,4,2,4,4,506.0
16,17,16,5,4,2,4,6,599.0
