0,1,2,3,4,5,6,7,8
16,12,16,17,4,4,4,6,660.0
29,18,12,16,4,4,4,6,763.0
29,17,10,14,4,4,4,6,718.0
23,23,13,14,4,4,6,4,903.0
23,25,11,14,4,4,6,6,901.0
18,18,21,17,4,2,8,6,867.0
17,22,22,16,4,2,6,6,984.0
16,21,21,17,4,2,6,6,994.0
22,15,25,18,4,2,4,4,828.0
19,15,24,18,4,2,4,6,814.0
17,21,25,17,4,2,6,6,999.0
22,21,13,13,4,4,6,6,805.0
23,23,10,15,4,4,6,2,883.0
16,21,23,18,4,2,6,8,1017.0
23,15,28,17,4,2,8,8,832.0
23,15,29,19,4,4,6,8,921.0
15,24,23,18,4,2,6,8,1088.0
16,22,25,18,4,4,4,8,1039.0
24,16,18,14,6,4,4,6,793.0
19,15,17,13,4,4,4,6,733.0
16,24,19,14,4,4,6,6,930.0
11,25,16,13,4,4,4,6,864.0
21,17,25,16,4,2,6,6,862.0
29,17,10,14,4,4,4,6,718.0
20,16,22,14,4,2,6,6,773.0
17,20,23,18,4,2,4,6,1002.0
17,20,19,15,4,2,6,6,904.0
29,17,10,14,4,4,4,6,719.0
19,16,19,16,4,2,4,6,732.0
19,25,10,16,4,4,4,4,947.0
14,23,17,13,4,2,6,6,878.0
28,22,11,14,4,4,6,6,845.0
25,21,10,11,4,4,6,6,781.0
21,26,12,12,4,4,6,6,890.0
26,17,9,14,4,4,4,6,708.0
21,25,10,13,4,4,6,4,914.0
24,15,11,11,4,4,6,6,666.0
21,16,10,13,4,4,6,6,716.0
16,23,11,11,4,4,4,4,786.0
17,22,10,11,4,4,6,6,791.0
28,20,23,18,6,4,12,8,1007.0
28,15,22,23,6,4,10,8,1019.0
29,21,22,21,4,4,10,8,1064.0
29,20,20,18,4,4,8,6,977.0
22,29,20,17,4,4,6,8,1180.0
23,20,13,13,4,4,6,6,797.0
22,26,21,15,4,4,6,8,1085.0
28,17,11,15,4,4,4,6,734.0
26,17,9,13,4,4,4,6,694.0
21,26,11,14,4,4,6,4,948.0
23,20,13,13,4,4,6,6,797.0
16,18,9,14,2,4,4,4,690.0
16,15,9,13,2,4,4,4,611.0
14,21,13,13,2,4,4,4,770.0
18,21,11,11,4,4,4,6,766.0
19,23,16,12,6,4,4,8,843.0
21,25,11,14,4,4,6,4,927.0
17,17,14,8,6,4,4,6,634.0
17,28,18,5,6,4,4,8,857.0
13,23,18,3,6,4,4,8,699.0
18,18,14,9,6,4,4,6,661.0
16,18,10,11,4,4,4,4,654.0
14,25,11,10,4,4,4,6,763.0
18,23,13,8,6,4,4,6,771.0
23,13,12,11,6,4,4,6,632.0
23,14,10,11,4,4,4,6,611.0
17,21,12,8,6,4,4,6,709.0
22,21,13,13,4,4,6,6,805.0
18,21,15,7,6,4,2,6,727.0
24,15,30,13,6,2,6,8,804.0
22,15,27,20,4,4,8,6,908.0
18,21,26,17,4,2,4,8,988.0
18,19,24,16,4,4,6,6,950.0
19,16,17,16,4,2,4,6,737.0
17,14,16,11,4,2,4,6,623.0
16,23,18,14,4,2,4,6,904.0
12,22,15,13,4,4,4,6,782.0
24,18,17,14,4,4,4,6,820.0
23,15,10,12,4,4,6,4,659.0
20,18,16,13,4,4,6,6,803.0
19,28,17,14,4,4,6,6,1002.0
14,23,16,14,4,4,6,6,863.0
33,8,24,15,6,4,4,4,710.0
29,8,20,13,6,4,4,4,639.0
14,20,16,18,2,4,4,4,857.0
16,21,17,21,4,4,8,8,978.0
25,16,20,13,4,4,4,6,797.0
18,14,19,17,4,2,4,6,781.0
18,18,17,14,4,2,6,6,755.0
22,15,9,10,4,4,6,6,615.0
18,14,17,14,4,2,6,6,686.0
23,25,10,12,4,4,6,6,882.0
15,18,16,15,4,2,6,6,793.0
17,13,16,12,4,2,6,6,621.0
16,13,16,13,4,2,6,6,635.0
22,19,10,10,4,4,6,4,719.0
20,18,10,11,4,4,6,6,699.0
20,14,9,10,4,4,6,6,605.0
14,14,14,11,4,2,6,6,615.0
18,23,13,9,4,4,6,6,794.0
