0,1,2,3,4,5,6,7,8
16,5,6,13,6,2,4,2,482.0
18,7,10,13,6,2,6,2,546.0
13,11,12,12,6,2,6,4,579.0
16,12,11,15,6,2,4,4,675.0
15,9,12,15,6,2,6,6,615.0
13,7,11,16,6,2,6,4,566.0
16,18,11,17,8,4,4,4,833.0
17,18,20,16,12,8,4,6,855.0
20,13,10,19,6,2,4,4,788.0
17,9,8,15,6,2,4,4,605.0
19,13,13,18,6,2,4,4,770.0
13,13,16,20,6,2,4,4,793.0
17,13,10,17,6,2,4,6,723.0
15,7,11,17,6,2,6,2,608.0
28,19,11,18,6,2,4,6,933.0
22,15,10,17,6,2,2,4,795.0
16,18,14,14,6,2,4,6,781.0
17,16,13,16,6,2,4,4,783.0
21,8,9,17,6,2,6,2,641.0
18,8,7,18,6,2,4,2,637.0
16,13,10,16,6,2,6,2,695.0
14,11,8,17,6,2,6,4,666.0
17,12,10,16,6,2,6,2,689.0
20,13,10,19,6,2,4,4,788.0
20,10,11,17,6,2,4,4,700.0
14,12,11,17,6,2,6,6,699.0
20,13,13,17,6,2,6,4,767.0
17,12,10,16,6,2,6,2,689.0
20,10,11,17,6,2,4,4,700.0
14,12,11,17,6,2,6,6,699.0
20,13,13,17,6,2,6,4,767.0
18,10,10,17,6,2,4,6,682.0
14,20,12,17,6,2,6,6,870.0
15,12,11,18,6,2,2,6,725.0
17,9,8,15,6,2,4,4,605.0
17,11,9,18,6,2,6,4,705.0
21,9,9,17,6,2,6,2,665.0
13,14,13,15,6,2,4,4,690.0
11,14,13,13,6,2,4,6,644.0
19,12,14,18,6,2,6,4,744.0
18,13,15,18,6,2,4,4,766.0
13,16,15,14,6,2,4,6,721.0
11,18,14,13,6,2,4,6,732.0
19,11,14,19,6,2,4,4,776.0
16,9,9,15,6,2,4,2,613.0
20,15,12,19,6,2,6,6,851.0
12,15,16,11,6,2,4,6,658.0
12,13,12,14,6,2,4,4,648.0
18,14,15,16,6,2,6,6,756.0
18,8,9,15,6,2,6,4,589.0
19,15,14,18,6,2,6,6,818.0
12,12,9,14,6,2,6,6,609.0
20,14,11,19,6,2,4,6,813.0
18,11,9,21,6,2,6,6,778.0
17,12,12,16,6,2,6,6,702.0
14,15,12,16,6,2,6,6,741.0
19,13,13,18,6,2,4,4,770.0
18,12,10,17,6,2,6,2,714.0
21,14,10,18,6,2,6,4,788.0
15,14,15,14,6,2,4,4,701.0
16,13,13,15,6,2,4,6,710.0
16,9,9,14,6,2,6,4,578.0
19,12,10,17,6,2,6,6,721.0
14,13,15,13,6,2,4,6,652.0
23,18,20,19,6,2,4,8,924.0
24,12,23,16,6,4,2,6,770.0
13,21,23,18,6,4,2,8,954.0
15,7,11,17,6,2,6,2,608.0
17,20,22,16,6,4,6,6,917.0
28,16,22,25,6,2,4,8,997.0
27,14,18,24,6,2,4,6,934.0
17,18,21,19,6,2,6,8,912.0
15,15,19,16,6,2,6,6,771.0
20,13,10,19,6,2,4,4,788.0
17,9,8,15,6,2,4,4,605.0
19,13,13,18,6,2,4,4,770.0
15,7,11,17,6,2,6,2,608.0
13,5,6,16,6,2,4,2,513.0
20,13,10,19,6,2,6,4,790.0
14,5,6,11,6,2,2,0,434.0
10,9,10,10,6,2,2,2,470.0
11,8,9,9,6,2,2,0,456.0
17,6,5,20,6,2,4,2,618.0
13,6,6,15,6,2,4,2,504.0
14,9,10,13,6,2,2,0,569.0
12,8,9,11,6,2,2,0,491.0
17,6,7,16,6,2,2,2,561.0
12,6,7,17,6,2,2,0,539.0
10,9,10,13,6,2,2,4,523.0
19,7,9,15,6,2,4,2,579.0
10,10,9,12,6,2,2,2,524.0
15,5,6,14,6,2,6,2,490.0
18,7,7,19,6,2,6,2,636.0
15,10,9,13,6,2,4,2,578.0
12,10,8,12,6,2,6,2,540.0
15,10,13,17,6,2,6,4,664.0
19,13,14,19,6,2,4,4,784.0
15,13,15,15,6,2,4,4,701.0
17,15,15,14,6,2,6,4,737.0
21,7,7,19,6,2,6,2,655.0
