0,1,2,3,4,5,6,7,8
15,3,10,0,2,2,2,2,336.0
17,5,11,0,2,2,2,2,354.0
26,17,17,6,4,2,2,4,812.0
26,15,18,6,4,2,4,4,779.0
26,17,21,1,4,2,2,4,700.0
26,16,24,2,4,2,2,6,729.0
19,8,10,0,2,2,2,2,428.0
17,9,9,0,2,2,2,2,429.0
18,8,11,0,2,2,2,2,356.0
24,13,11,2,4,2,4,4,609.0
25,13,14,3,4,2,4,4,647.0
18,9,11,0,2,2,0,2,391.0
18,6,10,0,2,2,2,2,401.0
16,6,9,0,2,2,2,2,372.0
18,7,10,0,2,2,0,2,382.0
16,7,13,0,2,2,0,2,389.0
26,13,15,4,4,2,4,4,683.0
26,14,17,5,4,2,4,4,723.0
27,12,20,0,2,2,4,4,584.0
25,14,20,1,4,2,0,4,631.0
16,11,15,7,4,2,4,2,598.0
13,24,15,0,4,2,4,4,653.0
18,12,14,5,4,2,2,4,579.0
19,10,14,0,2,2,4,4,461.0
16,11,19,0,2,2,4,6,482.0
8,17,0,10,2,2,2,2,440.0
17,7,9,0,2,2,2,2,396.0
19,7,10,0,2,2,2,2,378.0
18,7,11,0,2,2,2,2,383.0
20,11,11,1,4,2,4,4,528.0
20,10,11,2,4,2,4,4,519.0
24,10,16,0,2,2,4,2,481.0
14,25,18,0,6,2,4,4,688.0
21,10,16,0,2,2,4,4,440.0
8,17,0,10,2,2,2,2,440.0
18,7,9,0,2,2,2,2,408.0
18,7,11,0,2,2,0,2,390.0
17,8,11,0,2,2,0,2,396.0
19,7,11,0,2,2,2,2,422.0
19,7,10,0,2,2,2,2,424.0
20,7,12,0,2,2,2,2,404.0
19,7,10,0,2,2,2,2,380.0
19,7,11,0,2,2,2,2,422.0
24,22,18,9,4,2,4,4,901.0
19,7,10,0,2,2,2,2,424.0
20,7,12,0,2,2,2,2,404.0
19,7,10,0,2,2,2,2,380.0
22,10,11,2,4,2,4,2,543.0
22,10,11,2,4,2,2,2,544.0
13,21,14,0,4,2,2,4,578.0
14,23,19,0,4,2,2,4,663.0
28,15,16,5,4,2,4,4,757.0
25,15,14,5,4,2,4,4,729.0
28,16,20,1,4,2,4,4,698.0
23,13,16,5,4,2,4,4,689.0
23,15,18,2,4,2,4,4,671.0
23,12,15,4,4,2,4,4,631.0
27,14,20,0,2,2,4,6,593.0
24,13,19,0,2,2,2,4,585.0
26,14,16,5,4,2,4,4,741.0
26,16,17,6,4,2,4,4,762.0
23,16,20,0,2,2,4,6,601.0
22,18,21,0,2,2,2,6,668.0
21,10,15,3,4,2,4,2,590.0
19,9,16,4,4,2,2,2,580.0
23,16,16,6,6,2,4,4,740.0
15,20,22,0,4,2,2,4,658.0
17,14,18,0,4,2,4,2,523.0
24,13,15,4,4,2,4,4,684.0
24,12,13,3,4,2,4,4,623.0
25,14,19,0,2,2,0,4,633.0
22,12,17,0,2,2,4,4,571.0
19,7,10,0,2,2,2,2,424.0
19,7,10,0,2,2,2,2,424.0
18,8,11,0,2,2,0,2,375.0
20,8,13,0,2,2,2,2,409.0
25,14,19,2,4,2,4,4,673.0
19,7,10,0,2,2,2,2,428.0
19,8,10,0,2,2,2,2,444.0
19,7,12,0,2,2,2,2,363.0
19,8,10,0,2,2,0,2,374.0
17,6,11,0,2,2,2,2,414.0
7,17,0,10,2,2,2,2,435.0
17,7,12,0,2,2,2,2,375.0
15,9,10,0,2,2,2,2,379.0
31,22,19,9,4,2,4,4,1000.0
31,22,14,16,4,4,4,4,1051.0
24,13,21,2,4,2,2,4,628.0
23,26,22,4,4,2,2,6,859.0
23,25,21,4,4,2,4,6,834.0
8,17,0,10,2,2,2,2,440.0
17,7,9,0,2,2,2,2,396.0
19,7,10,0,2,2,2,2,378.0
18,7,11,0,2,2,2,2,383.0
17,8,9,0,2,2,2,2,416.0
16,9,9,0,2,2,2,2,415.0
18,9,11,0,2,2,0,2,389.0
19,8,9,0,2,2,4,2,366.0
8,17,0,10,2,2,2,2,440.0
19,8,11,0,2,2,2,2,460.0
