0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,10,10,7,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,75.0,399.0,452.0,452.0,399.0,1,1,1,0,0,0,2,0
18,16,9,9,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,4,4,2,2,2,2,0,255.0,592.0,604.0,604.0,592.0,2,2,0,0,1,1,0,0
20,17,10,7,6,6,0,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,4,4,2,2,2,2,2,0,240.0,624.0,618.0,618.0,624.0,2,2,1,0,3,1,2,0
18,18,15,5,6,4,0,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,0,278.0,581.0,707.0,707.0,581.0,2,2,0,0,2,1,2,0
21,17,13,4,6,6,0,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,4,4,2,2,2,2,2,0,265.0,571.0,694.0,694.0,571.0,2,2,0,0,2,1,1,0
8,10,8,4,4,4,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,94.0,360.0,330.0,330.0,360.0,1,1,1,0,0,1,0,0
9,11,10,4,4,2,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,107.0,401.0,381.0,381.0,401.0,1,1,1,0,0,0,2,0
9,13,12,1,4,6,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,155.0,362.0,443.0,443.0,362.0,1,1,1,0,0,0,0,0
7,16,12,1,4,4,0,0,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,156.0,395.0,433.0,433.0,395.0,1,1,1,0,0,3,0,0
10,12,14,6,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,187.0,422.0,544.0,544.0,422.0,1,1,0,0,0,2,0,0
