0,1,2,3,4,5,6,7,8
9,12,10,12,2,2,2,2,537.0
14,17,19,17,4,2,4,4,859.0
11,17,18,11,4,2,2,4,704.0
9,15,14,14,2,2,2,6,658.0
11,13,11,15,2,2,2,2,642.0
15,14,17,12,4,2,6,2,680.0
10,13,12,12,2,2,2,4,595.0
11,12,19,14,2,2,2,4,663.0
11,13,11,15,2,2,2,2,642.0
15,14,17,12,4,2,6,2,680.0
10,13,12,12,2,2,2,4,595.0
11,10,16,9,4,2,4,4,523.0
22,24,24,26,6,2,4,10,1197.0
16,14,18,18,2,2,4,2,797.0
15,14,14,14,4,2,6,2,700.0
13,19,16,15,2,2,2,6,798.0
13,18,16,15,2,2,4,2,797.0
16,23,19,17,6,2,2,10,957.0
14,19,19,14,4,2,2,6,821.0
21,22,21,22,2,2,6,6,1089.0
23,23,23,22,2,2,4,6,1126.0
15,27,22,17,6,2,2,10,1056.0
14,24,23,17,6,2,2,10,984.0
14,13,17,12,4,2,6,2,652.0
15,15,15,18,4,2,2,0,798.0
12,9,15,15,6,2,2,4,615.0
9,18,21,14,2,2,2,4,769.0
1,24,19,13,2,2,2,4,712.0
20,19,20,18,4,2,2,2,918.0
17,16,16,13,4,2,6,2,721.0
18,16,16,14,4,2,2,6,799.0
13,14,18,18,2,2,2,6,774.0
14,13,17,15,4,2,4,2,732.0
14,13,16,15,4,2,4,2,716.0
12,11,15,12,4,2,2,4,622.0
8,15,19,13,2,2,2,6,663.0
12,12,15,11,4,2,2,8,614.0
11,13,12,15,2,2,2,4,643.0
13,12,15,13,4,2,4,2,633.0
12,14,13,12,2,2,2,6,625.0
9,18,18,10,2,2,2,6,687.0
12,11,13,11,4,2,2,2,565.0
12,11,14,11,4,2,2,4,594.0
9,19,15,14,2,2,2,6,749.0
11,27,22,19,6,2,2,10,1023.0
11,10,16,9,4,2,4,4,523.0
22,20,23,24,6,2,6,4,1100.0
26,17,24,25,6,2,8,2,1114.0
17,22,16,20,6,2,2,6,961.0
15,22,23,19,4,2,2,6,993.0
14,13,17,12,4,2,6,2,652.0
12,11,15,12,4,2,2,4,622.0
11,13,19,14,2,2,2,4,679.0
11,10,16,9,4,2,4,4,523.0
12,16,14,14,2,2,4,2,698.0
11,16,18,12,2,2,2,6,698.0
11,13,19,14,2,2,2,4,679.0
8,14,15,12,2,2,2,6,595.0
7,14,16,13,2,2,2,4,597.0
15,20,15,14,2,2,2,2,838.0
14,13,12,11,2,2,2,2,609.0
11,5,7,11,4,2,2,4,418.0
9,16,12,13,2,2,2,6,641.0
10,16,18,15,2,2,2,2,749.0
14,14,11,18,2,2,4,4,749.0
8,17,15,10,2,2,2,6,645.0
10,15,14,13,2,2,2,8,666.0
14,14,17,12,4,2,6,2,670.0
13,10,14,12,4,2,2,2,577.0
14,14,16,15,4,2,2,2,730.0
9,11,19,11,2,2,2,6,554.0
9,14,12,12,2,2,2,6,590.0
23,22,20,22,4,2,8,6,1093.0
27,22,22,23,6,2,8,4,1145.0
20,22,18,20,8,2,2,8,1013.0
22,24,24,20,8,2,2,8,1134.0
12,12,13,14,2,2,2,2,615.0
11,12,14,11,4,2,4,2,606.0
12,10,15,12,4,2,2,4,609.0
8,15,12,10,2,2,2,6,577.0
9,14,17,13,2,2,2,6,636.0
16,18,19,16,4,2,2,2,860.0
19,13,13,15,2,2,2,2,712.0
15,20,24,12,6,2,2,8,856.0
10,21,17,14,6,2,2,8,799.0
19,13,20,18,4,2,4,4,801.0
16,10,13,14,4,2,2,4,620.0
10,17,21,13,2,2,2,8,722.0
9,16,15,14,2,2,2,10,700.0
11,13,19,13,2,2,2,4,662.0
16,19,21,16,4,2,2,4,870.0
16,13,19,15,4,2,2,2,774.0
9,19,19,11,2,2,2,8,724.0
13,13,13,14,4,2,4,2,675.0
11,8,12,11,4,2,2,4,520.0
12,15,14,15,2,2,2,6,712.0
9,13,15,11,2,2,2,4,598.0
13,11,16,15,4,2,4,2,665.0
11,10,15,10,4,2,2,2,543.0
10,19,19,12,2,2,2,4,747.0
