0,1,2,3,4,5,6,7,8
7,10,14,3,6,2,2,2,398.0
14,16,17,12,6,2,4,2,723.0
11,15,15,13,6,2,2,2,694.0
11,20,22,11,6,2,4,2,775.0
12,18,22,10,6,2,2,4,739.0
10,18,17,8,6,2,6,4,656.0
10,17,21,7,6,2,2,2,641.0
8,13,15,7,6,2,2,2,516.0
5,22,20,6,6,2,0,2,682.0
6,16,19,6,6,2,2,2,564.0
13,22,22,9,6,2,2,2,799.0
14,14,17,12,6,2,6,2,685.0
13,22,24,12,6,2,4,2,874.0
11,17,21,8,6,2,2,2,665.0
11,16,15,10,6,2,6,2,646.0
9,21,22,6,6,2,2,2,688.0
8,23,22,5,6,2,0,2,706.0
9,19,20,7,6,2,2,2,671.0
9,16,20,7,6,2,2,2,611.0
6,22,23,4,6,2,2,2,666.0
7,18,22,5,6,2,2,2,616.0
7,19,17,8,6,2,0,2,650.0
9,18,21,7,6,2,2,2,647.0
10,19,18,12,6,2,2,4,771.0
6,19,18,7,6,2,0,2,642.0
5,22,20,6,6,2,0,2,683.0
7,19,17,8,6,2,0,2,650.0
9,18,21,7,6,2,2,2,647.0
6,19,18,7,6,2,0,2,642.0
13,18,19,12,6,2,6,2,769.0
8,18,25,21,6,2,4,6,893.0
15,19,25,12,6,2,6,2,815.0
13,17,20,11,6,2,6,2,727.0
9,28,30,7,6,2,0,4,912.0
13,22,25,12,6,2,6,2,871.0
8,19,19,9,6,2,0,2,694.0
13,17,18,13,6,2,4,2,760.0
17,15,24,15,6,2,4,4,817.0
6,26,28,11,6,2,2,2,892.0
10,26,26,16,6,2,4,2,1024.0
12,20,20,9,6,2,4,2,748.0
9,16,15,10,6,2,0,2,638.0
7,21,21,5,6,2,0,2,671.0
6,23,24,6,6,2,0,2,742.0
12,18,18,14,6,2,4,2,786.0
10,17,21,7,6,2,2,2,641.0
11,16,16,10,6,2,4,2,648.0
10,23,22,11,6,2,4,2,830.0
12,24,19,12,6,2,4,2,869.0
10,17,19,7,6,2,2,2,625.0
9,15,18,7,6,2,2,2,577.0
4,27,27,5,6,2,0,2,801.0
4,23,21,5,6,2,0,2,681.0
8,16,20,7,6,2,2,2,610.0
9,20,21,9,6,2,2,2,733.0
3,23,19,4,6,2,0,2,654.0
8,13,15,7,6,2,2,2,516.0
5,23,25,5,6,2,2,2,721.0
7,16,18,6,6,2,2,2,567.0
8,15,18,8,6,2,2,2,606.0
2,23,19,3,6,2,0,4,612.0
4,26,27,4,6,2,2,2,749.0
15,21,24,16,6,2,6,2,947.0
11,22,22,12,6,2,4,2,842.0
10,24,24,14,6,2,4,2,930.0
10,17,21,7,6,2,2,2,641.0
8,13,15,7,6,2,2,2,516.0
5,22,20,6,6,2,0,2,682.0
5,22,20,6,6,2,0,2,682.0
6,16,19,6,6,2,2,2,564.0
7,15,16,7,6,2,0,2,561.0
7,18,19,7,6,2,0,2,638.0
3,17,18,2,6,2,2,2,500.0
5,20,17,4,6,2,0,4,596.0
9,23,27,7,6,2,2,2,774.0
8,18,20,6,6,2,2,2,617.0
4,24,30,4,6,2,0,2,734.0
3,20,19,4,6,2,0,2,588.0
6,16,19,6,6,2,2,2,564.0
7,20,19,9,6,2,2,2,708.0
9,17,20,6,6,2,2,2,610.0
5,26,25,4,6,2,2,2,745.0
4,20,19,3,6,2,0,2,580.0
8,17,16,6,6,2,0,2,576.0
8,15,16,6,6,2,2,2,548.0
5,24,26,4,6,2,0,2,706.0
5,24,19,3,6,2,2,2,650.0
16,17,21,14,6,2,4,2,801.0
17,14,21,13,6,2,0,2,741.0
8,13,15,7,6,2,2,2,516.0
14,24,24,12,6,2,6,2,914.0
12,16,18,12,6,2,4,2,721.0
8,15,17,7,6,2,2,2,567.0
8,19,21,5,6,2,2,2,631.0
5,28,29,4,6,2,2,2,805.0
5,24,25,2,6,2,2,2,679.0
11,14,17,8,6,2,2,2,590.0
8,17,19,9,6,2,2,2,657.0
8,20,23,7,6,2,2,2,688.0
8,24,28,6,6,2,2,2,777.0
