0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,5,7,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,80.0,199.0,307.0,307.0,199.0,0,1,1,0,0,0,0,0
14,9,18,0,2,6,0,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,6,6,6,4,2,2,2,2,2,2,2,2,2,2,0,0,0,168.0,392.0,551.0,551.0,392.0,1,1,2,0,2,0,1,0
15,6,14,3,2,2,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,0,0,96.0,383.0,491.0,491.0,383.0,1,1,1,1,2,0,1,0
13,5,14,1,2,0,0,0,0,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,4,4,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,102.0,310.0,449.0,449.0,310.0,1,1,1,0,0,0,1,0
13,9,17,1,0,2,0,4,6,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,4,6,6,4,6,2,2,2,2,2,2,0,0,0,0,0,110.0,411.0,509.0,509.0,411.0,1,1,1,0,1,1,1,0
10,7,15,0,2,2,0,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,112.0,310.0,426.0,426.0,310.0,1,1,2,0,1,0,1,0
16,5,9,0,2,2,0,0,4,6,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,113.0,262.0,428.0,428.0,262.0,1,1,1,0,3,0,0,0
11,3,9,0,0,2,0,0,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,86.0,191.0,338.0,338.0,191.0,1,1,1,0,0,0,0,0
11,8,9,0,2,2,0,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,4,2,2,2,2,2,0,0,0,0,0,0,89.0,275.0,369.0,369.0,275.0,0,1,1,0,3,1,0,0
9,7,10,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,99.0,251.0,347.0,347.0,251.0,0,1,1,0,0,0,0,0
14,3,10,0,0,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,103.0,222.0,399.0,399.0,222.0,1,1,1,0,3,0,0,0
12,6,11,0,2,2,0,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,107.0,256.0,411.0,411.0,256.0,1,1,1,0,1,0,0,0
17,6,10,0,2,2,0,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,147.0,274.0,485.0,485.0,274.0,1,1,1,0,1,0,0,0
13,3,9,0,2,2,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,81.0,221.0,354.0,354.0,221.0,1,1,1,0,1,0,0,0
14,3,10,0,0,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,103.0,222.0,399.0,399.0,222.0,1,1,1,0,3,0,0,0
13,2,9,0,2,2,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,79.0,207.0,345.0,345.0,207.0,1,1,1,0,1,0,0,0
9,8,10,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,91.0,279.0,342.0,342.0,279.0,0,1,1,0,1,0,0,0
15,2,9,0,2,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,103.0,206.0,392.0,392.0,206.00000000000003,1,1,1,0,1,0,0,0
13,4,8,0,2,2,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,96.0,211.0,364.0,364.0,211.0,1,1,1,0,1,0,0,0
13,5,10,0,2,2,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,105.0,246.0,398.0,398.0,246.0,1,1,1,0,1,0,0,0
11,6,9,0,2,2,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,94.0,243.0,355.0,355.0,243.0,1,1,1,0,1,0,0,0
11,5,8,0,2,2,0,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,80.0,224.0,328.0,328.0,224.0,1,1,1,0,1,0,0,0
