0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
16,8,9,17,2,4,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,4,0,0,0,0,0,0,0,150.0,567.0,583.0,583.0,567.0,0,1,1,0,3,0,0,4
15,6,7,11,6,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,0,0,121.0,416.0,481.0,481.0,416.0,0,1,1,0,0,0,0,0
14,9,8,12,6,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,2,2,2,2,4,6,6,6,6,6,6,6,4,2,2,0,0,0,0,0,128.0,495.0,494.0,494.0,495.0,0,1,1,0,3,0,0,0
13,9,8,11,4,2,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,4,6,6,6,6,6,6,6,6,4,2,2,2,0,0,0,0,130.0,465.0,478.0,478.0,465.0,0,1,1,0,0,0,0,0
20,12,9,18,6,4,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,234.0,684.0,673.0,673.0,684.0,0,1,1,0,3,0,0,2
20,9,8,17,6,4,0,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,207.0,609.0,633.0,633.0,609.0,0,1,1,0,3,0,0,1
17,10,11,16,4,6,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,2,2,2,4,6,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,193.0,605.0,637.0,637.0,605.0,0,1,1,0,6,0,1,1
15,10,9,15,6,4,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,2,2,4,6,6,6,6,6,6,6,6,6,4,2,2,0,0,0,0,169.0,574.0,553.0,553.0,574.0,0,1,1,0,3,0,0,0
20,12,9,18,6,4,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,234.0,684.0,673.0,673.0,684.0,0,1,1,0,3,0,0,2
20,9,8,17,6,4,0,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,207.0,609.0,633.0,633.0,609.0,0,1,1,0,3,0,0,1
