0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
11,2,11,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,0,0,0,0,0,0,0,0,0,0,42.0,272.0,326.0,326.0,272.0,1,1,0,1,1,0,0,0
13,6,12,1,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,6,4,4,6,2,2,2,0,0,0,0,0,0,0,0,69.0,324.0,412.0,412.0,324.0,1,1,0,0,4,0,0,0
12,6,12,2,2,4,0,0,0,0,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,0,0,2,4,4,4,4,2,2,4,0,0,0,0,0,0,0,84.0,327.0,409.0,409.0,327.0,3,1,0,1,1,0,0,0
13,7,11,3,2,4,0,0,0,0,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,2,2,0,0,0,0,0,0,0,85.0,362.0,420.0,420.0,362.0,2,1,0,1,5,0,0,0
10,6,12,0,2,2,0,0,0,0,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,4,6,2,2,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,106.0,256.0,388.0,388.0,256.0,3,1,1,0,0,0,0,0
10,12,13,0,2,6,0,0,0,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,4,6,6,4,4,2,2,2,2,2,4,2,0,0,0,0,0,0,108.0,359.0,446.0,446.0,359.0,1,2,1,0,1,2,0,0
8,8,0,9,4,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,24.0,288.0,287.0,287.0,288.0,2,1,0,0,2,0,0,0
14,4,9,0,4,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,38.0,297.0,324.0,324.0,297.0,2,1,1,0,4,0,0,0
11,5,10,0,2,2,0,0,0,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,2,2,4,2,2,2,0,0,0,0,0,0,0,0,75.0,246.0,352.0,352.0,246.0,1,1,1,0,0,0,0,0
9,8,8,0,2,2,0,0,0,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,2,2,4,2,2,0,0,0,0,0,0,0,0,53.0,259.0,316.0,316.0,259.0,1,2,1,0,2,0,0,0
