0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,0,10,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19.0,220.0,240.0,240.0,220.0,1,0,1,0,0,0,0,0
10,0,9,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18.0,209.0,228.0,228.0,209.0,1,0,1,0,0,0,0,0
10,0,9,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18.0,209.0,228.0,228.0,209.0,1,0,1,0,0,0,0,0
1,9,9,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,32.0,217.0,220.0,220.0,217.0,0,1,1,0,0,0,0,0
1,9,9,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,16.0,217.0,220.0,220.0,217.0,0,1,1,0,0,0,0,0
2,9,11,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,43.0,238.0,268.0,268.0,238.0,0,1,1,0,0,0,0,0
14,4,13,4,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,4,4,4,2,4,4,4,4,0,0,0,0,0,0,0,0,49.99999999999999,393.0,412.0,412.0,393.0,1,1,1,1,1,0,0,0
13,2,13,3,2,2,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,4,4,2,4,4,2,0,0,0,0,0,0,0,0,0,41.0,338.0,375.0,375.0,338.0,1,1,1,1,0,0,1,0
3,7,9,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,24.0,207.0,230.0,230.0,207.0,0,1,1,0,0,0,0,0
4,15,21,0,2,2,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,2,2,2,2,2,4,4,6,4,4,2,2,2,2,2,0,0,0,0,0,100.0,427.0,493.0,493.0,427.0,1,1,2,0,0,0,2,0
1,16,18,0,2,2,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,4,4,2,4,2,2,2,2,2,0,0,0,0,0,81.0,398.0,407.0,407.0,398.0,0,2,2,0,0,0,1,0
0,22,19,1,2,4,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,4,4,4,2,2,2,2,4,4,2,2,2,2,2,2,2,0,169.0,504.0,462.0,462.0,504.0,0,2,2,0,0,2,2,0
