0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,0,13,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,83.0,215.0,360.0,360.0,215.0,1,0,0,1,0,0,0,0
9,0,15,5,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,150.0,211.0,456.0,456.0,211.0,1,0,0,1,0,0,0,0
10,0,15,6,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,123.0,274.0,439.0,439.0,274.0,1,0,0,1,0,0,0,0
9,0,14,6,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,105.0,268.0,399.0,399.0,268.0,1,0,0,1,0,0,0,0
9,0,14,5,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,122.0,228.0,416.0,416.0,228.0,1,0,0,1,0,0,0,0
10,0,13,5,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,112.0,239.0,405.0,405.0,239.0,1,0,0,1,0,0,0,0
4,5,12,6,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,56.0,300.0,321.0,321.0,300.0,0,1,0,1,0,0,0,0
5,7,11,6,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,52.0,332.0,335.0,335.0,332.0,0,1,0,1,0,0,0,0
11,0,16,6,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,149.0,271.0,488.0,488.0,271.0,1,0,0,1,0,0,0,0
10,0,15,6,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,140.0,256.0,457.0,457.0,256.0,1,0,0,1,0,0,0,0
4,10,18,6,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,89.0,415.0,459.0,459.0,415.0,0,1,0,1,0,0,1,0
