0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
14,13,13,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,6,4,0,0,0,0,0,0,0,0,116.0,470.0,542.0,542.0,470.0,0,0,1,0,1,0,0,0
20,25,13,0,4,4,0,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,317.0,636.0,698.0,698.0,636.0,0,0,1,0,0,0,0,0
18,26,10,0,4,6,0,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,278.0,635.0,607.0,607.0,635.0,0,0,1,0,1,2,0,0
16,17,15,1,4,6,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,193.0,459.0,668.0,668.0,459.0,0,0,1,0,0,4,0,0
15,15,15,3,4,6,0,0,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,192.0,463.0,641.0,641.0,463.0,0,0,1,0,0,1,0,0
13,19,15,2,4,6,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,202.0,518.0,609.0,609.0,518.0,0,0,1,0,0,2,0,0
12,17,15,4,4,6,0,0,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,184.0,531.0,573.0,573.0,531.0,0,0,1,0,1,1,0,0
18,13,17,3,4,6,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,230.0,435.0,738.0,738.0,435.0,0,0,1,0,1,0,0,0
16,16,15,4,4,6,0,0,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,218.0,514.0,659.0,659.0,514.0,0,0,1,0,0,1,0,0
15,17,15,4,2,6,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,222.0,541.0,632.0,632.0,541.0,0,0,1,0,1,0,0,0
