0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
14,12,14,16,4,6,0,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,6,6,4,2,2,2,2,0,0,0,0,206.0,578.0,710.0,710.0,578.0,0,0,1,1,0,1,2,3
27,16,10,10,4,6,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,6,6,6,6,4,0,0,0,0,0,0,323.0,568.0,881.0,881.0,568.0,0,0,1,1,2,0,0,0
26,17,9,14,6,6,0,0,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,6,6,6,4,2,2,0,0,0,0,329.0,645.0,873.0,873.0,645.0,0,0,1,1,1,1,0,2
18,20,13,13,4,6,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,6,4,2,0,0,0,294.0,747.0,725.0,725.0,747.0,0,0,1,1,3,0,0,0
22,24,10,13,6,6,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,6,6,6,4,4,2,0,0,0,346.0,781.0,806.0,806.0,781.0,0,0,1,1,2,4,0,1
16,12,17,12,6,6,0,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,6,6,4,4,4,4,4,4,4,6,6,4,2,2,0,0,0,0,239.0,582.0,729.0,729.0,582.0,0,0,1,1,0,0,0,0
16,19,21,14,6,6,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,0,0,0,2,2,2,2,6,8,6,4,4,4,4,4,4,6,6,6,6,6,4,0,0,0,323.0,807.0,803.0,803.0,807.0,1,0,2,1,1,0,1,0
13,18,20,13,6,6,0,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,0,0,0,0,2,2,2,2,2,4,4,6,4,4,4,4,4,4,6,6,6,4,4,2,0,0,282.0,771.0,701.0,701.0,771.0,0,0,2,1,1,0,1,1
20,14,23,18,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,6,0,0,0,4,4,4,2,6,6,6,6,4,4,4,6,6,4,2,2,2,2,2,0,0,0,308.0,714.0,1011.0,1011.0,714.0,1,0,2,1,1,2,0,5
22,14,17,16,4,6,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,4,6,6,6,6,6,4,4,4,6,6,4,2,2,2,2,0,0,0,0,277.0,680.0,907.0,907.0,680.0,1,0,2,1,1,3,1,1
