0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
13,3,10,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,27.999999999999996,289.0,309.0,309.0,289.0,1,1,1,0,1,0,0,0
14,4,10,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,66.0,280.0,364.0,364.0,280.0,1,1,1,0,1,0,0,0
14,24,6,14,4,2,0,2,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,2,2,2,2,4,4,4,4,4,2,4,4,4,4,2,2,2,2,0,0,0,191.0,675.0,659.0,659.0,675.0,1,1,1,1,0,0,1,0
23,14,15,6,4,4,0,4,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,2,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,2,2,2,0,0,0,223.0,654.0,680.0,680.0,654.0,1,1,1,1,0,0,1,0
25,15,20,1,4,4,0,2,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,4,4,4,4,4,4,6,6,6,6,4,2,2,2,2,2,2,2,0,0,0,0,286.0,583.0,820.0,820.0,583.0,1,1,1,0,4,0,2,0
24,15,20,1,4,6,0,4,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,2,4,4,4,4,4,4,6,6,6,4,4,2,2,2,2,2,2,4,2,0,0,0,286.0,577.0,803.0,803.0,577.0,1,1,1,0,3,0,1,0
17,7,9,0,2,2,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,0,0,0,0,0,87.0,350.0,409.0,409.0,350.0,1,1,1,0,0,0,0,0
15,8,8,0,2,2,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,71.0,356.0,357.0,357.0,356.0,1,1,1,0,0,0,0,0
16,7,9,0,2,2,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,136.0,285.0,451.0,451.0,285.0,1,1,1,0,0,0,0,0
23,12,14,3,4,4,0,2,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,2,4,4,4,2,4,4,4,2,0,0,0,0,0,0,0,0,116.0,569.0,627.0,627.0,569.0,1,1,1,1,1,0,2,0
22,11,13,3,4,4,0,4,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,4,4,4,2,4,4,4,2,2,2,2,2,2,0,0,0,166.0,531.0,596.0,596.0,531.0,1,1,1,1,1,0,1,0
17,8,10,0,2,2,0,0,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,135.0,337.0,468.0,468.0,337.0,1,1,1,0,1,0,0,0
17,8,9,0,2,2,0,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,81.0,382.0,400.0,400.0,382.0,1,1,1,0,0,0,0,0
16,6,9,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,60.0,341.0,372.0,372.0,341.0,1,1,1,0,1,0,0,0
17,8,10,0,2,2,0,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,111.0,362.0,443.0,443.0,362.0,1,1,1,0,0,0,0,0
16,6,9,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,83.0,316.0,397.0,397.0,316.0,1,1,1,0,1,0,0,0
24,12,15,4,4,4,0,2,6,6,6,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,2,2,2,2,2,4,4,4,4,2,4,4,4,4,2,2,2,2,0,0,0,0,192.0,591.0,674.0,674.0,591.0,1,1,1,1,1,0,2,0
23,12,16,5,4,4,0,4,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,0,0,0,2,2,2,2,4,4,4,4,4,2,4,4,4,4,4,2,2,2,0,0,0,0,202.0,601.0,687.0,687.0,601.0,1,1,1,1,2,0,4,0
