0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
4,12,12,3,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,4,0,0,0,0,0,0,0,0,0,47.0,354.0,359.0,359.0,354.0,1,0,0,1,0,0,0,0
11,17,17,12,4,2,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,2,4,6,6,6,6,6,6,6,6,6,4,2,2,0,0,0,0,204.0,667.0,644.0,644.0,667.0,1,0,0,1,0,0,0,0
13,14,13,10,6,2,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,2,2,2,4,6,6,6,6,6,6,6,4,4,4,2,0,0,0,0,0,175.0,553.0,597.0,597.0,553.0,1,1,0,1,0,1,0,0
9,19,24,9,4,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,221.0,670.0,733.0,733.0,670.0,1,0,1,1,1,2,8,0
10,20,22,8,6,4,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,0,0,0,0,2,2,2,4,6,6,6,6,6,6,6,6,6,6,4,4,4,2,0,0,0,0,224.0,657.0,723.0,723.0,657.0,1,1,1,1,1,4,4,0
8,19,15,8,0,6,0,0,2,4,6,4,4,2,2,2,2,2,2,2,2,2,4,4,6,4,2,0,0,0,0,0,0,0,0,2,2,4,4,6,6,6,6,6,6,4,4,4,4,2,0,0,0,0,151.0,602.0,548.0,548.0,602.0,1,1,1,1,1,5,2,0
9,17,22,8,2,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,4,2,2,0,0,0,0,196.0,609.0,679.0,679.0,609.0,1,0,0,1,0,4,8,0
7,15,16,7,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,4,2,2,0,0,0,0,0,122.0,515.0,520.0,520.0,515.0,1,0,0,1,0,4,3,0
6,21,19,7,2,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,172.0,633.0,586.0,586.0,633.0,1,0,1,1,0,6,6,0
6,17,18,6,2,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,4,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,0,137.0,532.0,549.0,549.0,532.0,1,0,1,1,1,4,1,0
11,21,21,9,6,2,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,233.0,706.0,720.0,720.0,706.0,1,0,0,1,2,6,5,0
13,17,16,11,6,2,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,2,2,4,6,6,6,6,6,6,6,6,6,4,2,2,2,2,0,0,0,210.0,647.0,664.0,664.0,647.0,1,0,0,1,1,3,0,0
9,16,19,10,4,2,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,0,0,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,200.0,617.0,625.0,625.0,617.0,1,0,0,1,0,0,0,0
9,16,17,9,2,2,0,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,4,4,4,6,6,6,6,6,6,6,6,6,6,4,4,2,2,0,0,0,192.0,575.0,598.0,598.0,575.0,1,1,1,1,0,0,1,0
9,16,15,9,4,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,4,6,6,6,6,6,6,6,6,6,4,2,2,2,0,0,0,159.0,576.0,551.0,551.0,576.0,1,0,0,1,0,0,2,0
5,18,18,6,0,4,0,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,4,2,2,0,0,0,187.0,542.0,539.0,539.0,542.0,1,1,1,1,0,0,1,0
6,21,22,6,2,4,0,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,4,2,2,0,0,0,201.0,632.0,633.0,633.0,632.0,1,1,1,1,0,5,8,0
8,18,18,7,2,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,164.0,583.0,590.0,590.0,583.0,1,0,0,1,0,0,2,0
9,14,15,6,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,2,4,4,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,0,140.0,479.0,533.0,533.0,479.0,1,0,1,1,0,0,0,0
6,18,19,5,2,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,158.0,539.0,565.0,565.0,539.0,1,0,0,1,1,0,2,0
