0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
13,25,18,17,6,6,0,0,2,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,6,4,0,0,0,0,2,4,4,4,6,6,6,6,6,6,6,6,8,6,6,6,4,4,2,0,0,0,330.0,903.0,776.0,776.0,903.0,1,0,0,0,2,4,0,6
9,23,20,11,2,4,0,0,2,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,6,6,6,6,6,6,6,6,6,6,6,4,4,2,0,0,0,272.0,753.0,696.0,696.0,753.0,1,0,0,0,0,2,3,0
15,16,15,17,8,6,0,2,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,6,2,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,0,0,250.0,719.0,730.0,730.0,719.0,1,0,0,1,0,1,0,1
16,14,17,16,6,4,0,2,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,4,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,2,2,2,2,0,0,0,0,0,229.0,661.0,788.0,788.0,661.0,1,0,0,1,1,1,0,0
13,12,16,15,6,4,0,0,2,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,2,2,2,2,2,2,0,0,0,0,187.0,594.0,694.0,694.0,594.0,1,0,0,1,0,1,1,1
13,20,18,16,8,6,0,2,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,6,2,0,0,0,0,0,2,4,4,6,6,6,6,6,6,6,6,6,6,6,4,2,2,2,0,0,0,254.0,781.0,760.0,760.0,781.0,1,0,0,1,1,0,0,0
10,17,15,16,4,6,0,0,2,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,4,4,2,2,2,0,0,0,0,194.0,689.0,645.0,645.0,689.0,1,0,0,1,0,2,0,2
10,18,13,12,2,2,0,0,2,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,176.0,643.0,576.0,576.0,643.0,1,0,0,0,0,2,1,0
8,15,13,12,2,4,0,0,2,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,2,4,4,6,6,6,6,6,6,6,2,0,0,0,0,0,0,0,144.0,571.0,533.0,533.0,571.0,1,0,0,0,0,1,0,0
9,19,16,11,4,4,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,6,6,6,6,6,4,4,2,0,0,0,0,0,201.0,628.0,637.0,637.0,628.0,1,0,0,0,3,2,1,1
12,16,17,17,8,4,0,0,2,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,4,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,0,0,0,234.0,707.0,719.0,719.0,707.0,1,0,0,1,0,1,0,2
