0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
8,7,16,15,4,4,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,6,6,4,4,4,4,2,0,0,0,0,0,0,115.0,536.0,522.0,522.0,536.0,0,0,0,0,1,0,0,1
16,6,16,11,6,4,0,2,2,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,0,2,2,6,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,182.0,502.0,625.0,625.0,502.0,1,0,1,0,1,0,2,0
15,4,15,10,4,4,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,6,6,8,6,4,4,4,4,2,0,0,0,0,0,0,0,124.0,466.0,546.0,546.0,466.0,1,0,0,0,0,0,0,0
14,8,13,13,4,4,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,192.0,515.0,589.0,589.0,515.0,1,0,0,0,1,1,0,0
15,6,13,12,6,2,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,187.0,474.0,584.0,584.0,474.0,1,0,0,0,1,0,0,0
13,9,17,13,4,4,0,0,0,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,6,6,4,4,4,4,4,4,4,2,0,0,0,0,0,196.0,569.0,627.0,627.0,569.0,1,0,0,0,0,0,0,1
12,10,14,12,2,4,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,6,6,4,4,4,4,4,4,2,0,0,0,0,0,168.0,559.0,545.0,545.0,559.0,1,0,0,0,0,1,0,0
17,8,14,14,6,4,0,0,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,194.0,563.0,656.0,656.0,563.0,1,0,0,0,1,3,0,3
15,8,14,12,6,4,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,188.0,498.0,629.0,629.0,498.0,1,0,0,0,1,1,0,0
15,6,14,11,6,2,0,0,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,182.0,456.0,602.0,602.0,456.0,1,0,0,0,1,0,0,0
4,8,7,3,4,4,0,2,0,2,2,0,2,2,2,2,4,2,4,0,0,2,2,0,4,0,2,2,4,0,0,0,0,0,0,0,2,4,4,2,2,4,2,4,2,4,2,2,0,0,0,0,0,0,55.0,259.0,247.0,247.0,259.0,4,3,2,0,0,0,0,0
18,9,17,12,4,4,0,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,8,6,4,4,4,4,4,4,2,0,0,0,0,0,201.0,608.0,680.0,680.0,608.0,1,0,0,0,7,0,1,1
14,10,16,11,4,4,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,8,4,4,4,4,4,2,0,0,0,0,0,0,168.0,562.0,611.0,611.0,562.0,1,0,0,0,6,0,0,0
