0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
13,9,13,8,4,4,0,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,195.0,431.0,558.0,558.0,431.0,0,1,0,1,0,0,0,0
14,5,14,9,2,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,180.0,396.0,570.0,570.0,396.0,0,1,0,1,3,0,3,1
13,9,17,6,2,4,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,226.0,395.0,640.0,640.0,395.0,0,1,0,1,0,0,1,0
13,9,15,3,2,4,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,192.0,351.0,569.0,569.0,351.0,0,1,0,1,3,0,0,0
15,6,13,10,2,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,192.0,440.0,572.0,572.0,440.0,0,1,0,1,5,0,0,0
10,7,11,6,2,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,124.0,350.0,432.0,432.0,350.0,0,1,0,1,0,0,0,0
13,6,14,9,2,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,166.0,425.0,541.0,541.0,425.0,0,1,0,1,3,0,4,0
8,6,14,8,4,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,139.0,355.0,473.0,473.0,355.0,0,1,0,1,0,0,1,0
14,8,16,6,2,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,224.0,381.0,631.0,631.0,381.0,0,1,0,1,3,0,0,0
13,7,14,6,2,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,171.0,363.0,557.0,557.0,363.0,0,1,0,1,5,0,0,0
15,10,12,8,2,4,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,183.0,484.0,551.0,551.0,484.0,0,1,0,1,2,0,0,0
10,8,12,7,0,4,0,0,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,148.0,387.0,464.0,464.0,387.0,0,1,0,1,0,0,0,0
14,5,11,5,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,123.0,330.0,475.0,475.0,330.0,0,1,0,1,7,0,0,0
12,8,17,6,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,193.0,395.0,594.0,594.0,395.0,0,1,0,1,3,0,2,0
10,7,14,6,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,156.0,347.0,504.0,504.0,347.0,0,1,0,1,0,0,0,0
13,7,13,7,4,4,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,193.0,362.0,558.0,558.0,362.0,0,1,0,1,0,0,0,0
13,8,13,7,4,4,0,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,185.0,387.0,556.0,556.0,387.0,0,1,0,1,0,0,0,0
13,7,14,3,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,165.0,319.0,532.0,532.0,319.0,0,1,0,1,0,0,0,0
11,10,18,3,2,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,222.0,359.0,607.0,607.0,359.0,0,1,0,1,0,0,0,0
10,9,16,5,0,4,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,192.0,368.0,552.0,552.0,368.0,0,1,0,1,0,0,0,0
11,5,13,9,4,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,146.0,377.0,497.0,497.0,377.0,0,1,0,1,7,0,0,0
13,7,10,8,4,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,148.0,399.0,475.0,475.0,399.0,0,1,0,1,0,0,0,0
15,6,14,9,2,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,198.0,414.0,598.0,598.0,414.0,0,1,0,1,3,0,1,0
13,6,15,8,4,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,179.0,398.0,568.0,568.0,398.0,0,1,0,1,0,0,4,0
15,9,15,7,2,4,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,199.0,447.0,611.0,611.0,447.0,0,1,0,1,9,0,0,0
14,9,15,7,4,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,211.0,415.0,620.0,620.0,415.0,0,1,0,1,3,0,0,0
15,6,14,9,2,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,198.0,414.0,598.0,598.0,414.0,0,1,0,1,3,0,1,0
13,6,15,8,4,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,179.0,398.0,568.0,568.0,398.0,0,1,0,1,0,0,4,0
15,9,15,7,2,4,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,199.0,447.0,611.0,611.0,447.0,0,1,0,1,9,0,0,0
10,6,12,5,2,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,126.0,313.0,446.0,446.0,313.0,0,1,0,1,0,0,0,0
14,9,15,6,4,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,207.0,399.0,613.0,613.0,399.0,0,1,0,1,3,0,0,0
15,6,14,9,2,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,198.0,414.0,598.0,598.0,414.0,0,1,0,1,3,0,1,0
12,9,16,6,2,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,191.0,416.0,573.0,573.0,416.0,0,1,0,1,2,0,3,0
13,6,15,8,4,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,179.0,398.0,568.0,568.0,398.0,0,1,0,1,0,0,4,0
11,8,13,7,4,4,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,157.0,398.0,499.0,499.0,398.0,0,1,0,1,0,0,1,0
15,9,15,7,2,4,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,199.0,447.0,611.0,611.0,447.0,0,1,0,1,9,0,0,0
14,9,15,7,4,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,211.0,415.0,620.0,620.0,415.0,0,1,0,1,3,0,0,0
15,6,14,9,2,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,198.0,414.0,598.0,598.0,414.0,0,1,0,1,3,0,1,0
13,6,15,8,4,2,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,179.0,398.0,568.0,568.0,398.0,0,1,0,1,0,0,4,0
