0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,18,19,11,4,4,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,2,0,0,0,2,4,4,4,4,4,4,4,4,6,4,4,4,4,4,2,2,2,2,0,0,0,262.0,636.0,698.0,698.0,636.0,0,1,0,0,1,1,2,0
5,12,15,15,4,4,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,118.0,531.0,550.0,550.0,531.0,0,1,0,1,0,1,1,1
7,15,14,14,4,6,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,188.0,626.0,524.0,524.0,626.0,0,1,0,0,4,1,0,0
4,13,14,13,4,6,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,146.0,541.0,471.0,471.0,541.0,0,1,0,0,0,1,3,0
7,14,19,10,2,6,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,0,211.0,523.0,627.0,627.0,523.0,0,1,0,0,2,1,1,0
5,13,18,11,4,4,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,190.0,505.0,576.0,576.0,505.0,0,1,0,0,0,0,0,0
8,17,16,12,4,4,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,4,6,6,6,2,0,0,0,0,0,0,0,0,174.0,584.0,635.0,635.0,584.0,0,0,0,0,1,1,3,0
8,14,13,14,4,4,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,6,2,2,2,0,0,0,0,0,0,159.0,568.0,559.0,559.0,568.0,0,1,0,1,1,1,0,1
8,17,15,9,4,6,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,4,4,4,4,4,2,2,2,6,6,4,2,0,0,0,0,0,0,183.0,550.0,577.0,577.0,550.0,0,1,1,1,3,1,1,0
8,13,16,13,4,2,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,6,4,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,179.0,546.0,604.0,604.0,546.0,0,1,0,1,1,1,1,2
