0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
21,20,13,9,4,4,0,0,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,0,0,0,287.0,699.0,750.0,750.0,699.0,0,0,0,1,2,0,0,0
22,21,15,8,6,6,0,0,0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,291.0,719.0,799.0,799.0,719.0,0,0,0,1,6,3,3,0
17,24,15,9,4,6,0,0,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,2,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,320.0,755.0,740.0,740.0,755.0,0,0,0,1,1,1,0,0
16,21,14,6,4,4,0,0,0,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,2,4,4,4,6,6,6,6,6,6,6,6,6,6,6,4,4,2,0,0,0,256.0,642.0,669.0,669.0,642.0,0,0,0,1,0,0,0,0
22,18,15,12,4,4,0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,2,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,0,0,0,0,309.0,698.0,843.0,843.0,698.0,0,1,0,1,2,3,3,3
18,16,13,8,4,4,0,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,4,2,2,2,0,0,0,0,197.0,596.0,669.0,669.0,596.0,0,0,0,1,0,1,0,0
19,20,15,9,2,4,0,2,4,4,4,4,4,6,4,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,2,4,4,6,6,6,6,6,6,6,6,6,6,6,4,4,2,2,0,0,0,282.0,674.0,775.0,775.0,674.0,0,1,0,1,2,4,1,0
17,18,13,6,4,6,0,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,2,4,4,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,195.0,597.0,645.0,645.0,597.0,0,0,0,1,3,1,0,0
23,19,15,7,4,6,0,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,283.0,641.0,831.0,831.0,641.0,0,0,0,1,3,2,3,0
21,18,14,7,2,4,0,0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,255.0,625.0,755.0,755.0,625.0,0,0,0,1,2,1,3,0
21,21,13,8,6,4,0,0,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,294.0,675.0,774.0,774.0,675.0,0,0,0,1,1,2,0,0
21,22,15,8,4,4,0,0,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,308.0,703.0,815.0,815.0,703.0,0,0,0,1,2,2,0,0
21,21,16,5,4,6,0,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,2,4,4,6,6,6,6,6,6,6,6,6,6,6,4,4,2,0,0,0,0,294.0,654.0,795.0,795.0,654.0,0,0,0,1,7,0,0,0
