0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
11,12,10,0,2,4,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,0,0,0,0,0,0,0,88.0,346.0,413.0,413.0,346.0,0,2,1,0,0,1,0,0
14,10,10,0,2,4,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,2,2,4,4,4,4,4,4,0,0,0,0,0,0,0,97.0,347.0,435.0,435.0,347.0,1,2,1,0,5,0,0,0
9,17,10,0,0,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,4,4,4,2,2,2,4,4,4,4,4,4,2,2,0,0,0,0,129.0,394.0,434.0,434.0,394.0,1,2,1,0,1,0,0,0
9,16,10,0,0,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,4,4,2,2,2,2,4,4,4,4,4,4,2,2,0,0,0,0,129.0,379.0,426.0,426.0,379.0,1,2,1,0,2,0,0,0
14,6,15,3,2,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,4,4,4,2,6,6,6,6,0,0,0,0,0,0,0,0,0,74.0,398.0,476.0,476.0,398.0,1,2,1,1,5,0,2,0
11,7,9,0,2,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,2,2,2,0,0,0,0,0,0,0,47.0,297.0,324.0,324.0,297.0,0,2,1,0,1,0,0,0
12,7,9,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,2,2,0,0,0,0,0,0,0,0,60.0,287.0,357.0,357.0,287.0,0,2,1,0,1,0,0,0
11,5,9,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,2,2,2,0,0,0,0,0,0,0,0,73.0,235.0,340.0,340.0,235.0,0,1,1,0,1,0,0,0
12,10,9,0,2,2,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,2,2,2,0,0,0,0,0,0,75.0,330.0,383.0,383.0,330.0,0,2,1,0,4,0,0,0
12,3,9,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,0,0,0,0,0,0,0,0,38.0,250.0,302.0,302.0,250.0,0,1,1,0,2,0,0,0
10,7,9,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,0,0,0,0,0,0,0,0,0,39.0,283.0,315.0,315.0,283.0,0,2,1,0,1,0,0,0
10,7,9,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,0,0,0,0,0,0,0,0,0,39.0,283.0,315.0,315.0,283.0,0,2,1,0,1,0,0,0
13,5,9,0,2,2,0,0,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,4,2,2,4,4,4,2,0,0,0,0,0,0,0,0,0,73.0,256.0,365.0,365.0,256.0,1,2,1,0,4,0,0,0
