0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
15,13,16,18,6,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,0,216.0,700.0,726.0,726.0,700.0,0,0,1,0,3,0,1,4
14,12,12,16,6,2,0,0,2,4,4,4,4,4,4,4,4,4,4,4,6,4,2,2,2,2,4,2,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,0,185.0,617.0,625.0,625.0,617.0,0,0,1,0,1,0,0,1
13,14,17,14,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,2,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,4,4,2,0,0,0,0,0,0,201.0,631.0,703.0,703.0,631.0,0,0,1,0,0,0,1,1
13,15,16,15,4,4,0,0,2,6,4,4,4,4,4,4,4,4,4,4,4,6,2,2,2,2,4,2,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,8,4,4,2,2,2,0,0,0,0,0,196.0,651.0,706.0,706.0,651.0,0,1,1,0,0,1,1,4
15,13,16,18,6,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,0,216.0,700.0,726.0,726.0,700.0,0,0,1,0,3,0,1,4
14,12,12,16,6,2,0,0,2,4,4,4,4,4,4,4,4,4,4,4,6,4,2,2,2,2,4,2,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,0,185.0,617.0,625.0,625.0,617.0,0,0,1,0,1,0,0,1
13,14,17,14,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,2,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,4,4,2,0,0,0,0,0,0,201.0,631.0,703.0,703.0,631.0,0,0,1,0,0,0,1,1
15,13,16,17,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,2,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,0,213.0,683.0,720.0,720.0,683.0,0,0,1,0,3,0,1,2
12,13,13,16,4,4,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,2,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,0,176.0,632.0,610.0,610.0,632.0,0,0,1,0,0,0,1,1
12,16,17,11,2,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,4,4,4,4,2,0,0,0,0,0,201.0,613.0,675.0,675.0,613.0,0,0,1,0,0,0,0,3
