0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
13,7,16,14,6,4,0,0,2,4,2,2,2,2,2,2,4,6,6,6,6,4,4,4,4,6,4,2,0,0,0,0,0,0,0,0,2,2,4,8,6,4,2,2,4,6,4,2,2,0,0,0,0,0,148.0,563.0,587.0,587.0,563.0,1,0,1,1,0,1,2,0
13,4,12,15,4,2,0,0,0,2,2,2,2,2,2,2,2,4,6,4,4,4,4,4,4,6,4,2,0,0,0,0,0,0,0,0,2,2,4,4,4,6,2,2,2,4,4,2,2,0,0,0,0,0,116.0,517.0,495.0,495.0,517.0,1,0,1,1,1,0,2,0
10,9,13,11,4,4,0,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,2,2,2,2,2,2,6,4,2,2,4,4,2,0,0,0,0,0,0,129.0,503.0,486.0,486.0,503.0,0,0,1,1,4,0,0,0
11,7,9,10,4,4,0,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,2,2,2,4,4,2,0,0,0,0,0,0,115.0,437.0,414.0,414.0,437.0,1,0,1,1,1,0,0,0
13,6,13,11,6,2,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,4,4,4,4,2,2,2,2,2,2,2,0,0,0,0,0,160.0,464.0,525.0,525.0,464.0,1,0,1,1,1,0,0,0
16,7,9,9,2,2,0,0,2,2,2,2,2,4,6,6,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,175.0,407.0,536.0,536.0,407.0,1,0,1,1,0,0,0,0
14,9,9,10,2,4,0,0,2,2,2,2,2,4,6,6,6,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,163.0,458.0,508.0,508.0,458.0,1,0,1,1,0,3,0,0
14,8,11,11,6,4,0,0,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,2,2,4,2,2,2,2,2,4,4,2,0,0,0,0,0,0,159.0,485.0,527.0,527.0,485.0,1,0,1,1,1,1,0,0
15,9,9,9,4,4,0,0,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,2,2,2,6,2,2,2,2,2,4,4,2,0,0,0,0,0,0,160.0,456.0,510.0,510.0,456.0,1,0,1,1,4,0,0,0
14,6,10,10,6,4,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,4,2,2,2,2,2,4,2,0,0,0,0,0,0,0,141.0,430.0,490.0,490.0,430.0,1,0,1,1,1,0,0,0
11,5,9,12,6,4,0,0,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,2,2,2,2,4,4,2,4,4,4,4,2,0,0,0,0,0,0,114.0,425.0,426.0,426.0,425.0,1,0,1,1,0,0,0,0
15,8,10,10,6,4,0,0,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,183.0,447.0,542.0,542.0,447.0,1,0,1,1,0,0,0,0
13,9,9,10,2,4,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,2,2,4,4,2,2,2,2,4,4,2,0,0,0,0,0,0,153.0,477.0,466.0,466.0,477.0,1,0,1,1,1,0,0,0
17,4,17,14,6,2,0,0,2,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,6,0,0,0,0,4,4,4,2,4,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,245.0,486.0,710.0,710.0,486.0,1,0,2,1,1,0,2,0
16,5,18,13,6,2,0,0,2,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,6,0,0,0,0,2,2,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,232.0,499.0,697.0,697.0,499.0,1,0,2,1,1,0,3,0
13,6,14,14,4,4,0,0,2,2,2,2,2,2,2,2,4,6,6,6,4,4,4,4,4,4,6,4,0,0,0,0,0,0,0,2,4,4,6,4,2,2,2,2,4,6,4,2,2,0,0,0,0,0,166.0,508.0,573.0,573.0,508.0,1,0,1,1,0,0,1,0
15,6,14,13,6,4,0,0,2,2,2,2,2,2,2,2,4,6,6,6,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,4,4,4,6,4,2,2,2,2,4,6,4,2,2,0,0,0,0,0,173.0,502.0,602.0,602.0,502.0,1,0,1,1,0,0,1,0
14,7,9,9,6,4,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,167.0,399.0,498.0,498.0,399.0,1,0,1,1,1,0,0,0
14,9,10,10,4,4,0,0,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,2,2,2,2,4,2,2,2,2,2,4,4,2,0,0,0,0,0,0,166.0,472.0,517.0,517.0,472.0,1,0,1,1,1,0,0,0
13,9,9,10,2,4,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,2,2,4,4,2,2,2,2,2,4,2,0,0,0,0,0,0,154.0,478.0,465.0,465.0,478.0,1,0,1,1,1,0,0,0
16,7,9,9,2,2,0,0,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,179.0,403.0,540.0,540.0,403.0,1,0,1,1,2,0,0,0
25,24,19,20,10,10,0,8,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,8,0,0,4,4,4,4,4,6,6,6,6,6,2,2,6,6,6,6,2,4,4,4,4,4,0,469.0,1004.0,1020.0,1020.0,1004.0,2,2,2,2,3,1,1,3
14,7,9,9,6,4,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,167.0,399.0,498.0,498.0,399.0,1,0,1,1,1,0,0,0
14,9,10,10,4,4,0,0,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,2,2,2,2,4,2,2,2,2,2,4,4,2,0,0,0,0,0,0,166.0,472.0,517.0,517.0,472.0,1,0,1,1,1,0,0,0
10,9,17,14,2,4,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,0,0,0,2,2,2,2,2,4,4,2,2,4,6,4,4,4,6,2,0,0,0,0,0,0,179.0,555.0,595.0,595.0,555.0,0,0,2,1,0,0,2,0
14,6,11,16,6,2,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,4,2,2,2,2,4,4,2,2,2,2,0,0,0,0,0,169.0,513.0,568.0,568.0,513.0,1,0,1,2,1,0,0,1
17,6,10,10,6,2,0,0,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,169.0,444.0,545.0,545.0,444.0,1,0,1,1,1,0,0,0
16,9,16,16,4,4,0,2,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,2,2,2,6,6,4,2,2,4,4,4,4,4,2,0,0,0,0,0,209.0,660.0,651.0,651.0,660.0,1,0,2,2,3,0,1,1
11,9,12,10,2,4,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,143.0,507.0,459.0,459.0,507.0,1,0,1,1,0,0,0,0
4,12,14,15,4,2,0,0,4,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,0,0,0,0,0,0,2,2,2,2,4,2,2,6,6,6,4,6,4,2,0,0,0,0,0,124.0,556.0,479.0,479.0,556.0,0,1,2,2,0,0,0,0
16,7,9,9,6,2,0,0,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,174.0,414.0,529.0,529.0,414.0,1,0,1,1,1,0,0,0
12,9,16,16,4,4,0,0,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,2,2,2,2,4,4,2,2,4,2,4,4,4,6,6,4,0,0,0,0,0,200.0,631.0,588.0,588.0,631.0,1,0,2,2,2,0,1,1
15,10,10,9,4,4,0,0,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,2,2,2,2,4,2,2,2,2,2,2,4,2,0,0,0,0,0,0,181.0,484.0,528.0,528.0,484.0,1,0,1,1,4,1,0,0
6,14,16,16,4,4,0,0,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,2,2,2,4,4,2,2,4,4,4,4,6,6,4,0,0,0,0,0,173.0,647.0,549.0,549.0,647.0,0,0,2,2,2,0,1,1
13,9,9,10,2,4,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,2,2,2,4,4,2,2,2,2,4,4,2,0,0,0,0,0,0,153.0,477.0,466.0,466.0,477.0,1,0,1,1,1,0,0,0
9,14,17,13,2,4,0,0,0,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,6,0,0,0,0,2,2,2,2,2,4,6,6,4,4,2,4,4,4,6,4,2,0,0,0,0,183.0,647.0,572.0,572.0,647.0,1,0,2,2,0,0,0,0
12,8,9,9,2,4,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,2,2,2,2,2,2,4,2,2,2,4,4,4,2,0,0,0,0,0,0,142.0,428.0,446.0,446.0,428.0,1,0,1,1,0,0,0,0
14,4,17,16,4,4,0,0,2,2,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,6,0,0,0,0,0,4,4,4,4,2,2,4,2,2,4,4,2,2,2,2,0,0,0,0,0,218.0,497.0,676.0,676.0,497.0,2,0,2,2,0,0,2,1
16,4,17,13,6,4,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,6,0,0,0,0,0,4,4,4,2,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,204.0,488.0,662.0,662.0,488.0,1,0,2,1,1,0,2,0
14,6,17,13,4,4,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,6,0,0,0,0,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,219.0,512.0,638.0,638.0,512.0,2,0,2,1,0,0,2,0
16,5,13,13,4,4,0,2,2,2,2,2,2,2,4,6,6,4,4,4,4,4,4,4,4,4,4,4,8,0,0,0,0,0,0,2,6,4,4,2,2,2,2,2,4,2,2,2,0,0,0,0,0,0,184.0,472.0,609.0,609.0,472.0,1,0,2,2,1,0,0,0
8,15,15,15,4,4,0,2,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,2,2,2,2,4,4,4,4,6,6,4,4,4,6,4,0,0,0,0,0,166.0,654.0,565.0,565.0,654.0,1,0,2,2,2,0,1,1
10,5,15,16,6,4,0,0,0,2,2,2,2,2,2,2,4,6,6,6,4,4,4,4,4,6,6,4,0,0,0,0,0,0,0,2,2,2,2,2,6,4,2,2,4,6,4,2,2,0,0,0,0,0,149.0,538.0,520.0,520.0,538.0,1,0,1,1,0,0,1,0
14,9,9,9,2,2,0,0,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,2,2,2,4,2,2,2,2,2,2,4,2,0,0,0,0,0,0,157.0,457.0,486.0,486.0,457.0,1,0,1,1,3,0,0,0
13,4,9,9,6,4,0,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,99.0,361.0,444.0,444.0,361.0,1,0,1,1,1,0,0,0
17,7,10,10,6,4,0,0,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,221.0,433.0,579.0,579.0,433.0,1,0,1,1,3,0,0,0
8,11,14,17,4,4,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,8,0,0,0,0,2,2,2,2,4,2,2,2,2,2,0,4,4,4,6,4,0,0,0,0,0,189.0,622.0,528.0,528.0,622.0,0,1,2,2,0,0,0,2
11,8,11,10,4,4,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,2,2,2,4,2,2,2,4,4,2,0,0,0,0,0,0,0,132.0,454.0,466.0,466.0,454.0,1,0,1,1,0,0,0,0
7,10,9,9,2,4,0,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,6,4,4,2,0,0,0,0,0,0,0,72.0,408.0,397.0,397.0,408.0,0,1,1,1,2,0,0,0
14,8,9,9,6,4,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,170.0,414.0,506.0,506.0,414.0,1,0,1,1,1,1,0,0
14,8,9,9,6,4,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,170.0,414.0,506.0,506.0,414.0,1,0,1,1,1,1,0,0
14,8,9,9,6,4,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,170.0,414.0,506.0,506.0,414.0,1,0,1,1,1,1,0,0
