0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
5,0,10,0,2,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13.999999999999998,165.0,180.0,180.0,165.0,1,0,1,0,0,0,0,0
5,0,9,0,2,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12.999999999999998,154.0,168.0,168.0,154.0,1,0,1,0,0,0,0,0
2,4,10,0,2,2,0,0,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,34.0,165.0,203.0,203.0,165.0,0,2,1,0,0,0,0,0
2,5,9,0,2,2,0,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,29.0,170.0,198.0,198.0,170.0,0,2,1,0,0,0,0,0
2,0,8,0,2,2,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9.0,110.0,120.0,120.0,110.0,1,0,1,0,0,0,0,0
2,0,8,0,2,2,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9.0,110.0,120.0,120.0,110.0,1,0,1,0,0,0,0,0
1,3,9,0,2,4,0,0,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,24.0,137.0,162.0,162.0,137.0,0,1,1,0,0,0,0,0
1,3,9,0,2,4,0,0,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,24.0,137.0,162.0,162.0,137.0,0,1,1,0,0,0,0,0
12,13,12,13,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,0,0,0,0,0,0,0,0,0,2,4,2,4,4,4,4,2,0,0,0,0,0,0,0,0,74.0,577.0,573.0,573.0,577.0,1,0,1,1,1,0,1,1
11,0,9,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,22.0,229.0,254.0,254.0,229.0,1,0,0,0,0,0,0,0
1,23,18,4,2,4,0,2,4,4,2,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,2,4,0,0,0,0,0,0,0,2,2,2,2,2,4,6,8,4,4,6,4,4,2,0,0,0,0,0,109.0,558.0,500.0,500.0,558.0,0,2,1,1,0,7,3,0
2,11,14,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,2,2,2,4,4,2,2,2,2,2,0,0,0,0,0,0,0,51.0,300.0,321.0,321.0,300.0,0,1,2,0,0,1,0,0
7,0,14,3,4,2,0,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,4,4,4,4,2,2,2,0,0,0,0,0,0,0,0,0,36.0,257.0,295.0,295.0,257.0,1,0,1,1,0,0,2,0
7,0,12,2,4,2,0,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,2,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,28.0,225.0,258.0,258.0,225.0,1,0,1,1,0,0,1,0
2,6,13,5,2,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,2,2,2,2,4,6,6,4,2,0,2,0,0,0,0,0,0,0,45.0,287.0,311.0,311.0,287.0,1,1,1,1,0,0,0,0
2,5,11,6,0,2,0,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,2,2,2,2,4,6,6,4,0,0,2,0,0,0,0,0,0,0,40.0,265.0,287.0,287.0,265.0,1,0,1,1,0,0,0,0
6,0,10,1,2,2,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,21.0,182.0,209.0,209.0,182.0,1,0,0,0,0,0,0,0
4,0,14,4,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,2,2,4,2,2,2,2,2,0,0,0,0,0,0,0,0,31.0,244.0,262.0,262.0,244.0,1,0,1,1,0,0,3,0
5,3,13,2,2,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,4,6,6,4,4,2,0,0,0,0,0,0,0,0,0,39.0,244.0,285.0,285.0,244.0,1,2,0,1,0,0,0,0
1,3,12,4,2,2,0,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,0,0,0,0,0,0,0,0,0,27.0,228.0,232.0,232.0,228.0,0,1,0,1,0,0,0,0
6,0,10,1,2,2,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,21.0,182.0,209.0,209.0,182.0,1,0,0,0,0,0,0,0
4,0,14,4,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,2,2,4,2,2,2,2,2,0,0,0,0,0,0,0,0,31.0,244.0,262.0,262.0,244.0,1,0,1,1,0,0,3,0
5,3,13,2,2,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,4,6,6,4,4,2,0,0,0,0,0,0,0,0,0,39.0,244.0,285.0,285.0,244.0,1,2,0,1,0,0,0,0
