0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,2,18,3,4,2,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,4,4,4,2,0,0,0,0,0,0,0,0,0,0,4,2,4,4,4,2,0,0,0,0,0,0,0,0,0,0,88.0,306.0,453.0,453.0,306.0,1,1,1,0,0,0,6,0
10,3,16,5,4,4,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,2,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,0,0,0,0,0,0,0,0,0,0,87.0,325.0,457.0,457.0,325.0,1,1,1,1,0,0,3,0
5,5,21,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,4,6,2,2,0,0,0,0,0,0,0,0,0,0,62.0,312.0,401.0,401.0,312.0,0,1,2,0,0,0,6,0
8,8,15,8,2,2,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,2,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,2,2,2,4,6,6,4,2,2,2,0,0,0,0,0,0,0,68.0,426.0,471.0,471.0,426.0,0,2,1,0,2,1,4,0
9,5,14,13,4,2,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,2,4,4,4,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,0,0,0,0,0,154.0,419.0,524.0,524.0,419.0,1,1,1,1,0,0,1,1
9,5,14,13,4,2,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,2,4,4,4,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,0,0,0,0,0,154.0,419.0,524.0,524.0,419.0,1,1,1,1,0,0,1,1
9,6,22,6,2,4,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,0,0,0,0,0,2,2,2,2,4,4,4,2,4,4,4,2,2,2,2,2,2,2,0,0,0,169.0,413.0,576.0,576.0,413.0,1,1,1,1,0,0,10,0
9,6,22,6,2,4,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,0,0,0,0,0,2,2,2,2,4,4,4,2,4,4,4,2,2,2,2,2,2,2,0,0,0,169.0,413.0,576.0,576.0,413.0,1,1,1,1,0,0,10,0
29,21,25,26,12,4,0,4,6,8,6,8,6,6,4,6,4,8,6,8,6,6,4,6,4,4,4,8,4,0,0,2,4,4,2,6,6,10,6,6,2,4,6,12,12,10,10,8,4,4,0,0,2,0,420.0,1028.0,1295.0,1295.0,1028.0,2,3,2,5,8,7,3,6
19,19,20,25,4,4,0,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,6,0,0,0,0,4,6,4,4,2,2,2,2,4,6,6,4,6,6,6,6,4,2,2,0,0,374.0,895.0,1014.0,1014.0,895.0,2,0,0,1,2,3,3,4
