0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
11,0,11,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21.0,242.0,264.0,264.0,242.0,1,0,1,0,0,0,0,0
10,0,9,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18.0,209.0,228.0,228.0,209.0,1,0,1,0,0,0,0,0
2,8,10,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,36.0,217.0,243.0,243.0,217.0,0,1,1,0,0,0,0,0
0,10,9,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,29.0,222.0,215.0,215.0,222.0,0,1,1,0,0,0,0,0
9,0,9,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17.0,198.0,216.0,216.0,198.0,1,0,1,0,0,0,0,0
9,0,9,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17.0,198.0,216.0,216.0,198.0,1,0,1,0,0,0,0,0
1,8,9,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,29.0,202.0,212.0,212.0,202.0,0,1,1,0,0,0,0,0
1,8,9,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,29.0,202.0,212.0,212.0,202.0,0,1,1,0,0,0,0,0
9,0,14,3,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,32.0,285.0,313.0,313.0,285.0,1,0,1,1,0,0,2,0
10,0,12,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,25.0,264.0,288.0,288.0,264.0,1,0,1,1,0,0,1,0
2,13,19,0,2,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,2,2,2,2,2,4,6,2,2,2,2,2,0,0,0,0,0,0,0,72.0,369.0,413.0,413.0,369.0,0,1,2,0,0,0,2,0
1,11,16,1,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,2,2,2,2,2,4,6,6,4,2,0,0,0,0,0,0,0,0,0,58.0,313.0,354.0,354.0,313.0,1,0,1,0,0,0,0,0
12,0,10,1,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,27.0,248.0,281.0,281.0,248.0,1,0,0,0,0,0,0,0
11,0,12,4,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,2,2,0,0,0,0,0,0,0,0,31.999999999999996,303.0,318.0,318.0,303.0,1,0,1,1,0,0,1,0
4,9,13,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,4,0,0,0,0,0,0,0,0,0,0,38.0,307.0,337.0,337.0,307.0,1,0,0,1,0,0,0,0
5,10,13,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,2,4,6,6,6,4,0,0,0,0,0,0,0,0,0,0,42.0,329.0,361.0,361.0,329.0,1,0,0,1,0,0,0,0
12,0,10,1,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,27.0,248.0,281.0,281.0,248.0,1,0,0,0,0,0,0,0
11,0,12,4,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,2,2,0,0,0,0,0,0,0,0,31.999999999999996,303.0,318.0,318.0,303.0,1,0,1,1,0,0,1,0
4,9,13,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,4,0,0,0,0,0,0,0,0,0,0,38.0,307.0,337.0,337.0,307.0,1,0,0,1,0,0,0,0
5,10,13,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,2,4,6,6,6,4,0,0,0,0,0,0,0,0,0,0,42.0,329.0,361.0,361.0,329.0,1,0,0,1,0,0,0,0
12,1,13,3,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,4,2,4,2,2,0,0,0,0,0,0,0,0,0,33.0,320.0,347.0,347.0,320.0,1,0,1,1,0,0,1,0
10,0,12,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,25.0,264.0,288.0,288.0,264.0,1,0,1,1,0,0,1,0
0,11,13,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,2,2,2,2,4,2,2,2,2,2,2,0,0,0,0,0,0,0,53.0,283.0,292.0,292.0,283.0,0,1,2,0,0,0,0,0
0,13,12,2,2,2,0,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,2,2,0,0,0,0,0,0,0,50.0,322.0,299.0,299.0,322.0,0,1,2,0,0,0,0,0
10,0,10,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19.0,220.0,240.0,240.0,220.0,1,0,1,0,0,0,0,0
